split,split_index,source_file,window_index,start_sample,end_sample_exclusive,window_start_s,window_end_s,label,anomaly_fraction
train,0,normal_20260823_112402.csv,0,0,128,5.739993866882287e-07,0.2540617590002512,0,0.0
train,1,normal_20260823_112402.csv,1,128,256,0.2560560140000234,0.5100541780002459,0,0.0
train,2,normal_20260823_112402.csv,2,256,384,0.51205419300004,0.766501414999766,0,0.0
train,3,normal_20260823_112402.csv,3,384,512,0.7680812789994889,1.0220624980001958,0,0.0
train,4,normal_20260823_112402.csv,4,512,640,1.0266054759995311,1.2780526739998097,0,0.0
train,5,normal_20260823_112402.csv,5,640,768,1.2800526700002592,1.5340548479998688,0,0.0
train,6,normal_20260823_112402.csv,6,768,896,1.5360527149996417,1.7900525779996317,0,0.0
train,7,normal_20260823_112402.csv,7,896,1024,1.7920525379995524,2.0460529940000924,0,0.0
train,8,normal_20260823_112402.csv,8,1024,1152,2.048052952999569,2.302052553999601,0,0.0
train,9,normal_20260823_112402.csv,9,1152,1280,2.304073846999927,2.558052816999407,0,0.0
train,10,normal_20260823_112402.csv,10,1280,1408,2.560052775999793,2.8140567279997413,0,0.0
train,11,normal_20260823_112402.csv,11,1408,1536,2.8160535569995773,3.070052860999567,0,0.0
train,12,normal_20260823_112402.csv,12,1536,1664,3.0720528390002078,3.326060305999817,0,0.0
train,13,normal_20260823_112402.csv,13,1664,1792,3.328058598000098,3.582052601000214,0,0.0
train,14,normal_20260823_112402.csv,14,1792,1920,3.5840593570001147,3.838055193999935,0,0.0
train,15,normal_20260823_112402.csv,15,1920,2048,3.8400556159995176,4.094053859999804,0,0.0
train,16,normal_20260823_112402.csv,16,2048,2176,4.09605381900019,4.352689874999669,0,0.0
train,17,normal_20260823_112402.csv,17,2176,2304,4.353829012999995,4.606052627999816,0,0.0
train,18,normal_20260823_112402.csv,18,2304,2432,4.608061216999886,4.862053086999367,0,0.0
train,19,normal_20260823_112402.csv,19,2432,2560,4.8640533609996055,5.118052859999807,0,0.0
train,20,normal_20260823_112402.csv,20,2560,2688,5.120053022999855,5.374055962000057,0,0.0
train,21,normal_20260823_112402.csv,21,2688,2816,5.376053680000041,5.630052526999862,0,0.0
train,22,normal_20260823_112402.csv,22,2816,2944,5.632052652999846,5.886055277999731,0,0.0
train,23,normal_20260823_112402.csv,23,2944,3072,5.8880538479998,6.142054119999557,0,0.0
train,24,normal_20260823_112402.csv,24,3072,3200,6.144066023999585,6.398054199999933,0,0.0
train,25,normal_20260823_112402.csv,25,3200,3328,6.400054325999918,6.6540591869998025,0,0.0
train,26,normal_20260823_112402.csv,26,3328,3456,6.656055239000125,6.910054080999544,0,0.0
train,27,normal_20260823_112402.csv,27,3456,3584,6.912054391999845,7.166054049000195,0,0.0
train,28,normal_20260823_112402.csv,28,3584,3712,7.168054044999735,7.422054032000233,0,0.0
train,29,normal_20260823_112402.csv,29,3712,3840,7.424061175999668,7.678055810999467,0,0.0
train,30,normal_20260823_112402.csv,30,3840,3968,7.68005463999998,7.93406123800014,0,0.0
train,31,normal_20260823_112402.csv,31,3968,4096,7.936055974999363,8.190053405000072,0,0.0
train,32,normal_20260823_112402.csv,32,4096,4224,8.192054346000077,8.446054328000173,0,0.0
train,33,normal_20260823_112402.csv,33,4224,4352,8.448057083999629,8.702054825999767,0,0.0
train,34,normal_20260823_112402.csv,34,4352,4480,8.7040559699999,8.958054693000122,0,0.0
train,35,normal_20260823_112402.csv,35,4480,4608,8.960054189999937,9.21405441099978,0,0.0
train,36,normal_20260823_112402.csv,36,4608,4736,9.216054073999658,9.470060607999583,0,0.0
train,37,normal_20260823_112402.csv,37,4736,4864,9.47205560400016,9.72605532399939,0,0.0
train,38,normal_20260823_112402.csv,38,4864,4992,9.72805481999967,9.982098927999688,0,0.0
train,39,normal_20260823_112402.csv,39,4992,5120,9.984691928999382,10.238052677999804,0,0.0
train,40,normal_20260823_112402.csv,40,5120,5248,10.240052692999598,10.494053907999842,0,0.0
train,41,normal_20260823_112402.csv,41,5248,5376,10.496058996999636,10.75005260099988,0,0.0
train,42,normal_20260823_112402.csv,42,5376,5504,10.752052726999864,11.00605255299979,0,0.0
train,43,normal_20260823_112402.csv,43,5504,5632,11.008052678999777,11.262052539999786,0,0.0
train,44,normal_20260823_112402.csv,44,5632,5760,11.26405573899956,11.51805272799993,0,0.0
train,45,normal_20260823_112402.csv,45,5760,5888,11.520052686999406,11.774053490999904,0,0.0
