timestamp_s,signal,x_g,y_g,z_g,label,anomaly_type,source,sample_index,host_monotonic_ns,sensor_time_estimate_s,fifo_depth,overrun,gap,saturated,read_duration_ns
0.011316202,1.0291715017430283,-0.2145,-0.027299999999999998,-1.0062,-1,intended_normal75_startup_pilot_running_observation_pending,real_fifo,0,5397626363174,0.0,1,False,False,False,1746682
0.01696747,1.0971553308442703,-0.2301,-0.023399999999999997,-1.0725,-1,intended_normal75_startup_pilot_running_observation_pending,real_fifo,1,5397632014442,0.005,1,False,False,False,1734867
0.022579016,1.0935380240302575,-0.2301,-0.0312,-1.0686,-1,intended_normal75_startup_pilot_running_observation_pending,real_fifo,2,5397637625988,0.01,1,False,False,False,1735257
0.026269565,1.1085951515318837,-0.2301,-0.023399999999999997,-1.0842,-1,intended_normal75_startup_pilot_running_observation_pending,real_fifo,3,5397641316537,0.015,1,False,False,False,1737127
0.031869518,1.1079844403239605,-0.22619999999999998,-0.0312,-1.0842,-1,intended_normal75_startup_pilot_running_observation_pending,real_fifo,4,5397646916490,0.02,1,False,False,False,1734127
0.035548511,1.0810881601423632,-0.22619999999999998,-0.023399999999999997,-1.0569,-1,intended_normal75_startup_pilot_running_observation_pending,real_fifo,5,5397650595483,0.025,1,False,False,False,1728774
0.041135279,1.1027142240852794,-0.21839999999999998,-0.0351,-1.0803,-1,intended_normal75_startup_pilot_running_observation_pending,real_fifo,6,5397656182251,0.03,1,False,False,False,1730108
0.046692732,1.083498334101165,-0.21839999999999998,-0.0312,-1.0608,-1,intended_normal75_startup_pilot_running_observation_pending,real_fifo,7,5397661739704,0.035,1,False,False,False,1731200
0.050380059,1.0908014851475039,-0.21839999999999998,-0.0156,-1.0686,-1,intended_normal75_startup_pilot_running_observation_pending,real_fifo,8,5397665427031,0.04,1,False,False,False,1746237
0.055983475,1.100021254340115,-0.22619999999999998,-0.0156,-1.0764,-1,intended_normal75_startup_pilot_running_observation_pending,real_fifo,9,5397671030447,0.045,1,False,False,False,1733015
0.059665191,1.0948516337842311,-0.21839999999999998,-0.027299999999999998,-1.0725,-1,intended_normal75_startup_pilot_running_observation_pending,real_fifo,10,5397674712163,0.05,1,False,False,False,1734627
0.065304959,1.0986722941805716,-0.21839999999999998,-0.027299999999999998,-1.0764,-1,intended_normal75_startup_pilot_running_observation_pending,real_fifo,11,5397680351931,0.055,1,False,False,False,1742775
0.07092969,1.100249376277942,-0.22619999999999998,-0.027299999999999998,-1.0764,-1,intended_normal75_startup_pilot_running_observation_pending,real_fifo,12,5397685976662,0.06,1,False,False,False,1735219
0.074623461,1.0970790810146733,-0.2301,-0.0195,-1.0725,-1,intended_normal75_startup_pilot_running_observation_pending,real_fifo,13,5397689670433,0.065,1,False,False,False,1735293
0.080230692,1.0924525847834312,-0.22619999999999998,-0.0195,-1.0686,-1,intended_normal75_startup_pilot_running_observation_pending,real_fifo,14,5397695277664,0.07,1,False,False,False,1734886
0.083935334,1.0986722941805716,-0.21839999999999998,-0.027299999999999998,-1.0764,-1,intended_normal75_startup_pilot_running_observation_pending,real_fifo,15,5397698982306,0.075,1,False,False,False,1735479
0.089548509,1.1031830945042622,-0.2223,-0.023399999999999997,-1.0803,-1,intended_normal75_startup_pilot_running_observation_pending,real_fifo,16,5397704595481,0.08,1,False,False,False,1733312
0.095151017,1.084094779066849,-0.2223,-0.023399999999999997,-1.0608,-1,intended_normal75_startup_pilot_running_observation_pending,real_fifo,17,5397710197989,0.085,1,False,False,False,1732108
0.098842196,1.10947974294261,-0.2145,-0.0312,-1.0880999999999998,-1,intended_normal75_startup_pilot_running_observation_pending,real_fifo,18,5397713889168,0.09,1,False,False,False,1741182
0.104441649,1.0847610059363306,-0.22619999999999998,-0.0156,-1.0608,-1,intended_normal75_startup_pilot_running_observation_pending,real_fifo,19,5397719488621,0.095,1,False,False,False,1733589
0.108125828,1.099177483393833,-0.2223,-0.011699999999999999,-1.0764,-1,intended_normal75_startup_pilot_running_observation_pending,real_fifo,20,5397723172800,0.1,1,False,False,False,1735553
0.113714189,1.0832245612060318,-0.21839999999999998,-0.0195,-1.0608,-1,intended_normal75_startup_pilot_running_observation_pending,real_fifo,21,5397728761161,0.105,1,False,False,False,1732738
0.119302919,1.097467206799365,-0.2301,-0.0351,-1.0725,-1,intended_normal75_startup_pilot_running_observation_pending,real_fifo,22,5397734349891,0.11,1,False,False,False,1733885
0.122995746,1.0933432809506811,-0.2301,-0.023399999999999997,-1.0686,-1,intended_normal75_startup_pilot_running_observation_pending,real_fifo,23,5397738042718,0.115,1,False,False,False,1747274
0.128629977,1.0940803398288446,-0.2145,-0.027299999999999998,-1.0725,-1,intended_normal75_startup_pilot_running_observation_pending,real_fifo,24,5397743676949,0.12,1,False,False,False,1737682
0.132329285,1.0863652838709454,-0.23399999999999999,-0.011699999999999999,-1.0608,-1,intended_normal75_startup_pilot_running_observation_pending,real_fifo,25,5397747376257,0.125,1,False,False,False,1736256
0.137995424,1.0957403798345664,-0.2223,-0.0312,-1.0725,-1,intended_normal75_startup_pilot_running_observation_pending,real_fifo,26,5397753042396,0.13,1,False,False,False,1793108
0.141725398,1.084094779066849,-0.2223,-0.023399999999999997,-1.0608,-1,intended_normal75_startup_pilot_running_observation_pending,real_fifo,27,5397756772370,0.135,1,False,False,False,1736663
