window_id,window_start_s,window_end_s,label,anomaly_type,mean,standard_deviation,rms,minimum,maximum,peak_to_peak,median,kurtosis,dominant_frequency_hz,spectral_energy
0,0.0,0.998,0,normal,-0.0013126150466930915,0.7150917254489156,0.7150929301592682,-1.1895855943278215,1.1819603398978682,2.37154593422569,0.02231939837446215,-1.4607241357374434,30.0,254.6600282803354
1,1.0,1.998,0,normal,-0.004465695152496069,0.7158839832458739,0.7158979116474454,-1.2653101717385635,1.1765435686354822,2.4418537403740457,0.0367194280108363,-1.4320356976454405,30.0,255.22450130905267
2,2.0,2.998,0,normal,-0.0003923025276193246,0.7154744781612229,0.7154745857131106,-1.2077718241892814,1.2533618034505296,2.461133627639811,-0.008310433833639901,-1.4486987990914664,30.0,254.93431691594864
3,3.0,3.998,0,normal,-0.015883368422259278,0.7155834180967678,0.715759673107874,-1.274003238798415,1.1413472625225705,2.4153505013209857,-0.0047320574275339,-1.4670647620739998,30.0,255.030488767669
4,4.0,4.998,0,normal,-0.00011013086676702089,0.7090774118389159,0.7090774203914432,-1.1964410507411625,1.21003029558428,2.406471346325443,-0.0007075386746509499,-1.43632210292127,30.0,250.4055997900891
7,7.0,7.998,0,normal,-0.0021984470987348663,0.7138806628857639,0.7138840480161072,-1.1866028894853753,1.2449357416323814,2.431538631117757,0.01808414249727635,-1.4220718726126202,30.0,253.80919003597174
8,8.0,8.998,0,normal,0.0012817485699913353,0.7209428230394905,0.7209439624350473,-1.175147212267447,1.2319296646875308,2.407076876954978,-0.014393863748397951,-1.4541240373815274,30.0,258.84857688954855
9,9.0,9.998,0,normal,-0.005553244865182138,0.7096508467960595,0.7096725744221043,-1.2674269901975237,1.2086507581985828,2.4760777483961065,0.012862140526609101,-1.4480338136148303,30.0,250.80198702203052
12,12.0,12.998,0,normal,0.004746534474792244,0.7131273119039622,0.7131431080595896,-1.2182524053261208,1.2100637533325256,2.4283161586586464,0.0141121925623015,-1.4232864200239965,30.0,253.33525903984506
13,13.0,13.998,0,normal,-0.0018440951807227254,0.7206752950918985,0.7206776544633742,-1.2529210036706615,1.2051349883499671,2.4580559920206286,0.02624516277627825,-1.447906400588719,30.0,258.65188931358523
14,14.0,14.998,0,normal,-0.001532050392005469,0.7146354180055343,0.7146370602245229,-1.142204657819366,1.3116726615655756,2.453877319384942,0.0009655242107737003,-1.4539413803271781,30.0,254.33920541131477
17,17.0,17.998,0,normal,-0.003447077691323506,0.7109583142728262,0.71096667079285,-1.2208199680099596,1.2269767899628825,2.447796757972842,0.0106532411514886,-1.4232684654143106,30.0,251.72421216711433
18,18.0,18.998,0,normal,-0.007600483980670548,0.7084094858288786,0.7084502572298753,-1.1372363800526948,1.223839587281938,2.361075967334633,0.0009860254167319,-1.469096163479243,30.0,249.92373075263453
19,19.0,19.998,0,normal,-0.000687267895290022,0.7224863608652241,0.7224866877482482,-1.2112950313955984,1.2232174734478805,2.434512504843479,-0.007557256725235001,-1.475154478087684,30.0,259.97829548274194
20,20.0,20.998,0,normal,-0.008188826000925194,0.7148487393617665,0.7148956406625937,-1.247803475183367,1.161718837252996,2.409522312436363,0.004118052395354803,-1.4506707932651124,30.0,254.52880627192744
21,21.0,21.998,0,normal,-0.0004051957521881091,0.7174816135479222,0.7174817279645019,-1.2528355617166458,1.258224136244152,2.511059697960798,0.0197822404792062,-1.4332284364371122,30.0,256.38662331951167
22,22.0,22.998,0,normal,2.7957755572837417e-05,0.7184295161726265,0.7184295167166158,-1.2213032622859998,1.1910361817776602,2.41233944406366,-0.01961605976023845,-1.4477086742290926,30.0,257.043844613731
23,23.0,23.998,0,normal,0.007436869364293257,0.7142015964363552,0.7142403148648079,-1.1752256810530812,1.201656328654336,2.3768820097074173,-0.04225085450954335,-1.4692693141428375,30.0,254.03256997713777
24,24.0,24.998,0,normal,-0.0026374149895794976,0.7177577832546875,0.71776262885477,-1.182951376457287,1.209211321976332,2.3921626984336193,-0.0039805828991649,-1.444781793617755,30.0,256.56546830333406
27,27.0,27.998,0,normal,-0.0016108692577013182,0.7026619429838024,0.7026637894594667,-1.2459689850846636,1.2187073069639291,2.4646762920485927,0.0209395528868856,-1.4376840172593937,30.0,245.891967270749
28,28.0,28.998,0,normal,0.0022929236532053103,0.7162767730512177,0.7162804430609181,-1.1853571581590483,1.1729279627470626,2.358285120906111,0.009607495123037,-1.4272282082708696,30.0,255.50421955513883
29,29.0,29.998,0,normal,0.00934214001108984,0.7158008620042602,0.7158618229980062,-1.2102204232046934,1.1922887413102563,2.4025091645149494,0.02452951474326425,-1.4362970278650755,30.0,255.1931808567137
32,32.0,32.998000000000005,0,normal,-0.0012496691536959164,0.7138550991392244,0.71385619296891,-1.204198198532877,1.167328937534417,2.371527136067294,0.0131950832398929,-1.4495541404041272,30.0,253.78277133500936
