monotonic_ns,queue_pending_windows,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes
102176292940543,0,0.0,77168640,77381632
102176393301281,0,0.0,77217792,77381632
102176493557057,0,0.0,77217792,77381632
102176593812758,0,19.94931437650624,77234176,77381632
102176694001108,0,0.0,77234176,77381632
102176794196717,0,0.0,77234176,77381632
102176894369196,0,0.0,77234176,77381632
102176994590657,0,0.0,77234176,77381632
102177094774859,0,9.981663484422908,77234176,77381632
102177194935653,0,0.0,77234176,77381632
102177295118021,0,9.981866441372414,77234176,77381632
102177395281037,0,0.0,77234176,77381632
102177495468017,0,9.981148804938488,77234176,77381632
102177595667515,0,0.0,77234176,77381632
102177695825716,0,9.984265695351596,77234176,77381632
102177795978733,0,0.0,77234176,77381632
102177896137971,0,0.0,77234176,77381632
102177996301377,0,9.983571732705965,77234176,77381632
102178096497838,0,0.0,77234176,77381632
102178196680651,0,9.981692976107974,77234176,77381632
102178296878704,0,0.0,77234176,77381632
102178397036869,0,0.0,77234176,77381632
102178497197070,0,9.983863280274587,77234176,77381632
102178597397568,0,9.98008992132685,77234176,77381632
102178697566326,0,0.0,77234176,77381632
102178797739602,0,0.0,77234176,77381632
102178897905544,0,0.0,77234176,77381632
102178998063765,0,9.984243566256001,77234176,77381632
102179098215633,0,9.984688480734187,77234176,77381632
102179198427002,0,0.0,77234176,77381632
102179298606852,0,0.0,77234176,77381632
102179398782368,0,0.0,77234176,77381632
102179498945478,0,9.983521798095813,77234176,77381632
102179599172698,0,0.0,77234176,77381632
102179699354807,0,0.0,77234176,77381632
102179799533843,0,9.982156098595857,77234176,77381632
102179899691489,0,9.984239877357636,77234176,77381632
102179999872672,0,0.0,77234176,77381632
102180100055726,0,9.981770492471664,77234176,77381632
102180200239854,0,0.0,77234176,77381632
102180300405482,0,0.0,77234176,77381632
102180400575777,0,9.983003137457922,77234176,77381632
102180500745664,0,0.0,77234176,77381632
102180600955014,0,9.979197166234721,77234176,77381632
102180701147605,0,0.0,77234176,77381632
102180801339326,0,0.0,77234176,77381632
102180901543768,0,9.97954213805079,77234176,77381632
102181001734045,0,0.0,77234176,77381632
102181101899710,0,0.0,77234176,77381632
102181202095245,0,9.98061744192701,77234176,77381632
102181302259614,0,0.0,77234176,77381632
102181402420186,0,9.983964853944533,77234176,77381632
102181502600148,0,9.981831369411053,77234176,77381632
102181602808998,0,0.0,77234176,77381632
102181702976849,0,0.0,77234176,77381632
102181803149477,0,0.0,77234176,77381632
102181903310420,0,9.983791214207011,77234176,77381632
102182003510159,0,9.980147093343701,77234176,77381632
102182103682102,0,0.0,77234176,77381632
102182203844804,0,0.0,77234176,77381632
102182304012803,0,0.0,77234176,77381632
102182404174450,0,9.983795002856903,77234176,77381632
102182504367818,0,9.980585963469869,77234176,77381632
102182604579132,0,0.0,77234176,77381632
102182704760482,0,0.0,77234176,77381632
102182804954852,0,9.980735483560995,77234176,77381632
102182905122035,0,0.0,77234176,77381632
102183005303960,0,9.981685503491958,77234176,77381632
102183105510273,0,0.0,77234176,77381632
102183205679143,0,9.983084263595364,77234176,77381632
102183305879715,0,0.0,77234176,77381632
102183406047640,0,0.0,77234176,77381632
102183506213602,0,9.98321173257873,77234176,77381632
102183606430267,0,0.0,77234176,77381632
102183706604766,0,9.982683837649502,77234176,77381632
102183806768431,0,0.0,77234176,77381632
102183906936449,0,0.0,77234176,77381632
102184007116911,0,9.98199926149668,77234176,77381632
102184107279817,0,0.0,77234176,77381632
102184207436612,0,0.0,77234176,77381632
102184307594592,0,9.984149364569733,77234176,77381632
102184407783406,0,0.0,77234176,77381632
102184507951331,0,0.0,77234176,77381632
102184608167663,0,9.978549909192989,77234176,77381632
102184708349088,0,9.981801778314995,77234176,77381632
102184808545365,0,0.0,77234176,77381632
102184908731808,0,0.0,77234176,77381632
102185008921696,0,9.98104171019085,77234176,77381632
102185109107399,0,0.0,77234176,77381632
102185209264509,0,9.984324709654016,77234176,77381632
102185309439582,0,0.0,77234176,77381632
102185409590710,0,9.984926554081358,77234176,77381632
102185509744376,0,0.0,77234176,77381632
102185609950912,0,0.0,77234176,77381632
102185710119245,0,9.983226482249107,77234176,77381632
102185810287022,0,9.983254090500493,77234176,77381632
102185910447521,0,0.0,77234176,77381632
102186010639538,0,0.0,77234176,77381632
102186110846463,0,0.0,77234176,77381632
102186211040370,0,9.980766862938953,77234176,77381632
102186311265017,0,9.97757271054951,77234176,77381632
102186411426887,0,0.0,77234176,77381632
102186511595275,0,0.0,77234176,77381632
102186611824959,0,9.977167154024658,77234176,77381632
102186712021070,0,0.0,77234176,77381632
102186812216643,0,9.980586063488598,77234176,77381632
102186912385901,0,0.0,77234176,77381632
102187012581364,0,0.0,77234176,77381632
102187112749511,0,9.983222695481,77234176,77381632
102187212914732,0,0.0,77234176,77381632
102187313073750,0,0.0,77234176,77381632
102187413230176,0,9.984394890320672,77234176,77381632
102187513407638,0,0.0,77234176,77381632
102187613593804,0,9.981464122535048,77234176,77381632
102187713762414,0,0.0,77234176,77381632
102187813933469,0,9.982958789040861,77234176,77381632
102187914096913,0,0.0,77234176,77381632
102188014259505,0,0.0,77234176,77381632
102188114468227,0,9.9791656967358,77234176,77381632
102188214674819,0,0.0,77234176,77381632
102188314907929,0,9.976807614181133,77234176,77381632
102188415089077,0,0.0,77234176,77381632
102188515269373,0,0.0,77234176,77381632
102188615442039,0,9.982729976033031,77234176,77381632
102188715632890,0,0.0,77234176,77381632
102188815829797,0,9.98043644930806,77234176,77381632
102188916014704,0,0.0,77234176,77381632
102189016224074,0,0.0,77234176,77381632
102189116400259,0,9.982465998485749,77234176,77381632
102189216575184,0,9.982574916154144,77234176,77381632
102189316737036,0,0.0,77234176,77381632
102189416915794,0,0.0,77234176,77381632
102189517119701,0,0.0,77234176,77381632
102189617328460,0,9.979202643999775,77234176,77381632
102189717501682,0,9.982783391866796,77234176,77381632
102189817660738,0,0.0,77234176,77381632
102189917816941,0,0.0,77234176,77381632
102190017982200,0,9.983438573405204,77234176,77381632
102190118169366,0,0.0,77234176,77381632
102190218335218,0,9.983453325196258,77234176,77381632
102190318504736,0,0.0,77234176,77381632
102190418667625,0,0.0,77234176,77381632
102190518869273,0,9.97985356992791,77234176,77381632
102190619081532,0,0.0,77234176,77381632
102190719243772,0,9.983702603843902,77234176,77381632
102190819424809,0,0.0,77234176,77381632
102190919585864,0,0.0,77234176,77381632
102191019767809,0,9.9818496034944,77234176,77381632
102191119950364,0,0.0,77234176,77381632
102191220160364,0,9.9791049522958,77234176,77381632
102191320332438,0,0.0,77234176,77381632
102191420513975,0,0.0,77234176,77381632
102191520724975,0,0.0,77234176,77381632
102191620894475,0,9.983132199684448,77234176,77381632
102191721055123,0,9.983892586240557,77234176,77381632
102191821239789,0,0.0,77234176,77381632
102191921405808,0,0.0,77234176,77381632
102192021603049,0,19.96083962677169,77234176,77381632
102192121770530,0,0.0,77234176,77381632
102192221947641,0,0.0,77234176,77381632
102192322116345,0,0.0,77234176,77381632
102192422277882,0,0.0,77234176,77381632
102192522457086,0,19.964286088473465,77234176,77381632
102192622627067,0,0.0,77234176,77381632
102192722802049,0,0.0,77234176,77381632
102192822986734,0,0.0,77234176,77381632
102192923147549,0,9.983914715231085,77234176,77381632
102193023327068,0,0.0,77234176,77381632
102193123516642,0,9.981102379632437,77234176,77381632
102193223705420,0,0.0,77234176,77381632
102193323892624,0,0.0,77234176,77381632
102193424088179,0,9.980460454590773,77234176,77381632
102193524297383,0,9.97913074374001,77234176,77381632
102193624481087,0,0.0,77234176,77381632
102193724646439,0,0.0,77234176,77381632
102193824806773,0,0.0,77234176,77381632
102193924965514,0,9.984073505507913,77234176,77381632
102194025147755,0,9.981807257489962,77234176,77381632
102194125330848,0,0.0,77234176,77381632
102194225493589,0,0.0,77234176,77381632
102194325678348,0,9.981502778752073,77234176,77381632
102194425884774,0,0.0,77234176,77381632
102194526084164,0,0.0,77234176,77381632
102194626272701,0,9.981194631940431,77234176,77381632
102194726460535,0,0.0,77234176,77381632
102194826675776,0,9.978516652879021,77234176,77381632
102194926880702,0,0.0,77234176,77381632
102195027093684,0,9.978872530996773,77234176,77381632
102195127266962,0,0.0,77234176,77381632
102195227424592,0,0.0,77234176,77381632
102195327581093,0,9.984381730010538,77234176,77381632
102195427771130,0,9.98085890899624,77234176,77381632
102195527970482,0,0.0,77234176,77381632
102195628163946,0,0.0,77234176,77381632
102195728321965,0,9.984232200744213,77234176,77381632
102195828502651,0,0.0,77234176,77381632
102195928687910,0,0.0,77234176,77381632
102196028882189,0,9.980703905787744,77234176,77381632
102196129052041,0,0.0,77234176,77381632
102196229263394,0,0.0,77234176,77381632
102196329429283,0,9.983458806184498,77234176,77381632
102196429600580,0,9.982761269341454,77234176,77381632
102196529827154,0,0.0,77234176,77381632
102196629997007,0,0.0,77234176,77381632
102196730162582,0,0.0,77234176,77381632
102196830352694,0,9.981109751346272,77234176,77381632
102196930528305,0,9.982395744877874,77234176,77381632
102197030746473,0,0.0,77234176,77381632
102197130974325,0,0.0,77234176,77381632
102197231166363,0,0.0,77234176,77381632
102197331360363,0,9.98067252825523,77234176,77381632
102197431552901,0,0.0,77234176,77381632
102197531767402,0,9.978747063758554,77234176,77381632
102197631934606,0,0.0,77234176,77381632
102197732101274,0,9.98334618243984,77234176,77381632
102197832263849,0,0.0,77234176,77381632
102197932436035,0,0.0,77234176,77381632
102198032605814,0,19.96583606064294,77234176,77381632
102198132810277,0,0.0,77234176,77381632
102198232977000,0,0.0,77234176,77381632
102198333161909,0,0.0,77234176,77381632
102198433332280,0,0.0,77234176,77381632
102198533527188,0,9.980665155738091,77234176,77381632
102198633702522,0,9.982495394855983,77234176,77381632
102198733869227,0,0.0,77234176,77381632
102198834034191,0,9.983569539680406,77234176,77381632
102198934192266,0,0.0,77234176,77381632
102199034343008,0,0.0,77234176,77381632
102199134492453,0,9.98507221731714,77234176,77381632
102199234647158,0,0.0,77234176,77381632
102199334816603,0,0.0,77234176,77381632
102199434982567,0,9.983235452448742,77234176,77381632
102199535181235,0,0.0,77234176,77381632
102199635368255,0,0.0,77234176,77381632
102199735547496,0,9.982122616691035,77234176,77381632
102199835729053,0,0.0,77234176,77381632
102199935905313,0,9.982443775861281,77234176,77381632
102200036091370,0,0.0,77234176,77381632
102200136390408,0,0.0,77234176,77381632
102200236645335,0,9.974667934022692,77234176,77381632
102200336835262,0,9.980921469450998,77234176,77381632
102200437056615,0,0.0,77234176,77381632
102200537279820,0,0.0,77234176,77381632
102200637474432,0,9.98063009221736,77234176,77381632
102200737654285,0,9.982056255295229,77234176,77381632
102200837826324,0,0.0,77234176,77381632
102200937992473,0,0.0,77234176,77381632
102201038195493,0,0.0,77234176,77381632
102201138396846,0,9.97994759056237,77234176,77381632
102201238601958,0,0.0,77234176,77381632
102201338791478,0,9.981094907901007,77234176,77381632
102201438995201,0,0.0,77234176,77381632
102201539215962,0,9.978147656262722,77234176,77381632
102201639399074,0,0.0,77234176,77381632
102201739585113,0,0.0,77234176,77381632
102201839753170,0,9.983215120503095,77234176,77381632
102201939922060,0,9.983071206808587,77234176,77381632
