split,split_index,source_file,window_index,start_sample,end_sample_exclusive,window_start_s,window_end_s,label,anomaly_fraction
train,0,normal_001.csv,0,0,128,5.919991963310167e-07,0.2540535829994041,0,0.0
train,1,normal_001.csv,1,128,256,0.2560527469995577,0.51005281200014,0,0.0
train,2,normal_001.csv,2,256,384,0.5120535689984536,0.7660528199994587,0,0.0
train,3,normal_001.csv,3,384,512,0.7680525959985971,1.0220551610000257,0,0.0
train,4,normal_001.csv,4,512,640,1.024054454999714,1.2780540579988156,0,0.0
train,5,normal_001.csv,5,640,768,1.280054017999646,1.5340572689983674,0,0.0
train,6,normal_001.csv,6,768,896,1.5360543219994724,1.7900538319991028,0,0.0
train,7,normal_001.csv,7,896,1024,1.7920549779992143,2.0460540629992465,0,0.0
train,8,normal_001.csv,8,1024,1152,2.048054097998829,2.302060977999645,0,0.0
train,9,normal_001.csv,9,1152,1280,2.304055438999057,2.558054245999301,0,0.0
train,10,normal_001.csv,10,1280,1408,2.5600541879994125,2.814054012998895,0,0.0
train,11,normal_001.csv,11,1408,1536,2.8160539739983506,3.070053836998341,0,0.0
train,12,normal_001.csv,12,1536,1664,3.072055296999679,3.326053807999415,0,0.0
train,13,normal_001.csv,13,1664,1792,3.328053823999653,3.582056927998565,0,0.0
train,14,normal_001.csv,14,1792,1920,3.5840546849995008,3.838053788998877,0,0.0
train,15,normal_001.csv,15,1920,2048,3.8400538609985233,4.094053889999486,0,0.0
train,16,normal_001.csv,16,2048,2176,4.096053870000105,4.350053954998657,0,0.0
train,17,normal_001.csv,17,2176,2304,4.3520554159986204,4.606054296998991,0,0.0
train,18,normal_001.csv,18,2304,2432,4.6080543879998,4.862054825000087,0,0.0
train,19,normal_001.csv,19,2432,2560,4.8640543599995,5.1180541119993,0,0.0
train,20,normal_001.csv,20,2560,2688,5.1200541839989455,5.37405415899957,0,0.0
train,21,normal_001.csv,21,2688,2816,5.376054193999153,5.630054297998868,0,0.0
train,22,normal_001.csv,22,2816,2944,5.632059573999868,5.886053770998842,0,0.0
train,23,normal_001.csv,23,2944,3072,5.8880574349987,6.142054854999515,0,0.0
train,24,normal_001.csv,24,3072,3200,6.144056555998759,6.398054160999891,0,0.0
train,25,normal_001.csv,25,3200,3328,6.4000542879985005,6.654055466999125,0,0.0
train,26,normal_001.csv,26,3328,3456,6.656054223998581,6.910053810999671,0,0.0
train,27,normal_001.csv,27,3456,3584,6.912072882998473,7.166054061999603,0,0.0
