split,split_index,source_file,window_index,start_sample,end_sample_exclusive,window_start_s,window_end_s,label,anomaly_fraction
train,0,normal_001.csv,0,0,128,7.410017133224756e-07,0.2540591920005681,0,0.0
train,1,normal_001.csv,1,128,256,0.2560536560013133,0.5100528670009226,0,0.0
train,2,normal_001.csv,2,256,384,0.5120526829996379,0.7660612090003269,0,0.0
train,3,normal_001.csv,3,384,512,0.7680570240008819,1.022054068002035,0,0.0
train,4,normal_001.csv,4,512,640,1.0240615510010684,1.278059354001016,0,0.0
train,5,normal_001.csv,5,640,768,1.2800541700016763,1.534064491999743,0,0.0
train,6,normal_001.csv,6,768,896,1.536062844999833,1.7900576300016835,0,0.0
train,7,normal_001.csv,7,896,1024,1.792054093999468,2.046056416002102,0,0.0
train,8,normal_001.csv,8,1024,1152,2.04805689800196,2.3020536830008496,0,0.0
train,9,normal_001.csv,9,1152,1280,2.304055258002336,2.5580606360017555,0,0.0
train,10,normal_001.csv,10,1280,1408,2.560058507002396,2.8140719210023235,0,0.0
train,11,normal_001.csv,11,1408,1536,2.8160721999993257,3.0700537630000326,0,0.0
train,12,normal_001.csv,12,1536,1664,3.072056319000694,3.326054123001086,0,0.0
train,13,normal_001.csv,13,1664,1792,3.3280778830012423,3.582053594000172,0,0.0
train,14,normal_001.csv,14,1792,1920,3.584059613000136,3.8380542320010136,0,0.0
train,15,normal_001.csv,15,1920,2048,3.840053918000194,4.094061332001729,0,0.0
train,16,normal_001.csv,16,2048,2176,4.096055463000084,4.350053303001914,0,0.0
train,17,normal_001.csv,17,2176,2304,4.352053397000418,4.606065497002419,0,0.0
train,18,normal_001.csv,18,2304,2432,4.608063719999336,4.862053875000129,0,0.0
train,19,normal_001.csv,19,2432,2560,4.864058375998866,5.118054087000928,0,0.0
train,20,normal_001.csv,20,2560,2688,5.1200539950004895,5.374055002001114,0,0.0
train,21,normal_001.csv,21,2688,2816,5.376055095999618,5.630053288001363,0,0.0
train,22,normal_001.csv,22,2816,2944,5.632053752000502,5.889016760000231,0,0.0
train,23,normal_001.csv,23,2944,3072,5.890148113001487,6.142943879000086,0,0.0
train,24,normal_001.csv,24,3072,3200,6.1440653419995215,6.39807860899964,0,0.0
train,25,normal_001.csv,25,3200,3328,6.400099276001129,6.654109819999576,0,0.0
train,26,normal_001.csv,26,3328,3456,6.656079025000508,6.910053791001701,0,0.0
train,27,normal_001.csv,27,3456,3584,6.912052792002214,7.166064337001444,0,0.0
train,28,normal_001.csv,28,3584,3712,7.1680595409998205,7.422052919002454,0,0.0
train,29,normal_001.csv,29,3712,3840,7.424056771000323,7.678056705000927,0,0.0
train,30,normal_001.csv,30,3840,3968,7.680060501999833,7.934056713002064,0,0.0
train,31,normal_001.csv,31,3968,4096,7.936053825000272,8.19005296099931,0,0.0
train,32,normal_001.csv,32,4096,4224,8.192052721999062,8.446053673000279,0,0.0
train,33,normal_001.csv,33,4224,4352,8.448053118001553,8.702052643999195,0,0.0
train,34,normal_001.csv,34,4352,4480,8.704055849000724,8.958053115002258,0,0.0
train,35,normal_001.csv,35,4480,4608,8.960052524002094,9.214055234002444,0,0.0
train,36,normal_001.csv,36,4608,4736,9.216054882999742,9.470052835000388,0,0.0
train,37,normal_001.csv,37,4736,4864,9.472052576998976,9.726052843001526,0,0.0
train,38,normal_001.csv,38,4864,4992,9.728052585000114,9.982056148000993,0,0.0
train,39,normal_001.csv,39,4992,5120,9.984060221999243,10.238094508000358,0,0.0
train,40,normal_001.csv,40,5120,5248,10.240907211999,10.49406014499982,0,0.0
train,41,normal_001.csv,41,5248,5376,10.496053979000862,10.750084819999756,0,0.0
train,42,normal_001.csv,42,5376,5504,10.75207643199974,11.006054864999896,0,0.0
train,43,normal_001.csv,43,5504,5632,11.008053755002038,11.26205402100095,0,0.0
train,44,normal_001.csv,44,5632,5760,11.264061596000827,11.51805627000067,0,0.0
train,45,normal_001.csv,45,5760,5888,11.520054049000464,11.774058777999016,0,0.0
train,46,normal_001.csv,46,5888,6016,11.77605524200044,12.030054545000894,0,0.0
train,47,normal_001.csv,47,6016,6144,12.032054176001113,12.286057091001569,0,0.0
train,48,normal_001.csv,48,6144,6272,12.288054221000491,12.542055190999235,0,0.0
train,49,normal_001.csv,49,6272,6400,12.544078359002016,12.79805444000158,0,0.0
train,50,normal_001.csv,50,6400,6528,12.800052755999786,13.054056633001892,0,0.0
train,51,normal_001.csv,51,6528,6656,13.056053615000565,13.310055734000343,0,0.0
train,52,normal_001.csv,52,6656,6784,13.312053067998932,13.566059446002328,0,0.0
train,53,normal_001.csv,53,6784,6912,13.568054482999289,13.822057491001033,0,0.0
train,54,normal_001.csv,54,6912,7040,13.824061973002244,14.0780697400005,0,0.0
train,55,normal_001.csv,55,7040,7168,14.080060092001077,14.334059748001891,0,0.0
train,56,normal_001.csv,56,7168,7296,14.336053693001304,14.590052810999625,0,0.0
train,57,normal_001.csv,57,7296,7424,14.59205255300185,14.846052801000042,0,0.0
train,58,normal_001.csv,58,7424,7552,14.848052579000068,15.102052605001518,0,0.0
train,59,normal_001.csv,59,7552,7680,15.104053661001672,15.35805363200052,0,0.0
