split,split_index,source_file,window_index,start_sample,end_sample_exclusive,window_start_s,window_end_s,label,anomaly_fraction
train,0,normal_001.csv,0,0,128,0.011287058,0.626233339,0,0.0
train,1,normal_001.csv,1,128,256,0.630117525,1.243838491,0,0.0
train,2,normal_001.csv,2,256,384,1.247558437,1.8620547,0,0.0
train,3,normal_001.csv,3,384,512,1.865798831,2.479261539,0,0.0
train,4,normal_001.csv,4,512,640,2.484828985,3.098674916,0,0.0
train,5,normal_001.csv,5,640,768,3.102359806,3.716684127,0,0.0
train,6,normal_001.csv,6,768,896,3.720431758,4.334162135,0,0.0
train,7,normal_001.csv,7,896,1024,4.338003506,4.951326366,0,0.0
train,8,normal_001.csv,8,1024,1152,4.956994682,5.57107306,0,0.0
train,9,normal_001.csv,9,1152,1280,5.574794839,6.188094793,0,0.0
train,10,normal_001.csv,10,1280,1408,6.193983702,6.806069544,0,0.0
train,11,normal_001.csv,11,1408,1536,6.811719398,7.425001963,0,0.0
train,12,normal_001.csv,12,1536,1664,7.428687186,8.043260586,0,0.0
train,13,normal_001.csv,13,1664,1792,8.04699768,8.660972062,0,0.0
train,14,normal_001.csv,14,1792,1920,8.664708878,9.278223038,0,0.0
train,15,normal_001.csv,15,1920,2048,9.284030077,9.896386867,0,0.0
train,16,normal_001.csv,16,2048,2176,9.902244425,10.515738531,0,0.0
train,17,normal_001.csv,17,2176,2304,10.519505124,11.133715195,0,0.0
train,18,normal_001.csv,18,2304,2432,11.137623751,11.751656711,0,0.0
train,19,normal_001.csv,19,2432,2560,11.755574619,12.368924765,0,0.0
train,20,normal_001.csv,20,2560,2688,12.374676988,12.986635745,0,0.0
train,21,normal_001.csv,21,2688,2816,12.992342358,13.604713893,0,0.0
train,22,normal_001.csv,22,2816,2944,13.610358265,14.222529486,0,0.0
train,23,normal_001.csv,23,2944,3072,14.228184803,14.841939451,0,0.0
train,24,normal_001.csv,24,3072,3200,14.845861396,15.459571693,0,0.0
train,25,normal_001.csv,25,3200,3328,15.463274213,16.077264103,0,0.0
train,26,normal_001.csv,26,3328,3456,16.082914401,16.695393477,0,0.0
train,27,normal_001.csv,27,3456,3584,16.700996719,17.313804148,0,0.0
train,28,normal_001.csv,28,3584,3712,17.319421205,17.930824634,0,0.0
train,29,normal_001.csv,29,3712,3840,17.936449858,18.549359824,0,0.0
