timestamp_s,signal,x_g,y_g,z_g,label,anomaly_type,source,sample_index,host_monotonic_ns,sensor_time_estimate_s,fifo_depth,overrun,gap,saturated,read_duration_ns
0.011431666,0.8924952100711802,-0.5967,-0.6591,0.078,0,normal,real_fifo,0,10626815263655,0.0,1,False,False,False,1770070
0.017238923,0.9530134993797307,-0.6201,-0.7176,0.09359999999999999,0,normal,real_fifo,1,10626821070912,0.005,1,False,False,False,1790088
0.021025022,0.9573844682258011,-0.6317999999999999,-0.7137,0.0897,0,normal,real_fifo,2,10626824857011,0.01,1,False,False,False,1759588
0.026948574,0.9618541781372059,-0.6201,-0.7293,0.09359999999999999,0,normal,real_fifo,3,10626830780563,0.015,1,False,False,False,1810588
0.030795116,0.9534044367423512,-0.6201,-0.7176,0.09749999999999999,0,normal,real_fifo,4,10626834627105,0.02,1,False,False,False,1743421
0.036618725,0.9464553555239676,-0.6162,-0.7137,0.0819,0,normal,real_fifo,5,10626840450714,0.025,1,False,False,False,1777625
0.040407194,0.9632368400346822,-0.6356999999999999,-0.7176,0.09359999999999999,0,normal,real_fifo,6,10626844239183,0.03,1,False,False,False,1728866
0.046011102,0.9534283664754265,-0.624,-0.7137,0.10139999999999999,0,normal,real_fifo,7,10626849843091,0.035,1,False,False,False,1735662
0.051653177,0.9573844682258011,-0.6317999999999999,-0.7137,0.0897,0,normal,real_fifo,8,10626855485166,0.04,1,False,False,False,1735940
0.055381091,0.9581149930984276,-0.624,-0.7214999999999999,0.0897,0,normal,real_fifo,9,10626859213080,0.045,1,False,False,False,1738977
0.06097461,0.9589004797162217,-0.6279,-0.7176,0.10139999999999999,0,normal,real_fifo,10,10626864806599,0.05,1,False,False,False,1731458
0.064667933,0.9497120616271018,-0.624,-0.7098,0.09359999999999999,0,normal,real_fifo,11,10626868499922,0.055,1,False,False,False,1736922
0.070255637,0.9435179330569187,-0.624,-0.702,0.0897,0,normal,real_fifo,12,10626874087626,0.06,1,False,False,False,1725774
0.075857527,0.9464232140010091,-0.624,-0.7059,0.0897,0,normal,real_fifo,13,10626879689516,0.065,1,False,False,False,1735107
0.079563738,0.9559456103774943,-0.624,-0.7176,0.09749999999999999,0,normal,real_fifo,14,10626883395727,0.07,1,False,False,False,1729144
0.085148368,0.9542336506327996,-0.6201,-0.7176,0.10529999999999999,0,normal,real_fifo,15,10626888980357,0.075,1,False,False,False,1725459
0.088817857,0.9530773368410351,-0.6279,-0.7098,0.10139999999999999,0,normal,real_fifo,16,10626892649846,0.08,1,False,False,False,1726384
0.09439447,0.9442350237096695,-0.6201,-0.7059,0.09359999999999999,0,normal,real_fifo,17,10626898226459,0.085,1,False,False,False,1728626
0.099967564,0.9516079917697202,-0.6201,-0.7176,0.078,0,normal,real_fifo,18,10626903799553,0.09,1,False,False,False,1726033
0.10368307,0.9438564032732946,-0.6201,-0.7059,0.0897,0,normal,real_fifo,19,10626907515059,0.095,1,False,False,False,1743384
0.109318812,0.9538510261041816,-0.624,-0.7137,0.10529999999999999,0,normal,real_fifo,20,10626913150801,0.1,1,False,False,False,1738459
0.113012411,0.9480289552540049,-0.624,-0.7059,0.10529999999999999,0,normal,real_fifo,21,10626916844400,0.105,1,False,False,False,1738458
0.118616875,0.9459329204547223,-0.6123,-0.7176,0.0702,0,normal,real_fifo,22,10626922448864,0.11,1,False,False,False,1735644
0.122303049,0.9434937519665936,-0.6201,-0.7059,0.0858,0,normal,real_fifo,23,10626926135038,0.115,1,False,False,False,1734755
0.128199342,0.9530134993797307,-0.6201,-0.7176,0.09359999999999999,0,normal,real_fifo,24,10626932031331,0.12,1,False,False,False,1851309
0.131988923,0.9559853869176035,-0.6279,-0.7137,0.10139999999999999,0,normal,real_fifo,25,10626935820912,0.125,1,False,False,False,1741570
0.137716644,0.9548550884820166,-0.6317999999999999,-0.7098,0.09359999999999999,0,normal,real_fifo,26,10626941548633,0.13,1,False,False,False,1803384
0.143504328,0.9570666747933501,-0.6356999999999999,-0.7098,0.0897,0,normal,real_fifo,27,10626947336317,0.135,1,False,False,False,1760237
0.147329092,0.9442350237096695,-0.6201,-0.7059,0.09359999999999999,0,normal,real_fifo,28,10626951161081,0.14,1,False,False,False,1747014
0.153145276,0.954743578140225,-0.624,-0.7137,0.11309999999999999,0,normal,real_fifo,29,10626956977265,0.145,1,False,False,False,1765126
0.1569273,0.9496640142703102,-0.6162,-0.7137,0.11309999999999999,0,normal,real_fifo,30,10626960759289,0.15,1,False,False,False,1739440
0.162605189,0.9447020482670714,-0.624,-0.702,0.10139999999999999,0,normal,real_fifo,31,10626966437178,0.155,1,False,False,False,1759496
0.16632964,0.9460615466236855,-0.624,-0.7059,0.0858,0,normal,real_fifo,32,10626970161629,0.16,1,False,False,False,1739866
0.171939696,0.9530214792962435,-0.624,-0.7137,0.09749999999999999,0,normal,real_fifo,33,10626975771685,0.165,1,False,False,False,1737440
0.175640685,0.9668932981461811,-0.6317999999999999,-0.7253999999999999,0.09749999999999999,0,normal,real_fifo,34,10626979472674,0.17,1,False,False,False,1743773
0.181290204,0.9723678470620055,-0.6356999999999999,-0.7293,0.09749999999999999,0,normal,real_fifo,35,10626985122193,0.175,1,False,False,False,1752811
0.185074043,0.9643730865178682,-0.6317999999999999,-0.7214999999999999,0.10139999999999999,0,normal,real_fifo,36,10626988906032,0.18,1,False,False,False,1779328
0.190711784,0.9589004797162217,-0.6279,-0.7176,0.10139999999999999,0,normal,real_fifo,37,10626994543773,0.185,1,False,False,False,1740810
0.196356303,0.9526702997364829,-0.6279,-0.7098,0.09749999999999999,0,normal,real_fifo,38,10627000188292,0.19,1,False,False,False,1738588
0.200053866,0.955213426413176,-0.624,-0.7137,0.11699999999999999,0,normal,real_fifo,39,10627003885855,0.195,1,False,False,False,1733403
0.205672255,0.9483417580176463,-0.6162,-0.7137,0.10139999999999999,0,normal,real_fifo,40,10627009504244,0.2,1,False,False,False,1735310
0.209360985,0.9563512534628686,-0.624,-0.7176,0.10139999999999999,0,normal,real_fifo,41,10627013192974,0.205,1,False,False,False,1735274
0.215016559,0.9562081049646045,-0.6356999999999999,-0.7059,0.10919999999999999,0,normal,real_fifo,42,10627018848548,0.21,1,False,False,False,1751514
0.22064593,0.9464151784497119,-0.6201,-0.7098,0.0858,0,normal,real_fifo,43,10627024477919,0.215,1,False,False,False,1744125
0.22439601,0.9421063315783416,-0.6083999999999999,-0.7137,0.0897,0,normal,real_fifo,44,10627028227999,0.22,1,False,False,False,1744440
0.230018474,0.9572970855486818,-0.6279,-0.7137,0.11309999999999999,0,normal,real_fifo,45,10627033850463,0.225,1,False,False,False,1733903
0.233710592,0.9541220676622042,-0.6317999999999999,-0.7098,0.0858,0,normal,real_fifo,46,10627037542581,0.23,1,False,False,False,1738107
0.239313464,0.95206341175365,-0.6356999999999999,-0.702,0.09749999999999999,0,normal,real_fifo,47,10627043145453,0.235,1,False,False,False,1733867
0.243000267,0.946479460949893,-0.6279,-0.702,0.09359999999999999,0,normal,real_fifo,48,10627046832256,0.24,1,False,False,False,1733959
0.248595583,0.9278394257628849,-0.6006,-0.702,0.0858,0,normal,real_fifo,49,10627052427572,0.245,1,False,False,False,1735163
0.254191565,0.9501043574260671,-0.624,-0.7098,0.09749999999999999,0,normal,real_fifo,50,10627058023554,0.25,1,False,False,False,1734310
0.257878702,0.9457158241247737,-0.624,-0.7059,0.0819,0,normal,real_fifo,51,10627061710691,0.255,1,False,False,False,1736884
0.263503036,0.9560728894807131,-0.6317999999999999,-0.7098,0.10529999999999999,0,normal,real_fifo,52,10627067335025,0.26,1,False,False,False,1736422
0.267235006,0.9570269431943909,-0.6317999999999999,-0.7137,0.0858,0,normal,real_fifo,53,10627071066995,0.265,1,False,False,False,1758514
0.272956024,0.9376722561748321,-0.6201,-0.6980999999999999,0.0858,0,normal,real_fifo,54,10627076788013,0.27,1,False,False,False,1746533
0.27870893,0.9545523872475518,-0.6356999999999999,-0.7059,0.09359999999999999,0,normal,real_fifo,55,10627082540919,0.275,1,False,False,False,1837013
0.282466325,0.953500152071304,-0.6279,-0.7098,0.10529999999999999,0,normal,real_fifo,56,10627086298314,0.28,1,False,False,False,1741570
0.288091696,0.9534044367423512,-0.6201,-0.7176,0.09749999999999999,0,normal,real_fifo,57,10627091923685,0.285,1,False,False,False,1734718
0.291806222,0.9658387598352014,-0.6279,-0.7293,0.0819,0,normal,real_fifo,58,10627095638211,0.29,1,False,False,False,1748848
0.297544332,0.9534044367423512,-0.6201,-0.7176,0.09749999999999999,0,normal,real_fifo,59,10627101376321,0.295,1,False,False,False,1743311
0.301270172,0.952638367902532,-0.6201,-0.7176,0.0897,0,normal,real_fifo,60,10627105102161,0.3,1,False,False,False,1749366
0.306900283,0.9505524972351604,-0.6317999999999999,-0.7059,0.078,0,normal,real_fifo,61,10627110732272,0.305,1,False,False,False,1738273
0.310593587,0.9563512534628686,-0.624,-0.7176,0.10139999999999999,0,normal,real_fifo,62,10627114425576,0.31,1,False,False,False,1735014
0.316195532,0.9555397950896655,-0.6162,-0.7214999999999999,0.11309999999999999,0,normal,real_fifo,63,10627120027521,0.315,1,False,False,False,1736125
0.321800274,0.9593207284323633,-0.6279,-0.7176,0.10529999999999999,0,normal,real_fifo,64,10627125632263,0.32,1,False,False,False,1736885
0.325492911,0.944629594073783,-0.6201,-0.7059,0.09749999999999999,0,normal,real_fifo,65,10627129324900,0.325,1,False,False,False,1737126
0.33112067,0.9570666747933501,-0.6356999999999999,-0.7098,0.0897,0,normal,real_fifo,66,10627134952659,0.33,1,False,False,False,1737384
0.334823752,0.9479567553427741,-0.6201,-0.7098,0.10139999999999999,0,normal,real_fifo,67,10627138655741,0.335,1,False,False,False,1735070
0.340441493,0.9432115934401993,-0.6279,-0.6980999999999999,0.0897,0,normal,real_fifo,68,10627144273482,0.34,1,False,False,False,1742125
0.346084382,0.9559456103774943,-0.624,-0.7176,0.09749999999999999,0,normal,real_fifo,69,10627149916371,0.345,1,False,False,False,1736755
0.349799426,0.9647909514501055,-0.6317999999999999,-0.7214999999999999,0.10529999999999999,0,normal,real_fifo,70,10627153631415,0.35,1,False,False,False,1740088
0.355455352,0.9584959154842551,-0.6279,-0.7176,0.09749999999999999,0,normal,real_fifo,71,10627159287341,0.355,1,False,False,False,1740551
0.359164396,0.9566851833283507,-0.6317999999999999,-0.7137,0.0819,0,normal,real_fifo,72,10627162996385,0.36,1,False,False,False,1734477
0.364762953,0.9513762031919865,-0.624,-0.7098,0.10919999999999999,0,normal,real_fifo,73,10627168594942,0.365,1,False,False,False,1732089
0.370365194,0.9484700575136782,-0.624,-0.7059,0.10919999999999999,0,normal,real_fifo,74,10627174197183,0.37,1,False,False,False,1738792
0.374059998,0.9434937519665936,-0.6201,-0.7059,0.0858,0,normal,real_fifo,75,10627177891987,0.375,1,False,False,False,1734774
0.379852163,0.935918746473218,-0.6044999999999999,-0.7098,0.0819,0,normal,real_fifo,76,10627183684152,0.38,1,False,False,False,3822210
0.383647706,0.9519355965610278,-0.6201,-0.7176,0.0819,0,normal,real_fifo,77,10627187479695,0.385,1,False,False,False,1750626
0.389369298,0.9457158241247737,-0.624,-0.7059,0.0819,0,normal,real_fifo,78,10627193201287,0.39,1,False,False,False,1788162
0.393113656,0.9541220676622042,-0.6317999999999999,-0.7098,0.0858,0,normal,real_fifo,79,10627196945645,0.395,1,False,False,False,1738681
0.398726657,0.9438644606086194,-0.6162,-0.7098,0.0858,0,normal,real_fifo,80,10627202558646,0.4,1,False,False,False,1736126
0.402431849,0.9555795885220654,-0.6201,-0.7214999999999999,0.0897,0,normal,real_fifo,81,10627206263838,0.405,1,False,False,False,1751051
