start_s,center_s,samples,vector_ac_rms_g,has_sensor_flags
0,2.5,1015,0.03342429862279943,False
5,7.5,1036,0.08436279457194888,False
10,12.5,1035,0.05815535579465957,False
15,17.5,1036,0.05864437407699684,False
20,22.5,1036,0.058893494598181606,False
25,27.5,1035,0.05884360868765479,False
30,32.5,1036,0.05882586202256946,False
35,37.5,1035,0.0594238772717003,False
40,42.5,1036,0.05902292893272418,False
45,47.5,1036,0.059691535132034894,False
50,52.5,1035,0.059421987948871595,False
55,57.5,1036,0.05956460115628522,False
60,62.5,1036,0.05997143351665703,False
65,67.5,1035,0.059718046799502524,False
70,72.5,1036,0.05972095293287549,False
75,77.5,1035,0.059728181269172814,False
80,82.5,1036,0.060132791517062106,False
85,87.5,1035,0.05966516169931089,False
90,92.5,1036,0.06020393458154541,False
95,97.5,1035,0.060595821700521864,False
100,102.5,1036,0.060072646971663465,False
105,107.5,1036,0.0601355968287804,False
110,112.5,1035,0.06004977552358278,False
115,117.5,1036,0.06015338762168617,False
120,122.5,1036,0.060416062575348456,False
125,127.5,1035,0.060589771305142696,False
130,132.5,1036,0.06095127844035604,False
135,137.5,1035,0.06058383889404563,False
140,142.5,1036,0.05993959096778609,False
145,147.5,1036,0.06046814263711264,False
150,152.5,1035,0.06048595954430564,False
155,157.5,1036,0.06055347656491518,False
160,162.5,1035,0.06063575813588295,False
165,167.5,1036,0.06297718814899951,False
170,172.5,1035,0.062507278608311,False
175,177.5,1036,0.06184566084603791,False
180,182.5,1035,0.062268262448028654,False
185,187.5,1036,0.06220654746260372,False
190,192.5,1035,0.06118728021812617,False
195,197.5,1035,0.060806480532704786,False
200,202.5,1036,0.060523055618656854,False
205,207.5,1035,0.06038727354028388,False
210,212.5,1036,0.061589419540041365,False
215,217.5,1035,0.06099030233532214,False
220,222.5,1036,0.0600793114433697,False
225,227.5,1036,0.06131004514628502,False
230,232.5,1035,0.0601364478352693,False
235,237.5,1036,0.06023516838842356,False
240,242.5,1035,0.060537371447188966,False
245,247.5,1036,0.06041310784538604,False
250,252.5,1036,0.06023737455699864,False
255,257.5,1035,0.060568086383629066,False
260,262.5,1036,0.060724079766987224,False
265,267.5,1036,0.06038124122385302,False
270,272.5,1035,0.060141076554905006,False
275,277.5,1036,0.06129873203386402,False
280,282.5,1035,0.06009761677844692,False
285,287.5,1036,0.06055941863363891,False
290,292.5,1035,0.06053957307486184,False
295,297.5,1036,0.0607958629415183,False
