start_s,center_s,samples,vector_ac_rms_g,has_sensor_flags
0,2.5,1015,0.03257210964125718,False
5,7.5,1036,0.09262035414491049,False
10,12.5,1036,0.05329119834035355,False
15,17.5,1035,0.05231617868855665,False
20,22.5,1036,0.053008156559935654,False
25,27.5,1036,0.05329559770477093,False
30,32.5,1036,0.05479723192594698,False
35,37.5,1035,0.05468994306125842,False
40,42.5,1036,0.055671623177214705,False
45,47.5,1036,0.055914706627371934,False
50,52.5,1036,0.056023730189141856,False
55,57.5,1035,0.05689037207752004,False
60,62.5,1036,0.05671185334592243,False
65,67.5,1036,0.057002814303259604,False
70,72.5,1035,0.05669102220803403,False
75,77.5,1036,0.056864253450001886,False
80,82.5,1021,0.05712372753737821,False
85,87.5,1051,0.05748366162375456,False
90,92.5,1036,0.05759802274909554,False
95,97.5,1035,0.05756619158070551,False
100,102.5,1036,0.05725824905707335,False
105,107.5,1036,0.0577615580121728,False
110,112.5,1036,0.05745260543105617,False
115,117.5,1012,0.05822575670473297,True
120,122.5,1036,0.057288715871415014,False
125,127.5,1036,0.056479581051719845,False
130,132.5,1036,0.05629757112031079,False
135,137.5,1035,0.05606899974391494,False
140,142.5,1032,0.05585835583231223,True
145,147.5,1036,0.056433931204628675,False
150,152.5,1036,0.056879672025277356,False
155,157.5,1035,0.056857676939979986,False
160,162.5,1034,0.05750531526650881,True
165,167.5,1036,0.0575441560883099,False
170,172.5,1036,0.057605702558252994,False
175,177.5,1035,0.05692702456749308,False
180,182.5,1036,0.0567159747583162,False
185,187.5,1036,0.05718743929216431,False
190,192.5,1035,0.056965072736434336,False
195,197.5,812,0.05643871231095326,True
200,202.5,1036,0.05631782676543476,False
205,207.5,1035,0.05657417928686881,False
210,212.5,1036,0.05655478696540079,False
215,217.5,1036,0.056080685195789674,False
220,222.5,1036,0.05651262591213494,False
225,227.5,1036,0.056476695134855585,False
230,232.5,1036,0.05677070462555263,False
235,237.5,1035,0.05603662048341859,False
240,242.5,1036,0.05587084496723917,False
245,247.5,1036,0.056569387927084595,False
250,252.5,1036,0.05682644464280573,False
255,257.5,1036,0.05691227193522681,False
260,262.5,1036,0.05590663813194126,False
265,267.5,1036,0.05598946093536199,False
270,272.5,1036,0.0564302105900399,False
275,277.5,1036,0.056325317064911784,False
280,282.5,1035,0.056925769974665856,False
285,287.5,1036,0.05700930506327125,False
290,292.5,1036,0.056453030398636556,False
295,297.5,1036,0.05607855380056936,False
