phase,start_s,end_s,xyz_points,actual_first_s,actual_last_s,observed_xyz_s,axis_mean_x_g,axis_mean_y_g,axis_mean_z_g,vector_ac_rms_mg,gap_count,overrun_count,saturated_count
normal_before,0,5,1018,0.087708549,4.997621453,207.13198378151924,-0.22195903732809408,-0.025790569744597227,-1.0689256385068744,18.897110312275874,0,0,0
normal_before,5,10,1035,5.003222679,9.99458652,207.15780955628395,-0.22014086956521714,-0.026580289855072412,-1.0706837681159405,188.8150134414718,0,0,0
normal_before,10,15,1037,10.000194671,14.999670916,207.22170668099653,-0.21967868852458988,-0.027567020250723172,-1.0699351012536151,195.34231791941187,0,0,0
normal_before,15,20,1035,15.005262864,19.996750852,207.15265718075088,-0.2190933333333333,-0.027409275362318783,-1.0707817391304357,201.4565856056583,0,0,0
normal_before,20,25,1036,20.000471787,24.996463872,207.16606079250823,-0.21945405405405374,-0.02747316602316597,-1.0703730694980684,201.63397230927046,0,0,0
normal_before,25,30,1036,25.002052542,29.99647635,207.2311120938818,-0.21964604247104244,-0.02706283783783781,-1.0710694980694975,200.82916756669277,0,0,0
normal_before,30,35,1036,30.002087557,34.998988393,207.12838496681346,-0.2195556949806949,-0.027759266409266355,-1.0701283783783775,200.49280801262046,0,0,0
normal_before,35,40,1036,35.002688346,39.998697864,207.16533791039106,-0.21986061776061744,-0.027119305019304967,-1.0709829150579158,200.7508453914624,0,0,0
normal_before,40,45,1036,40.004244942,44.999821401,207.18329676154798,-0.21928841698841692,-0.027909845559845547,-1.0704822393822395,199.52560236185428,0,0,0
normal_before,45,50,1035,45.005479552,49.995938426,207.19537543673184,-0.2195718840579707,-0.027567536231883974,-1.0699979710144933,199.62314975873093,0,0,0
normal_before,50,55,1036,50.001537781,54.996360118,207.21457745014484,-0.21911525096525047,-0.02786843629343622,-1.0705989382239365,200.20498193895958,0,0,0
normal_before,55,60,1036,55.00197001,59.997355522,207.19121627624241,-0.21949546332046316,-0.02763127413127409,-1.0710807915057927,199.43735825542373,0,0,0
normal_before,60,65,1036,60.001040753,64.997425476,207.14978076759283,-0.21939758687258673,-0.027318822393822353,-1.0708398648648647,199.1916981126947,0,0,0
normal_before,65,70,1036,65.003031647,69.99807903,207.20524164044753,-0.21942393822393813,-0.02752210424710421,-1.070248841698842,199.1207656268361,0,0,0
normal_before,70,75,1036,70.003721164,74.99858113,207.21301638989732,-0.21919806949806947,-0.027552220077220035,-1.0700719111969097,199.18518423655905,0,0,0
normal_before,75,80,1036,75.002344917,79.99994968,207.0992103382546,-0.2194691119691116,-0.027469401544401542,-1.0707156370656359,199.93359143202238,0,0,0
normal_before,80,85,1035,80.003679244,84.994835326,207.1664325884329,-0.21997130434782583,-0.02729999999999994,-1.0703973913043465,198.57993866279512,0,0,0
normal_before,85,90,1036,85.000457016,89.996669905,207.15690523891124,-0.21954063706563703,-0.027924903474903437,-1.0711786679536675,199.1528662276079,0,0,0
normal_before,90,95,1036,90.000356248,94.997012845,207.13850950281744,-0.2189571428571429,-0.02740164092664086,-1.0709565637065628,198.6319839501996,0,0,0
normal_before,95,100,1036,95.000700318,99.997101642,207.14909249351564,-0.21974391891891853,-0.027375289575289473,-1.0710657335907343,198.75484766833952,0,0,0
normal_before,100,105,1036,100.00078567,104.996283352,207.18656395925439,-0.22018812741312677,-0.027427992277992256,-1.0705274131274132,198.75486937931046,0,0,0
normal_before,105,110,1036,105.001919579,109.996327137,207.2317863491428,-0.2193448841698838,-0.02763127413127405,-1.0710770270270262,197.93864972966392,0,0,0
normal_before,110,115,1036,110.001914142,114.996666923,207.217463081883,-0.21963851351351305,-0.027119305019304922,-1.0712012548262544,197.22604501832558,0,0,0
normal_before,115,120,1036,115.002269502,119.99878278,207.1444510229119,-0.21927335907335907,-0.02834652509652504,-1.070248841698841,198.11115291686394,0,0,0
normal_before,120,125,1036,120.002544178,124.998495477,207.16775205698417,-0.21926959459459397,-0.02781196911196906,-1.0703467181467192,198.18685954421522,0,0,0
normal_before,125,130,1036,125.002184801,129.997166157,207.20798061773587,-0.21978909266409255,-0.027955019305019275,-1.0701961389961385,197.78602033745773,0,0,0
normal_before,130,135,1036,130.00277657,134.997307611,207.22666282453883,-0.21929218146718163,-0.028052895752895695,-1.0705198841698835,198.07427524022125,0,0,0
normal_before,135,140,1036,135.002907487,139.997605841,207.21972112112059,-0.2198794401544398,-0.027123069498069433,-1.0709942084942075,198.21680443345872,0,0,0
normal_before,140,145,1036,140.003145365,144.999345121,207.15744977110958,-0.21899102316602295,-0.02741293436293434,-1.0704709459459454,198.6182363516894,0,0,0
normal_before,145,150,1035,145.003034575,149.99452832,207.15241825871504,-0.219372173913043,-0.027601449275362233,-1.070344637681159,197.7928006392272,0,0,0
normal_before,150,155,1036,150.000127807,154.994970781,207.21372130967015,-0.21952557915057902,-0.02765762548262543,-1.070508590733592,196.3754283914373,0,0,0
normal_before,155,160,1036,155.000572768,159.99494448,207.233273709524,-0.21966110038610018,-0.0268557915057915,-1.0713179536679527,196.63394258888405,0,0,0
normal_before,160,165,1036,160.000478893,164.996358596,207.17072098002836,-0.21903996138996085,-0.02750704633204627,-1.070493532818534,197.67806739979295,0,0,0
normal_before,165,170,1036,165.000046976,169.996198025,207.15946932932692,-0.21923947876447847,-0.02763503861003856,-1.0707419884169889,197.16687270433778,0,0,0
normal_before,170,175,1036,170.001791105,174.996358576,207.22515132882464,-0.2194879343629342,-0.027409169884169842,-1.070858687258687,197.47127114711117,0,0,0
normal_before,175,180,1036,175.001959674,179.996974268,207.20660180717783,-0.2192432432432428,-0.02779314671814671,-1.0698987451737454,197.5667485378344,0,0,0
normal_before,180,185,1036,180.002586903,184.99693536,207.23423864215167,-0.21929218146718119,-0.027431756756756742,-1.070094498069497,196.99451526602294,0,0,0
normal_before,185,190,1036,185.002547255,189.998247923,207.17814552615224,-0.2200187258687259,-0.027687741312741262,-1.0708473938223932,197.88013681602382,0,0,0
normal_before,190,195,1036,190.0019516,194.998393702,207.1474018653604,-0.21964604247104222,-0.027582335907335838,-1.0701170849420831,197.58565756013954,0,0,0
normal_before,195,200,1036,195.004007263,199.998868711,207.2129549087745,-0.21998861003860973,-0.027055308880308864,-1.0704144787644794,198.49008997858968,0,0,0
normal_before,200,205,1035,200.00447192,204.994698608,207.2050158535804,-0.21952289855072454,-0.02738666666666659,-1.0706875362318835,197.8755800282556,0,0,0
normal_before,205,210,1036,205.000298207,209.994648968,207.2341430405993,-0.21962345559845514,-0.027424227799227745,-1.0705387065637055,197.1555966864877,0,0,0
normal_before,210,215,1036,210.000240252,214.995893313,207.18011986861632,-0.2198643822393824,-0.027382818532818497,-1.0710092664092667,197.2303139437162,0,0,0
normal_before,215,220,1036,215.00150969,219.997477293,207.1670759791354,-0.21911148648648646,-0.02740540540540532,-1.0710243243243234,196.72267465649057,0,0,0
normal_before,220,225,1036,220.001114934,224.996915988,207.17398247300181,-0.2191604247104243,-0.02788349420849415,-1.0703580115830107,197.12710853549203,0,0,0
normal_before,225,230,1036,225.00252768,229.996875872,207.23424963799562,-0.2190286679536677,-0.027262355212355153,-1.0701622586872592,197.56350219204904,0,0,0
normal_before,230,235,1036,230.00247949,234.998202424,207.1772221305498,-0.219597104247104,-0.02773667953667948,-1.0707269305019294,196.523939457888,0,0,0
normal_before,235,240,1036,235.001902435,239.998263742,207.15075159795686,-0.21977027027027043,-0.027443050193050163,-1.0707645752895754,196.97212264340234,0,0,0
normal_before,240,245,1036,240.001976346,244.997218881,207.19714663464285,-0.2191378378378378,-0.027939961389961344,-1.0700643822393832,196.78432905160264,0,0,0
normal_before,245,250,1036,245.00281761,249.998928536,207.16113299522846,-0.21938252895752888,-0.02761245173745165,-1.0704295366795344,196.32509688601067,0,0,0
normal_before,250,255,1036,250.002611473,254.997839476,207.1977494077161,-0.220030019305019,-0.027247297297297253,-1.0702902509652514,196.20708002834607,0,0,0
normal_before,255,260,1036,255.003418446,259.99883734,207.18983171624285,-0.219920849420849,-0.028045366795366705,-1.069748166023165,196.0558567381271,0,0,0
normal_before,260,265,1036,260.002519129,264.999821057,207.11176048836887,-0.21992084942084883,-0.02751457528957524,-1.0700568532818524,195.99335349642706,0,0,0
normal_before,265,270,1036,265.003534679,269.99983487,207.15328551802784,-0.21965357142857117,-0.02785714285714281,-1.0705688223938217,196.1570730162366,0,0,0
normal_before,270,275,1036,270.003537529,274.998474555,207.20981958582155,-0.2196498069498068,-0.02820347490347482,-1.0700794401544398,196.76933119852714,0,0,0
normal_before,275,280,1036,275.004120007,279.998537385,207.23137889097742,-0.2196008687258682,-0.027379054054054015,-1.071077027027026,197.34797779971163,0,0,0
normal_before,280,285,1036,280.004073819,284.997695383,207.26440454789739,-0.2192884169884165,-0.02767268339768331,-1.0701773166023172,195.93958330042005,0,0,0
normal_before,285,290,1036,285.003297724,289.997738989,207.23038776190313,-0.21985308880308857,-0.027612451737451683,-1.0703693050193044,196.50858827005004,0,0,0
normal_before,290,295,1036,290.0033517,294.997736833,207.23271682860826,-0.2191867760617759,-0.02802654440154432,-1.0707758687258706,196.44627264540628,0,0,0
normal_before,295,300,1036,295.003356563,299.998975469,207.18153635716902,-0.219981081081081,-0.027518339768339707,-1.0703354247104249,196.88593181182827,0,0,0
