iteration,source_window,processing_latency_ms
0,0,13.307743
1,1,13.306132
2,2,13.023318
3,3,13.159021
4,4,13.158318
5,5,13.19078
6,6,13.031891
7,7,13.025577
8,8,13.191022
9,9,13.040373
10,10,13.126948
11,11,13.09904
12,12,13.119059
13,13,13.269947
14,14,13.254521
15,15,13.066873
16,16,13.200151
17,17,12.950281
18,18,12.857762
19,19,13.108188
20,20,13.284299
21,21,13.271262
22,22,13.080299
23,23,13.080559
24,24,13.244151
25,25,13.06128
26,26,12.964021
27,27,13.31441
28,28,13.482003
29,29,13.163632
30,30,13.261799
31,31,13.373984
32,32,13.603354
33,33,13.056225
34,34,13.212003
35,35,12.987373
36,36,13.004669
37,37,13.241762
38,38,13.168114
39,39,13.751151
40,40,17.184207
41,41,16.281577
42,42,14.451188
43,43,14.283985
44,44,14.026744
45,45,13.56091
46,46,13.363577
47,47,13.392966
48,48,13.237133
49,49,13.103003
50,50,13.135225
51,51,13.088355
52,52,13.247151
53,53,13.150688
54,54,13.227707
55,55,13.37604
56,56,13.140632
57,57,13.177077
58,58,13.100595
59,59,13.08791
60,60,13.20128
61,61,13.156633
62,62,13.113466
63,63,13.061929
64,64,13.339521
65,65,13.075151
66,66,13.186984
67,67,13.327688
68,68,13.199855
69,69,13.03391
70,70,13.295207
71,71,13.104595
72,72,13.341614
73,73,13.176614
74,74,13.300558
75,75,13.065984
76,76,13.142874
77,77,13.19104
78,78,13.000521
79,79,12.959447
80,80,13.458354
81,81,13.269317
82,82,13.727558
83,83,13.40117
84,84,13.288651
85,85,13.574354
86,86,13.547966
87,87,14.241466
88,88,13.774521
89,89,13.373114
90,90,13.283929
91,91,13.443651
92,92,13.111132
93,93,13.045133
94,94,13.041725
95,95,13.033392
96,96,12.863614
97,97,13.006373
98,98,12.765058
99,99,13.005485
100,100,13.184521
101,101,13.201077
102,102,13.055095
103,103,13.21541
104,104,13.052855
105,105,12.939077
106,106,12.99341
107,107,13.01054
108,108,12.858169
109,109,12.918743
110,110,12.926243
111,111,12.99204
112,112,13.580688
113,113,13.373891
114,114,13.410669
