iteration,source_window,processing_latency_ms
0,0,0.067074
1,1,0.041612
2,2,0.037815
3,3,0.035852
4,4,0.035648
5,5,0.035704
6,6,0.037666
7,7,0.035204
8,8,0.035444
9,9,0.035537
10,10,0.035037
11,11,0.035222
12,12,0.034741
13,13,0.034666
14,14,0.034704
15,15,0.034426
16,16,0.034852
17,17,0.035778
18,18,0.034815
19,19,0.034871
20,20,0.03513
21,21,0.034574
22,22,0.034648
23,23,0.034833
24,24,0.03487
25,25,0.034722
26,26,0.035055
27,27,0.034963
28,28,0.034741
29,29,0.034963
30,30,0.03487
31,31,0.034704
32,32,0.034667
33,33,0.034926
34,34,0.034722
35,35,0.034667
36,36,0.034907
37,37,0.036648
38,38,0.03487
39,39,0.034833
40,40,0.034852
41,41,0.034834
42,42,0.043741
43,43,0.036055
44,44,0.035259
45,45,0.035222
46,46,0.034926
47,47,0.034908
48,48,0.034741
49,49,0.035334
50,50,0.034925
51,51,0.035389
52,52,0.034833
53,53,0.034759
54,54,0.034889
55,55,0.034648
56,56,0.034518
57,57,0.034907
58,58,0.035259
59,59,0.034759
60,60,0.034537
61,61,0.034815
62,62,0.034741
63,63,0.034945
64,64,0.035055
65,65,0.034834
66,66,0.0345
67,67,0.034815
68,68,0.034871
69,69,0.03487
70,70,0.034686
71,71,0.034908
72,72,0.03487
73,73,0.034629
74,74,0.034889
75,75,0.035037
76,76,0.034741
77,77,0.035518
78,78,0.034889
79,79,0.035037
80,80,0.034925
81,81,0.035111
82,82,0.034963
83,83,0.035074
84,84,0.034722
85,85,0.039185
86,86,0.035444
87,87,0.0355
88,88,0.034945
89,89,0.03524
90,90,0.035093
91,91,0.034926
92,92,0.035074
93,93,0.036018
94,94,0.052851
95,95,0.03776
96,96,0.035611
97,97,0.035185
98,98,0.035056
99,99,0.035185
100,100,0.036908
101,101,0.035129
102,102,0.035074
103,103,0.035259
104,104,0.034889
105,105,0.034963
106,106,0.034593
107,107,0.034797
108,108,0.035167
109,109,0.035093
