iteration,source_window,processing_latency_ms
0,0,0.137649
1,1,0.06974
2,2,0.06163
3,3,0.059574
4,4,0.059037
5,5,0.059019
6,6,0.061926
7,7,0.058537
8,8,0.05826
9,9,0.058574
10,10,0.058222
11,11,0.057685
12,12,0.05774
13,13,0.057611
14,14,0.057352
15,15,0.057407
16,16,0.057593
17,17,0.057315
18,18,0.05763
19,19,0.05737
20,20,0.057463
21,21,0.057019
22,22,0.056963
23,23,0.05724
24,24,0.057204
25,25,0.057352
26,26,0.057351
27,27,0.057388
28,28,0.057111
29,29,0.057426
30,30,0.057629
31,31,0.057314
32,32,0.057389
33,33,0.057741
34,34,0.057223
35,35,0.057555
36,36,0.057444
37,37,0.060611
38,38,0.057852
39,39,0.057518
40,40,0.057648
41,41,0.057686
42,42,0.073222
43,43,0.060426
44,44,0.058445
45,45,0.057833
46,46,0.05713
47,47,0.056834
48,48,0.057259
49,49,0.057074
50,50,0.057259
51,51,0.057463
52,52,0.05737
53,53,0.057852
54,54,0.057241
55,55,0.156315
56,56,0.068556
57,57,0.060222
58,58,0.058796
59,59,0.058518
60,60,0.058037
61,61,0.057445
62,62,0.057592
63,63,0.057963
64,64,0.057574
65,65,0.057667
66,66,0.057834
67,67,0.057852
68,68,0.057852
69,69,0.057962
70,70,0.057722
71,71,0.058019
72,72,0.057519
73,73,0.057408
74,74,0.057481
75,75,0.057389
76,76,0.057278
77,77,0.058148
78,78,0.058037
79,79,0.058259
80,80,0.057555
81,81,0.058389
82,82,0.057723
83,83,0.057518
84,84,0.057556
85,85,0.069648
86,86,0.059222
87,87,0.057463
88,88,0.057518
89,89,0.057445
90,90,0.057759
91,91,0.057333
92,92,0.057204
93,93,0.058167
94,94,0.057686
95,95,0.057945
96,96,0.0575
97,97,0.057537
98,98,0.057389
99,99,0.057333
100,100,0.060389
101,101,0.058055
102,102,0.057426
103,103,0.057667
104,104,0.057333
105,105,0.057315
106,106,0.057334
107,107,0.057148
108,108,0.057111
109,109,0.057389
110,110,0.057389
111,111,0.057612
112,112,0.057315
113,113,0.057611
114,114,0.057722
115,115,0.057055
116,116,0.057185
117,117,0.057722
118,118,0.07413
119,119,0.064056
120,120,0.059129
121,121,0.05863
122,122,0.058296
123,123,0.058111
124,124,0.057778
125,125,0.057908
126,126,0.057574
127,127,0.064241
128,128,0.058648
129,129,0.058278
130,130,0.057648
131,131,0.0575
132,132,0.057241
133,133,0.057426
134,134,0.057314
135,135,0.057259
