sample_index,window_index,host_monotonic_ns,host_utc_ns,x_g,y_g,z_g,gap,overrun,saturated,diagnostics_json
1,1,11194433061343,1789747542229845914,-0.6006,-0.6668999999999999,0.10529999999999999,0,0,0,"{""sample_index"":0,""sensor_time_estimate_s"":0.0,""fifo_depth"":1,""read_duration_ns"":2163196}"
2,1,11194438075196,1789747542234868749,-0.6356999999999999,-0.7098,0.09359999999999999,0,0,0,"{""sample_index"":1,""sensor_time_estimate_s"":0.005,""fifo_depth"":1,""read_duration_ns"":2134251}"
3,1,11194442515292,1789747542239230641,-0.6279,-0.7059,0.10139999999999999,0,0,0,"{""sample_index"":2,""sensor_time_estimate_s"":0.01,""fifo_depth"":1,""read_duration_ns"":1876753}"
4,1,11194446731296,1789747542243451848,-0.6279,-0.7293,0.09749999999999999,0,0,0,"{""sample_index"":3,""sensor_time_estimate_s"":0.015,""fifo_depth"":1,""read_duration_ns"":1915642}"
5,1,11194453119385,1789747542249838085,-0.6356999999999999,-0.7137,0.10139999999999999,0,0,0,"{""sample_index"":4,""sensor_time_estimate_s"":0.02,""fifo_depth"":1,""read_duration_ns"":1925457}"
6,1,11194457443925,1789747542254155607,-0.624,-0.7098,0.09359999999999999,0,0,0,"{""sample_index"":5,""sensor_time_estimate_s"":0.025,""fifo_depth"":1,""read_duration_ns"":1962586}"
7,1,11194461690725,1789747542258429296,-0.624,-0.7137,0.0663,0,0,0,"{""sample_index"":6,""sensor_time_estimate_s"":0.03,""fifo_depth"":1,""read_duration_ns"":1846197}"
8,1,11194465723655,1789747542262453856,-0.6201,-0.7098,0.10139999999999999,0,0,0,"{""sample_index"":7,""sensor_time_estimate_s"":0.035,""fifo_depth"":1,""read_duration_ns"":1798345}"
9,1,11194474311292,1789747542271068085,-0.624,-0.7176,0.09749999999999999,0,0,0,"{""sample_index"":8,""sensor_time_estimate_s"":0.04,""fifo_depth"":1,""read_duration_ns"":2166344}"
10,1,11194476855950,1789747542273602910,-0.6279,-0.7059,0.09359999999999999,0,0,0,"{""sample_index"":9,""sensor_time_estimate_s"":0.045,""fifo_depth"":1,""read_duration_ns"":2035363}"
11,1,11194481443397,1789747542278187857,-0.624,-0.7137,0.09749999999999999,0,0,0,"{""sample_index"":10,""sensor_time_estimate_s"":0.05,""fifo_depth"":1,""read_duration_ns"":1931549}"
12,1,11194485783160,1789747542282500564,-0.6162,-0.7098,0.09359999999999999,0,0,0,"{""sample_index"":11,""sensor_time_estimate_s"":0.055,""fifo_depth"":1,""read_duration_ns"":1789513}"
13,1,11194489960960,1789747542286697160,-0.624,-0.7137,0.10919999999999999,0,0,0,"{""sample_index"":12,""sensor_time_estimate_s"":0.06,""fifo_depth"":1,""read_duration_ns"":1838605}"
14,1,11194499560797,1789747542296295831,-0.6279,-0.7098,0.10139999999999999,0,0,0,"{""sample_index"":13,""sensor_time_estimate_s"":0.065,""fifo_depth"":2,""read_duration_ns"":1918327}"
15,1,11194502918674,1789747542299673134,-0.6279,-0.7137,0.09359999999999999,0,0,0,"{""sample_index"":14,""sensor_time_estimate_s"":0.07,""fifo_depth"":1,""read_duration_ns"":3012119}"
16,1,11194505475498,1789747542302202329,-0.6201,-0.7253999999999999,0.0702,0,0,0,"{""sample_index"":15,""sensor_time_estimate_s"":0.075,""fifo_depth"":1,""read_duration_ns"":1990493}"
17,1,11194510014057,1789747542306752313,-0.624,-0.6980999999999999,0.09749999999999999,0,0,0,"{""sample_index"":16,""sensor_time_estimate_s"":0.08,""fifo_depth"":1,""read_duration_ns"":1908142}"
18,1,11194514945650,1789747542311758962,-0.6279,-0.7137,0.09749999999999999,0,0,0,"{""sample_index"":17,""sensor_time_estimate_s"":0.085,""fifo_depth"":1,""read_duration_ns"":2514694}"
19,1,11194526677554,1789747542323425977,-0.6279,-0.7098,0.0897,0,0,0,"{""sample_index"":18,""sensor_time_estimate_s"":0.09,""fifo_depth"":2,""read_duration_ns"":8186860}"
20,1,11194529310008,1789747542326071190,-0.6279,-0.7098,0.09359999999999999,0,0,0,"{""sample_index"":19,""sensor_time_estimate_s"":0.095,""fifo_depth"":2,""read_duration_ns"":2108660}"
21,1,11194532186090,1789747542328944254,-0.6317999999999999,-0.7176,0.0897,0,0,0,"{""sample_index"":20,""sensor_time_estimate_s"":0.1,""fifo_depth"":1,""read_duration_ns"":2477158}"
22,1,11194534694452,1789747542331442634,-0.6279,-0.7176,0.0858,0,0,0,"{""sample_index"":21,""sensor_time_estimate_s"":0.105,""fifo_depth"":1,""read_duration_ns"":2141493}"
