event_id,method,method_label,result,detection_timestamp,detection_window,first_alarm_timestamp,first_alarm_window,delay_windows_from_first,delay_ms_from_first,is_fastest,first_methods
1,autoencoder,Autoencoder,DETECTED,2026-09-18T19:12:54.923+02:00,14,2026-09-18T19:12:54.923+02:00,14,0,0.0,1,autoencoder+rms
1,rms,RMS,DETECTED,2026-09-18T19:12:54.923+02:00,14,2026-09-18T19:12:54.923+02:00,14,0,0.0,1,autoencoder+rms
1,isolation_forest,Isolation Forest,DETECTED,2026-09-18T19:12:55.542+02:00,15,2026-09-18T19:12:54.923+02:00,14,1,618.774155,0,autoencoder+rms
2,autoencoder,Autoencoder,DETECTED,2026-09-18T19:12:58.012+02:00,19,2026-09-18T19:12:58.012+02:00,19,0,0.0,1,autoencoder+rms
2,rms,RMS,DETECTED,2026-09-18T19:12:58.012+02:00,19,2026-09-18T19:12:58.012+02:00,19,0,0.0,1,autoencoder+rms
2,isolation_forest,Isolation Forest,DETECTED,2026-09-18T19:12:58.633+02:00,20,2026-09-18T19:12:58.012+02:00,19,1,620.926787,0,autoencoder+rms
3,autoencoder,Autoencoder,DETECTED,2026-09-18T19:13:02.959+02:00,27,2026-09-18T19:13:02.959+02:00,27,0,0.0,1,autoencoder+isolation_forest+rms
3,isolation_forest,Isolation Forest,DETECTED,2026-09-18T19:13:02.959+02:00,27,2026-09-18T19:13:02.959+02:00,27,0,0.0,1,autoencoder+isolation_forest+rms
3,rms,RMS,DETECTED,2026-09-18T19:13:02.959+02:00,27,2026-09-18T19:13:02.959+02:00,27,0,0.0,1,autoencoder+isolation_forest+rms
4,autoencoder,Autoencoder,DETECTED,2026-09-18T19:13:05.428+02:00,31,2026-09-18T19:13:05.428+02:00,31,0,0.0,1,autoencoder+rms
4,rms,RMS,DETECTED,2026-09-18T19:13:05.428+02:00,31,2026-09-18T19:13:05.428+02:00,31,0,0.0,1,autoencoder+rms
4,isolation_forest,Isolation Forest,NOT_DETECTED,,,2026-09-18T19:13:05.428+02:00,31,,,0,autoencoder+rms
5,autoencoder,Autoencoder,DETECTED,2026-09-18T19:13:14.701+02:00,46,2026-09-18T19:13:14.701+02:00,46,0,0.0,1,autoencoder+isolation_forest+rms
5,isolation_forest,Isolation Forest,DETECTED,2026-09-18T19:13:14.701+02:00,46,2026-09-18T19:13:14.701+02:00,46,0,0.0,1,autoencoder+isolation_forest+rms
5,rms,RMS,DETECTED,2026-09-18T19:13:14.701+02:00,46,2026-09-18T19:13:14.701+02:00,46,0,0.0,1,autoencoder+isolation_forest+rms
6,autoencoder,Autoencoder,DETECTED,2026-09-18T19:13:19.023+02:00,53,2026-09-18T19:13:19.023+02:00,53,0,0.0,1,autoencoder+isolation_forest+rms
6,isolation_forest,Isolation Forest,DETECTED,2026-09-18T19:13:19.023+02:00,53,2026-09-18T19:13:19.023+02:00,53,0,0.0,1,autoencoder+isolation_forest+rms
6,rms,RMS,DETECTED,2026-09-18T19:13:19.023+02:00,53,2026-09-18T19:13:19.023+02:00,53,0,0.0,1,autoencoder+isolation_forest+rms
7,autoencoder,Autoencoder,DETECTED,2026-09-18T19:13:22.733+02:00,59,2026-09-18T19:13:22.733+02:00,59,0,0.0,1,autoencoder+isolation_forest+rms
7,isolation_forest,Isolation Forest,DETECTED,2026-09-18T19:13:22.733+02:00,59,2026-09-18T19:13:22.733+02:00,59,0,0.0,1,autoencoder+isolation_forest+rms
7,rms,RMS,DETECTED,2026-09-18T19:13:22.733+02:00,59,2026-09-18T19:13:22.733+02:00,59,0,0.0,1,autoencoder+isolation_forest+rms
8,autoencoder,Autoencoder,DETECTED,2026-09-18T19:13:26.440+02:00,65,2026-09-18T19:13:26.440+02:00,65,0,0.0,1,autoencoder+rms
8,rms,RMS,DETECTED,2026-09-18T19:13:26.440+02:00,65,2026-09-18T19:13:26.440+02:00,65,0,0.0,1,autoencoder+rms
8,isolation_forest,Isolation Forest,NOT_DETECTED,,,2026-09-18T19:13:26.440+02:00,65,,,0,autoencoder+rms
9,autoencoder,Autoencoder,DETECTED,2026-09-18T19:13:28.293+02:00,68,2026-09-18T19:13:28.293+02:00,68,0,0.0,1,autoencoder+isolation_forest+rms
9,isolation_forest,Isolation Forest,DETECTED,2026-09-18T19:13:28.293+02:00,68,2026-09-18T19:13:28.293+02:00,68,0,0.0,1,autoencoder+isolation_forest+rms
9,rms,RMS,DETECTED,2026-09-18T19:13:28.293+02:00,68,2026-09-18T19:13:28.293+02:00,68,0,0.0,1,autoencoder+isolation_forest+rms
10,autoencoder,Autoencoder,DETECTED,2026-09-18T19:13:30.144+02:00,71,2026-09-18T19:13:30.144+02:00,71,0,0.0,1,autoencoder+rms
10,rms,RMS,DETECTED,2026-09-18T19:13:30.144+02:00,71,2026-09-18T19:13:30.144+02:00,71,0,0.0,1,autoencoder+rms
10,isolation_forest,Isolation Forest,NOT_DETECTED,,,2026-09-18T19:13:30.144+02:00,71,,,0,autoencoder+rms
11,autoencoder,Autoencoder,DETECTED,2026-09-18T19:14:23.910+02:00,158,2026-09-18T19:14:23.910+02:00,158,0,0.0,1,autoencoder
11,isolation_forest,Isolation Forest,NOT_DETECTED,,,2026-09-18T19:14:23.910+02:00,158,,,0,autoencoder
11,rms,RMS,NOT_DETECTED,,,2026-09-18T19:14:23.910+02:00,158,,,0,autoencoder
