window_index,window_complete_monotonic_ns,decision_monotonic_ns,draw_completed_monotonic_ns,decision_to_gui_draw_ms,window_to_gui_draw_ms,gui_messages_dropped
1,15219073867882,15219094687938,15219329693389,235.005451,255.825507,0
2,15219691833271,15219711651716,15219965088946,253.43723,273.255675,0
3,15220309611494,15220329202569,15220507552315,178.349746,197.940821,0
4,15220927870032,15220947635829,15221146181113,198.545284,218.311081,0
5,15221546106127,15221566220961,15221779191431,212.97047,233.085304,0
6,15222163894166,15222183858092,15222400227748,216.369656,236.333582,0
7,15222782850132,15222802673225,15222991031139,188.357914,208.181007,0
8,15223399351357,15223425090710,15223658814922,233.724212,259.463565,0
9,15224018848249,15224044346621,15224304830075,260.483454,285.981826,0
10,15224635697402,15224655689236,15224868896836,213.2076,233.199434,0
11,15225253878628,15225273640833,15225474441322,200.800489,220.562694,0
12,15225871850689,15225891135486,15226080920641,189.785155,209.069952,0
13,15226488867287,15226509024455,15226703649203,194.624748,214.781916,0
14,15227107050052,15227126777386,15227338118710,211.341324,231.068658,0
15,15227725844929,15227745551541,15227973001347,227.449806,247.156418,0
16,15228344026991,15228362976233,15228590459520,227.483287,246.432529,0
17,15228961602814,15228982033815,15229206694768,224.660953,245.091954,0
18,15229579677544,15229600446008,15229828699480,228.253472,249.021936,0
19,15230196716181,15230215731164,15230413426876,197.695712,216.710695,0
20,15230815846024,15230836657951,15231057679923,221.021972,241.833899,0
21,15231433567237,15231452153478,15231694668545,242.515067,261.101308,0
22,15232051720765,15232076990988,15232283082109,206.091121,231.361344,0
23,15232668908534,15232689335628,15232876925599,187.589971,208.017065,0
24,15233286832508,15233309463786,15233464289683,154.825897,177.457175,0
25,15233904113074,15233924486094,15234132576048,208.089954,228.462974,0
26,15234522223752,15234551375624,15234773643616,222.267992,251.419864,0
27,15235141389246,15235162597284,15235337111904,174.51462,195.722658,0
28,15235761061314,15235785599056,15235949721953,164.122897,188.660639,0
29,15236376503160,15236394717809,15236553453484,158.735675,176.950324,0
30,15236994582118,15237014968082,15237198788980,183.820898,204.206862,0
31,15237613247335,15237631476929,15237837106254,205.629325,223.858919,0
32,15238230259034,15238250971313,15238440959231,189.987918,210.700197,0
33,15238848289623,15238867377458,15239050343597,182.966139,202.053974,0
34,15239467277712,15239486584880,15239714050522,227.465642,246.77281,0
35,15240084741635,15240104113933,15240283583980,179.470047,198.842345,0
36,15240703267633,15240723496042,15240921243905,197.747863,217.976272,0
37,15241319811686,15241340883336,15241528492995,187.609659,208.681309,0
38,15241938764592,15241957909056,15242144032771,186.123715,205.268179,0
39,15242555619165,15242575861166,15242763564640,187.703474,207.945475,0
40,15243173706313,15243192290721,15243520109463,327.818742,346.40315,0
41,15243792795887,15243813050036,15244005300733,192.250697,212.504846,0
42,15244410075516,15244437790574,15244634549567,196.758993,224.474051,0
43,15245027287369,15245055734834,15245275018903,219.284069,247.731534,0
44,15245646686611,15245665684760,15245862652717,196.967957,215.966106,0
45,15246263596557,15246281978280,15246504645979,222.667699,241.049422,0
46,15246881129114,15246904544282,15247100864295,196.320013,219.735181,0
47,15247499911728,15247519307674,15247715615575,196.307901,215.703847,0
48,15248118128638,15248137645399,15248343672542,206.027143,225.543904,0
49,15248736173234,15248756899384,15248970459546,213.560162,234.286312,0
50,15249353647571,15249379894314,15249593244032,213.349718,239.596461,0
51,15249971857779,15249991761818,15250154106977,162.345159,182.249198,0
52,15250588916136,15250616142638,15250870640081,254.497443,281.723945,0
53,15251208048178,15251226652642,15251417491155,190.838513,209.442977,0
54,15251824665183,15251845496981,15252017326549,171.829568,192.661366,0
55,15252443689023,15252463471006,15252628991554,165.520548,185.302531,0
56,15253061035196,15253079555179,15253285429267,205.874088,224.394071,0
57,15253679473740,15253699776352,15253915786072,216.00972,236.312332,0
58,15254297724395,15254315904360,15254526410708,210.506348,228.686313,0
59,15254915918737,15254936705905,15255115608733,178.902828,199.689996,0
60,15255533003782,15255552352728,15255730858426,178.505698,197.854644,0
61,15256150851309,15256177557681,15256361554269,183.996588,210.70296,0
62,15256771416874,15256805844080,15257021426152,215.582072,250.009278,0
63,15257386365142,15257422365830,15257722748020,300.38219,336.382878,0
64,15258004488449,15258023978691,15258234944540,210.965849,230.456091,0
65,15258622956496,15258643970609,15258866884200,222.913591,243.927704,0
66,15259240814951,15259260839027,15259471813673,210.974646,230.998722,0
67,15259858939648,15259878964353,15260077934850,198.970497,218.995202,0
68,15260477423937,15260496685791,15260675776546,179.090755,198.352609,0
69,15261095089190,15261113610636,15261345476895,231.866259,250.387705,0
70,15261712625203,15261733304630,15261935060554,201.755924,222.435351,0
71,15262329719438,15262348090754,15262621149628,273.058874,291.43019,0
72,15262948457822,15262969915601,15263177028359,207.112758,228.570537,0
73,15263567188076,15263585990782,15263793151280,207.160498,225.963204,0
74,15264184284017,15264203657888,15264406102535,202.444647,221.818518,0
75,15264802556309,15264822341440,15265041205440,218.864,238.649131,0
76,15265419890361,15265442571234,15265656450104,213.87887,236.559743,0
77,15266037491969,15266058373564,15266280984342,222.610778,243.492373,0
78,15266656543115,15266675946617,15266913128304,237.181687,256.585189,0
79,15267274800095,15267295175078,15267499876633,204.701555,225.076538,0
80,15267892659501,15267911124576,15268126616817,215.492241,233.957316,0
81,15268510344703,15268531551409,15268757200114,225.648705,246.855411,0
82,15269127488295,15269147263870,15269371582650,224.31878,244.094355,0
83,15269746263720,15269771852538,15270008189374,236.336836,261.925654,0
84,15270364423906,15270387551389,15270758111515,370.560126,393.687609,0
85,15270981853036,15271005780279,15271266936358,261.156079,285.083322,0
86,15271599809740,15271633684151,15271992193221,358.50907,392.383481,0
87,15272217888853,15272237099484,15272418348464,181.24898,200.459611,0
88,15272835960429,15272854864838,15273045888856,191.024018,209.928427,0
89,15273454609338,15273477222415,15273682040304,204.817889,227.430966,0
