planned_id,condition_id,planned_label,purpose,group_id,stage,status,pwm_percent,pwm_frequency_hz,nominal_odr_hz,range_g,duration_s,additional_off_after_confirmation_s,primary_start_s,primary_end_s,time_origin,mounting_id,fixture_version,actual_recording_id,actual_path,actual_start_utc
P01,N,0,development_pilot,P_complete_sequence,initial_N_A_N,planned_not_recorded,75,25000,200,2,300,60,180,300,command_invocation_monotonic,adxl345_mount_v2_provisional_20260911_072748,outlet_screen_v1_proposed,,,
P02,A,1,development_pilot,P_complete_sequence,initial_N_A_N,planned_not_recorded,75,25000,200,2,300,60,180,300,command_invocation_monotonic,adxl345_mount_v2_provisional_20260911_072748,outlet_screen_v1_proposed,,,
P03,N,0,development_pilot,P_complete_sequence,initial_N_A_N,planned_not_recorded,75,25000,200,2,300,60,180,300,command_invocation_monotonic,adxl345_mount_v2_provisional_20260911_072748,outlet_screen_v1_proposed,,,
P04,A,1,development_pilot,P_complete_sequence,conditional_repetitions,planned_not_recorded,75,25000,200,2,300,60,180,300,command_invocation_monotonic,adxl345_mount_v2_provisional_20260911_072748,outlet_screen_v1_proposed,,,
P05,N,0,development_pilot,P_complete_sequence,conditional_repetitions,planned_not_recorded,75,25000,200,2,300,60,180,300,command_invocation_monotonic,adxl345_mount_v2_provisional_20260911_072748,outlet_screen_v1_proposed,,,
P06,A,1,development_pilot,P_complete_sequence,conditional_repetitions,planned_not_recorded,75,25000,200,2,300,60,180,300,command_invocation_monotonic,adxl345_mount_v2_provisional_20260911_072748,outlet_screen_v1_proposed,,,
P07,N,0,development_pilot,P_complete_sequence,conditional_repetitions,planned_not_recorded,75,25000,200,2,300,60,180,300,command_invocation_monotonic,adxl345_mount_v2_provisional_20260911_072748,outlet_screen_v1_proposed,,,
TR01,N,0,training,TR_session1,future_after_pilot,planned_not_recorded,75,25000,200,2,300,60,180,300,command_invocation_monotonic,adxl345_mount_v2_provisional_20260911_072748,outlet_screen_v1_proposed,,,
TR02,N,0,training,TR_session1,future_after_pilot,planned_not_recorded,75,25000,200,2,300,60,180,300,command_invocation_monotonic,adxl345_mount_v2_provisional_20260911_072748,outlet_screen_v1_proposed,,,
TR03,N,0,training,TR_session1,future_after_pilot,planned_not_recorded,75,25000,200,2,300,60,180,300,command_invocation_monotonic,adxl345_mount_v2_provisional_20260911_072748,outlet_screen_v1_proposed,,,
TR04,N,0,training,TR_session2,future_after_pilot,planned_not_recorded,75,25000,200,2,300,60,180,300,command_invocation_monotonic,adxl345_mount_v2_provisional_20260911_072748,outlet_screen_v1_proposed,,,
TR05,N,0,training,TR_session2,future_after_pilot,planned_not_recorded,75,25000,200,2,300,60,180,300,command_invocation_monotonic,adxl345_mount_v2_provisional_20260911_072748,outlet_screen_v1_proposed,,,
TR06,N,0,training,TR_session2,future_after_pilot,planned_not_recorded,75,25000,200,2,300,60,180,300,command_invocation_monotonic,adxl345_mount_v2_provisional_20260911_072748,outlet_screen_v1_proposed,,,
V01,N,0,validation,V_session,future_after_pilot,planned_not_recorded,75,25000,200,2,300,60,180,300,command_invocation_monotonic,adxl345_mount_v2_provisional_20260911_072748,outlet_screen_v1_proposed,,,
V02,N,0,validation,V_session,future_after_pilot,planned_not_recorded,75,25000,200,2,300,60,180,300,command_invocation_monotonic,adxl345_mount_v2_provisional_20260911_072748,outlet_screen_v1_proposed,,,
V03,N,0,validation,V_session,future_after_pilot,planned_not_recorded,75,25000,200,2,300,60,180,300,command_invocation_monotonic,adxl345_mount_v2_provisional_20260911_072748,outlet_screen_v1_proposed,,,
T1_1_N,N,0,test,T_block1,future_locked_test,planned_not_recorded,75,25000,200,2,300,60,180,300,command_invocation_monotonic,adxl345_mount_v2_provisional_20260911_072748,outlet_screen_v1_proposed,,,
T1_2_A,A,1,test,T_block1,future_locked_test,planned_not_recorded,75,25000,200,2,300,60,180,300,command_invocation_monotonic,adxl345_mount_v2_provisional_20260911_072748,outlet_screen_v1_proposed,,,
T2_1_A,A,1,test,T_block2,future_locked_test,planned_not_recorded,75,25000,200,2,300,60,180,300,command_invocation_monotonic,adxl345_mount_v2_provisional_20260911_072748,outlet_screen_v1_proposed,,,
T2_2_N,N,0,test,T_block2,future_locked_test,planned_not_recorded,75,25000,200,2,300,60,180,300,command_invocation_monotonic,adxl345_mount_v2_provisional_20260911_072748,outlet_screen_v1_proposed,,,
T3_1_N,N,0,test,T_block3,future_locked_test,planned_not_recorded,75,25000,200,2,300,60,180,300,command_invocation_monotonic,adxl345_mount_v2_provisional_20260911_072748,outlet_screen_v1_proposed,,,
T3_2_A,A,1,test,T_block3,future_locked_test,planned_not_recorded,75,25000,200,2,300,60,180,300,command_invocation_monotonic,adxl345_mount_v2_provisional_20260911_072748,outlet_screen_v1_proposed,,,
