run,start_s,end_s,rate_xyz_s
1,0,30,207.0780272640542
1,30,60,207.09646004663404
1,60,90,207.0768090610778
1,90,120,207.0718043410627
1,120,150,207.0800304186008
1,150,180,207.09947943225143
1,180,210,207.0979545493147
1,210,240,207.08045291658306
1,240,270,207.06920654304258
1,270,300,207.07124609943432
2,0,30,207.09666581987133
2,30,60,207.11891795890384
2,60,90,207.1159343488383
2,90,120,207.10946027919618
2,120,150,207.11485520252813
2,150,180,207.08245693676997
2,180,210,207.06699172772701
2,210,240,207.08099132167385
2,240,270,207.09155659357359
2,270,300,207.0993700055173
3,0,30,207.10173601649538
3,30,60,207.11194880160858
3,60,90,207.1015477448456
3,90,120,207.10061826569373
3,120,150,207.10035860902
3,150,180,207.103992936472
3,180,210,207.108505545913
3,210,240,207.1037605310698
3,240,270,207.09203903212375
3,270,300,207.0897247006312
