phase,method,start_relative_s,end_relative_s,phase_duration_s,recorded_duration_s,contained_windows,valid_windows,invalid_windows,alarm_windows,alarm_window_fraction,boundary_windows,boundary_alarm_windows,boundary_invalid_windows
normal_before_trial_1,rms,30.0,78.039673581,48.039673581,48.039673581,77,77,0,0,0.0,2,0,0
normal_before_trial_1,isolation_forest,30.0,78.039673581,48.039673581,48.039673581,77,77,0,0,0.0,2,0,0
normal_before_trial_1,tflite_autoencoder,30.0,78.039673581,48.039673581,48.039673581,77,77,0,0,0.0,2,0,0
normal_before_trial_2,rms,200.566528541,248.374663227,47.808134686,47.808134686,77,77,0,0,0.0,2,0,0
normal_before_trial_2,isolation_forest,200.566528541,248.374663227,47.808134686,47.808134686,77,77,0,0,0.0,2,0,0
normal_before_trial_2,tflite_autoencoder,200.566528541,248.374663227,47.808134686,47.808134686,77,77,0,0,0.0,2,0,0
normal_before_trial_3,rms,287.102962682,331.699446538,44.596483856,44.596483856,71,71,0,0,0.0,2,0,0
normal_before_trial_3,isolation_forest,287.102962682,331.699446538,44.596483856,44.596483856,71,71,0,0,0.0,2,0,0
normal_before_trial_3,tflite_autoencoder,287.102962682,331.699446538,44.596483856,44.596483856,71,71,0,0,0.0,2,0,0
normal_before_trial_4,rms,381.976104529,426.1207827,44.144678171,44.144678171,71,71,0,0,0.0,2,0,0
normal_before_trial_4,isolation_forest,381.976104529,426.1207827,44.144678171,44.144678171,71,71,0,0,0.0,2,0,0
normal_before_trial_4,tflite_autoencoder,381.976104529,426.1207827,44.144678171,44.144678171,71,71,0,0,0.0,2,0,0
normal_before_trial_5,rms,459.156645359,504.029578877,44.872933518,44.872933518,72,71,1,0,0.0,2,0,0
normal_before_trial_5,isolation_forest,459.156645359,504.029578877,44.872933518,44.872933518,72,71,1,0,0.0,2,0,0
normal_before_trial_5,tflite_autoencoder,459.156645359,504.029578877,44.872933518,44.872933518,72,71,1,0,0.0,2,0,0
normal_before_trial_6,rms,565.29043476,612.790801157,47.500366397,47.500366397,76,76,0,0,0.0,2,0,0
normal_before_trial_6,isolation_forest,565.29043476,612.790801157,47.500366397,47.500366397,76,76,0,0,0.0,2,0,0
normal_before_trial_6,tflite_autoencoder,565.29043476,612.790801157,47.500366397,47.500366397,76,76,0,0,0.0,2,0,0
normal_before_trial_7,rms,669.048278124,713.980565382,44.932287258,44.932287258,72,72,0,0,0.0,2,0,0
normal_before_trial_7,isolation_forest,669.048278124,713.980565382,44.932287258,44.932287258,72,72,0,0,0.0,2,0,0
normal_before_trial_7,tflite_autoencoder,669.048278124,713.980565382,44.932287258,44.932287258,72,72,0,0,0.0,2,0,0
normal_before_trial_8,rms,780.162272898,827.177989261,47.015716363,47.015716363,75,75,0,0,0.0,2,0,0
normal_before_trial_8,isolation_forest,780.162272898,827.177989261,47.015716363,47.015716363,75,75,0,0,0.0,2,0,0
normal_before_trial_8,tflite_autoencoder,780.162272898,827.177989261,47.015716363,47.015716363,75,75,0,0,0.0,2,0,0
normal_before_trial_9,rms,862.429079157,908.419039823,45.989960666,45.989960666,73,73,0,0,0.0,2,0,0
normal_before_trial_9,isolation_forest,862.429079157,908.419039823,45.989960666,45.989960666,73,73,0,0,0.0,2,0,0
normal_before_trial_9,tflite_autoencoder,862.429079157,908.419039823,45.989960666,45.989960666,73,73,0,0,0.0,2,0,0
normal_before_trial_10,rms,959.116961348,1004.406079435,45.289118087,45.289118087,73,73,0,0,0.0,2,0,0
normal_before_trial_10,isolation_forest,959.116961348,1004.406079435,45.289118087,45.289118087,73,73,0,0,0.0,2,0,0
normal_before_trial_10,tflite_autoencoder,959.116961348,1004.406079435,45.289118087,45.289118087,73,73,0,0,0.0,2,0,0
normal_tail,rms,1084.686036382,1114.873791957,30.187755575,30.134056489,48,47,1,0,0.0,1,0,0
normal_tail,isolation_forest,1084.686036382,1114.873791957,30.187755575,30.134056489,48,47,1,0,0.0,1,0,0
normal_tail,tflite_autoencoder,1084.686036382,1114.873791957,30.187755575,30.134056489,48,47,1,0,0.0,1,0,0
