trial,method,marker_status,result,issues,cue_start_relative_s,cue_end_relative_s,search_duration_s,recorded_search_duration_s,first_alarm_is_new,first_alarm_previous_window,first_alarm_previous_decision,first_alarm_previous_error,contained_windows,valid_windows,invalid_windows,alarm_windows,alarm_window_fraction,boundary_windows,boundary_alarm_windows,boundary_invalid_windows,first_alarm_window,first_alarm_complete_relative_s,first_alarm_complete_after_cue_s,first_new_alarm_window,first_new_alarm_complete_relative_s,first_new_alarm_complete_after_cue_s,first_alarm_rank,first_alarm_tie,first_alarm_difference_to_earliest_s,first_new_alarm_rank,first_new_alarm_tie,first_new_alarm_difference_to_earliest_s
1,rms,valid,new_alarm_found,,78.039673581,200.566528541,122.52685496,122.52685496,True,249,NORMAL,,197,197,0,3,0.015228426395939087,2,0,0,250,154.327774477,76.288100896,250,154.327774477,76.288100896,2,True,0.6170951139999943,2,True,0.6170951139999943
1,isolation_forest,valid,new_alarm_found,,78.039673581,200.566528541,122.52685496,122.52685496,True,249,NORMAL,,197,197,0,3,0.015228426395939087,2,0,0,250,154.327774477,76.288100896,250,154.327774477,76.288100896,2,True,0.6170951139999943,2,True,0.6170951139999943
1,tflite_autoencoder,valid,new_alarm_found,,78.039673581,200.566528541,122.52685496,122.52685496,True,248,NORMAL,,197,197,0,6,0.030456852791878174,2,0,0,249,153.710679363,75.671005782,249,153.710679363,75.671005782,1,False,0.0,1,False,0.0
2,rms,valid,new_alarm_found,,248.374663227,287.102962682,38.728299455,38.728299455,True,443,NORMAL,,62,62,0,2,0.03225806451612903,2,0,0,444,274.078075959,25.703412732,444,274.078075959,25.703412732,3,False,3.088022851000005,3,False,3.088022851000005
2,isolation_forest,valid,new_alarm_found,,248.374663227,287.102962682,38.728299455,38.728299455,True,439,NORMAL,,62,62,0,3,0.04838709677419355,2,0,0,440,271.608064454,23.233401227,440,271.608064454,23.233401227,2,False,0.618011346000003,2,False,0.618011346000003
2,tflite_autoencoder,valid,new_alarm_found,,248.374663227,287.102962682,38.728299455,38.728299455,True,438,NORMAL,,62,62,0,6,0.0967741935483871,2,0,0,439,270.990053108,22.615389881,439,270.990053108,22.615389881,1,False,0.0,1,False,0.0
3,rms,valid,new_alarm_found,,331.699446538,381.976104529,50.276657991,50.276657991,True,574,NORMAL,,80,80,0,4,0.05,2,0,0,575,354.945717254,23.246270716,575,354.945717254,23.246270716,2,True,0.617499046999967,2,True,0.617499046999967
3,isolation_forest,valid,new_alarm_found,,331.699446538,381.976104529,50.276657991,50.276657991,True,574,NORMAL,,80,80,0,5,0.0625,2,0,0,575,354.945717254,23.246270716,575,354.945717254,23.246270716,2,True,0.617499046999967,2,True,0.617499046999967
3,tflite_autoencoder,valid,new_alarm_found,,331.699446538,381.976104529,50.276657991,50.276657991,True,573,NORMAL,,80,80,0,10,0.125,2,0,0,574,354.328218207,22.628771669,574,354.328218207,22.628771669,1,False,0.0,1,False,0.0
4,rms,valid,new_alarm_found,,426.1207827,459.156645359,33.035862659,33.035862659,True,701,NORMAL,,52,52,0,2,0.038461538461538464,2,0,0,702,433.346110074,7.225327374,702,433.346110074,7.225327374,2,True,0.619149047999997,2,True,0.619149047999997
