sample_index,window_index,host_monotonic_ns,host_utc_ns,x_g,y_g,z_g,gap,overrun,saturated,diagnostics_json
1,1,10136816784484,1789817927140630370,-0.6044999999999999,-0.6513,0.14429999999999998,0,0,0,"{""sensor_sample_index"":0}"
2,1,10136822679982,1789817927146536554,-0.6083999999999999,-0.7098,0.11309999999999999,0,0,0,"{""sensor_sample_index"":1}"
3,1,10136826623815,1789817927150451257,-0.6201,-0.7253999999999999,0.050699999999999995,0,0,0,"{""sensor_sample_index"":2}"
4,1,10136832445443,1789817927156284903,-0.624,-0.7059,0.0624,0,0,0,"{""sensor_sample_index"":3}"
5,1,10136836307960,1789817927160123513,-0.6201,-0.7137,0.13649999999999998,0,0,0,"{""sensor_sample_index"":4}"
6,1,10136842075162,1789817927165916141,-0.6629999999999999,-0.6941999999999999,0.1209,0,0,0,"{""sensor_sample_index"":5}"
7,1,10136845945569,1789817927169758844,-0.6006,-0.7371,0.1404,0,0,0,"{""sensor_sample_index"":6}"
8,1,10136851724919,1789817927175572546,-0.624,-0.6980999999999999,0.0702,0,0,0,"{""sensor_sample_index"":7}"
9,1,10136855579751,1789817927179391119,-0.6396,-0.7098,0.050699999999999995,0,0,0,"{""sensor_sample_index"":8}"
10,1,10136861466935,1789817927185308673,-0.624,-0.7293,0.10529999999999999,0,0,0,"{""sensor_sample_index"":9}"
11,1,10136865372360,1789817927189200506,-0.6396,-0.7137,0.1209,0,0,0,"{""sensor_sample_index"":10}"
12,1,10136871286321,1789817927195133856,-0.624,-0.7137,0.1794,0,0,0,"{""sensor_sample_index"":11}"
13,1,10136875198598,1789817927199028707,-0.6083999999999999,-0.7059,0.09749999999999999,0,0,0,"{""sensor_sample_index"":12}"
14,1,10136881086800,1789817927204944964,-0.6474,-0.7059,0.0429,0,0,0,"{""sensor_sample_index"":13}"
15,1,10136885284169,1789817927209142537,-0.624,-0.7253999999999999,0.0702,0,0,0,"{""sensor_sample_index"":14}"
16,1,10136889425668,1789817927213281592,-0.6356999999999999,-0.6980999999999999,0.1326,0,0,0,"{""sensor_sample_index"":15}"
17,1,10136893972445,1789817927217797479,-0.6162,-0.7098,0.1716,0,0,0,"{""sensor_sample_index"":16}"
18,1,10136899079258,1789817927222936163,-0.6474,-0.6980999999999999,0.09359999999999999,0,0,0,"{""sensor_sample_index"":17}"
19,1,10136904926497,1789817927228758495,-0.6083999999999999,-0.7253999999999999,0.039,0,0,0,"{""sensor_sample_index"":18}"
20,1,10136910004274,1789817927233881938,-0.6317999999999999,-0.702,0.054599999999999996,0,0,0,"{""sensor_sample_index"":19}"
21,1,10136914033217,1789817927237859418,-0.6396,-0.7176,0.1833,0,0,0,"{""sensor_sample_index"":20}"
22,1,10136918308012,1789817927242175751,-0.6474,-0.6902999999999999,0.15209999999999999,0,0,0,"{""sensor_sample_index"":21}"
23,1,10136923908585,1789817927247757638,-0.6162,-0.7214999999999999,0.10139999999999999,0,0,0,"{""sensor_sample_index"":22}"
24,1,10136929183565,1789817927253044600,-0.6317999999999999,-0.7253999999999999,0.058499999999999996,0,0,0,"{""sensor_sample_index"":23}"
25,1,10136934769915,1789817927258628987,-0.6317999999999999,-0.6980999999999999,0.039,0,0,0,"{""sensor_sample_index"":24}"
26,1,10136938854636,1789817927262721949,-0.6162,-0.7176,0.13649999999999998,0,0,0,"{""sensor_sample_index"":25}"
27,1,10136942939043,1789817927266772874,-0.6513,-0.6902999999999999,0.1248,0,0,0,"{""sensor_sample_index"":26}"
28,1,10136946770449,1789817927270609947,-0.585,-0.7332,0.13649999999999998,0,0,0,"{""sensor_sample_index"":27}"
29,1,10136952733874,1789817927276594130,-0.624,-0.702,0.0819,0,0,0,"{""sensor_sample_index"":28}"
30,1,10136957039983,1789817927280911037,-0.624,-0.6980999999999999,0.050699999999999995,0,0,0,"{""sensor_sample_index"":29}"
31,1,10136963144500,1789817927287007035,-0.6279,-0.7293,0.09749999999999999,0,0,0,"{""sensor_sample_index"":30}"
32,1,10136967344129,1789817927291211682,-0.624,-0.7176,0.1326,0,0,0,"{""sensor_sample_index"":31}"
33,1,10136971902331,1789817927295762736,-0.6279,-0.7059,0.1755,0,0,0,"{""sensor_sample_index"":32}"
34,1,10136976219349,1789817927300067217,-0.6201,-0.7176,0.0897,0,0,0,"{""sensor_sample_index"":33}"
35,1,10136982240217,1789817927306091289,-0.6317999999999999,-0.7098,0.0312,0,0,0,"{""sensor_sample_index"":34}"
36,1,10136986372142,1789817927310234029,-0.6162,-0.7332,0.0741,0,0,0,"{""sensor_sample_index"":35}"
37,1,10136996159325,1789817927320026100,-0.6435,-0.6941999999999999,0.1326,0,0,0,"{""sensor_sample_index"":36}"
38,1,10136998485750,1789817927322358451,-0.6123,-0.7059,0.1911,0,0,0,"{""sensor_sample_index"":37}"
39,1,10137000790768,1789817927324658451,-0.6513,-0.6980999999999999,0.0897,0,0,0,"{""sensor_sample_index"":38}"
40,1,10137005426433,1789817927329304764,-0.6162,-0.7293,0.058499999999999996,0,0,0,"{""sensor_sample_index"":39}"
41,1,10137010000636,1789817927333883652,-0.6317999999999999,-0.7059,0.054599999999999996,0,0,0,"{""sensor_sample_index"":40}"
42,1,10137014535338,1789817927338400780,-0.6123,-0.7059,0.15209999999999999,0,0,0,"{""sensor_sample_index"":41}"
43,1,10137021250670,1789817927345087760,-0.6513,-0.6902999999999999,0.12869999999999998,0,0,0,"{""sensor_sample_index"":42}"
44,1,10137025584095,1789817927349454740,-0.6083999999999999,-0.7293,0.1326,0,0,0,"{""sensor_sample_index"":43}"
45,1,10137030091834,1789817927353961350,-0.6201,-0.7059,0.0702,0,0,0,"{""sensor_sample_index"":44}"
46,1,10137034527629,1789817927358364294,-0.6201,-0.6941999999999999,0.046799999999999994,0,0,0,"{""sensor_sample_index"":45}"
47,1,10137038673073,1789817927362506515,-0.6162,-0.7253999999999999,0.1404,0,0,0,"{""sensor_sample_index"":46}"
