sample_index,window_index,host_monotonic_ns,host_utc_ns,x_g,y_g,z_g,gap,overrun,saturated,diagnostics_json
1,1,4919155180020,1789812709479041647,-0.5889,-0.6708,0.0858,0,0,0,"{""sensor_sample_index"":0}"
2,1,4919159251593,1789812709483116905,-0.624,-0.7098,0.156,0,0,0,"{""sensor_sample_index"":1}"
3,1,4919165426221,1789812709489285385,-0.6513,-0.6941999999999999,0.1638,0,0,0,"{""sensor_sample_index"":2}"
4,1,4919169325720,1789812709493142551,-0.6162,-0.7176,0.12869999999999998,0,0,0,"{""sensor_sample_index"":3}"
5,1,4919173066867,1789812709496882846,-0.624,-0.7176,0.0897,0,0,0,"{""sensor_sample_index"":4}"
6,1,4919178705051,1789812709502520160,-0.6356999999999999,-0.7137,0.0702,0,0,0,"{""sensor_sample_index"":5}"
7,1,4919184444031,1789812709508290047,-0.6356999999999999,-0.702,0.09359999999999999,0,0,0,"{""sensor_sample_index"":6}"
8,1,4919188577345,1789812709512432916,-0.6435,-0.7137,0.1209,0,0,0,"{""sensor_sample_index"":7}"
9,1,4919192461214,1789812709516271341,-0.6201,-0.7253999999999999,0.11309999999999999,0,0,0,"{""sensor_sample_index"":8}"
10,1,4919198201120,1789812709522048636,-0.6201,-0.7137,0.0624,0,0,0,"{""sensor_sample_index"":9}"
11,1,4919202122878,1789812709525944691,-0.6317999999999999,-0.7098,0.023399999999999997,0,0,0,"{""sensor_sample_index"":10}"
12,1,4919208047340,1789812709531904282,-0.6317999999999999,-0.7098,0.050699999999999995,0,0,0,"{""sensor_sample_index"":11}"
13,1,4919211992653,1789812709535874929,-0.6123,-0.7098,0.1209,0,0,0,"{""sensor_sample_index"":12}"
14,1,4919217834874,1789812709541660131,-0.624,-0.702,0.15209999999999999,0,0,0,"{""sensor_sample_index"":13}"
15,1,4919221605558,1789812709545416593,-0.6279,-0.7098,0.13649999999999998,0,0,0,"{""sensor_sample_index"":14}"
16,1,4919227262594,1789812709551075832,-0.6396,-0.7098,0.0702,0,0,0,"{""sensor_sample_index"":15}"
17,1,4919230985741,1789812709554792776,-0.6123,-0.7137,0.0897,0,0,0,"{""sensor_sample_index"":16}"
