sample_index,window_index,host_monotonic_ns,host_utc_ns,x_g,y_g,z_g,gap,overrun,saturated,diagnostics_json
1,1,4990747569495,1789812781071449770,-0.5616,-0.6825,0.12869999999999998,0,0,0,"{""sensor_sample_index"":0}"
2,1,4990751625031,1789812781075455899,-0.6083999999999999,-0.7137,0.10139999999999999,0,0,0,"{""sensor_sample_index"":1}"
3,1,4990757361253,1789812781081179158,-0.6435,-0.702,0.058499999999999996,0,0,0,"{""sensor_sample_index"":2}"
4,1,4990761147493,1789812781084959842,-0.6396,-0.7293,0.10529999999999999,0,0,0,"{""sensor_sample_index"":3}"
5,1,4990766831641,1789812781090649805,-0.6083999999999999,-0.7137,0.1209,0,0,0,"{""sensor_sample_index"":4}"
6,1,4990770790288,1789812781094638452,-0.6317999999999999,-0.6980999999999999,0.1638,0,0,0,"{""sensor_sample_index"":5}"
7,1,4990776593454,1789812781100409878,-0.6279,-0.7176,0.10919999999999999,0,0,0,"{""sensor_sample_index"":6}"
8,1,4990782264768,1789812781106083192,-0.624,-0.7137,0.046799999999999994,0,0,0,"{""sensor_sample_index"":7}"
9,1,4990786050657,1789812781109869765,-0.6279,-0.7214999999999999,0.0702,0,0,0,"{""sensor_sample_index"":8}"
10,1,4990790604323,1789812781114467432,-0.6396,-0.7059,0.1209,0,0,0,"{""sensor_sample_index"":9}"
11,1,4990796468378,1789812781120282597,-0.6162,-0.6941999999999999,0.15209999999999999,0,0,0,"{""sensor_sample_index"":10}"
12,1,4990800233803,1789812781124054079,-0.6356999999999999,-0.6980999999999999,0.11309999999999999,0,0,0,"{""sensor_sample_index"":11}"
13,1,4990805881858,1789812781129691633,-0.6123,-0.7293,0.058499999999999996,0,0,0,"{""sensor_sample_index"":12}"
14,1,4990809611395,1789812781133421189,-0.6396,-0.7098,0.058499999999999996,0,0,0,"{""sensor_sample_index"":13}"
15,1,4990815283283,1789812781139095688,-0.6162,-0.702,0.11699999999999999,0,0,0,"{""sensor_sample_index"":14}"
16,1,4990819161449,1789812781143019928,-0.6435,-0.6825,0.1209,0,0,0,"{""sensor_sample_index"":15}"
17,1,4990825062393,1789812781148888779,-0.6083999999999999,-0.7214999999999999,0.11699999999999999,0,0,0,"{""sensor_sample_index"":16}"
18,1,4990828898411,1789812781152719075,-0.6279,-0.7059,0.078,0,0,0,"{""sensor_sample_index"":17}"
19,1,4990834570577,1789812781158383352,-0.6317999999999999,-0.702,0.050699999999999995,0,0,0,"{""sensor_sample_index"":18}"
20,1,4990838392428,1789812781162276185,-0.6356999999999999,-0.7176,0.11309999999999999,0,0,0,"{""sensor_sample_index"":19}"
21,1,4990844423039,1789812781168267073,-0.6317999999999999,-0.7059,0.1209,0,0,0,"{""sensor_sample_index"":20}"
22,1,4990848290075,1789812781172106962,-0.6044999999999999,-0.7214999999999999,0.1326,0,0,0,"{""sensor_sample_index"":21}"
23,1,4990853945797,1789812781177757054,-0.6201,-0.7137,0.0819,0,0,0,"{""sensor_sample_index"":22}"
24,1,4990857675648,1789812781181488590,-0.624,-0.7137,0.0663,0,0,0,"{""sensor_sample_index"":23}"
25,1,4990863321777,1789812781187131941,-0.6435,-0.7176,0.0702,0,0,0,"{""sensor_sample_index"":24}"
26,1,4990869078221,1789812781192935367,-0.6162,-0.7176,0.1209,0,0,0,"{""sensor_sample_index"":25}"
27,1,4990873017313,1789812781196834403,-0.6279,-0.6980999999999999,0.12869999999999998,0,0,0,"{""sensor_sample_index"":26}"
28,1,4990878687646,1789812781202499754,-0.624,-0.7098,0.11699999999999999,0,0,0,"{""sensor_sample_index"":27}"
29,1,4990882421331,1789812781206231569,-0.6396,-0.702,0.050699999999999995,0,0,0,"{""sensor_sample_index"":28}"
30,1,4990888116737,1789812781211969068,-0.6201,-0.7176,0.0702,0,0,0,"{""sensor_sample_index"":29}"
31,1,4990892170515,1789812781216009142,-0.6474,-0.7059,0.12869999999999998,0,0,0,"{""sensor_sample_index"":30}"
32,1,4990897938144,1789812781221754641,-0.6279,-0.7059,0.14429999999999998,0,0,0,"{""sensor_sample_index"":31}"
33,1,4990901738365,1789812781225554474,-0.6356999999999999,-0.7176,0.11699999999999999,0,0,0,"{""sensor_sample_index"":32}"
34,1,4990907403513,1789812781231217140,-0.6123,-0.7098,0.058499999999999996,0,0,0,"{""sensor_sample_index"":33}"
35,1,4990911147364,1789812781234957380,-0.624,-0.6941999999999999,0.0624,0,0,0,"{""sensor_sample_index"":34}"
36,1,4990916766475,1789812781240581213,-0.6317999999999999,-0.7176,0.11309999999999999,0,0,0,"{""sensor_sample_index"":35}"
37,1,4990920676659,1789812781244522787,-0.6552,-0.6864,0.1248,0,0,0,"{""sensor_sample_index"":36}"
38,1,4990926468474,1789812781250280286,-0.5967,-0.7253999999999999,0.10529999999999999,0,0,0,"{""sensor_sample_index"":37}"
39,1,4990930200695,1789812781254013026,-0.6279,-0.7098,0.078,0,0,0,"{""sensor_sample_index"":38}"
40,1,4990935841435,1789812781259656729,-0.6279,-0.702,0.0741,0,0,0,"{""sensor_sample_index"":39}"
41,1,4990939800879,1789812781263659932,-0.6356999999999999,-0.7176,0.10139999999999999,0,0,0,"{""sensor_sample_index"":40}"
42,1,4990945759675,1789812781269593358,-0.6201,-0.7137,0.10139999999999999,0,0,0,"{""sensor_sample_index"":41}"
43,1,4990949614100,1789812781273435042,-0.6201,-0.7098,0.13649999999999998,0,0,0,"{""sensor_sample_index"":42}"
44,1,4990955304137,1789812781279121227,-0.6006,-0.7059,0.09749999999999999,0,0,0,"{""sensor_sample_index"":43}"
45,1,4990959065877,1789812781282881245,-0.6396,-0.7137,0.058499999999999996,0,0,0,"{""sensor_sample_index"":44}"
46,1,4990964733913,1789812781288543763,-0.6396,-0.7214999999999999,0.0624,0,0,0,"{""sensor_sample_index"":45}"
47,1,4990970631672,1789812781294484188,-0.6162,-0.7137,0.11699999999999999,0,0,0,"{""sensor_sample_index"":46}"
48,1,4990974585320,1789812781298408669,-0.6317999999999999,-0.6902999999999999,0.1482,0,0,0,"{""sensor_sample_index"":47}"
49,1,4990978400579,1789812781302219743,-0.6396,-0.7098,0.1209,0,0,0,"{""sensor_sample_index"":48}"
50,1,4990984040578,1789812781307852020,-0.6279,-0.7253999999999999,0.0312,0,0,0,"{""sensor_sample_index"":49}"
51,1,4990989972299,1789812781313837760,-0.6317999999999999,-0.7176,0.0702,0,0,0,"{""sensor_sample_index"":50}"
52,1,4990993982132,1789812781317807833,-0.6356999999999999,-0.7059,0.1209,0,0,0,"{""sensor_sample_index"":51}"
53,1,4990997815428,1789812781321658352,-0.6279,-0.6980999999999999,0.13649999999999998,0,0,0,"{""sensor_sample_index"":52}"
54,1,4991003739224,1789812781327563962,-0.6123,-0.7098,0.11309999999999999,0,0,0,"{""sensor_sample_index"":53}"
55,1,4991007543631,1789812781331356554,-0.6317999999999999,-0.7214999999999999,0.078,0,0,0,"{""sensor_sample_index"":54}"
56,1,4991013179445,1789812781336986294,-0.6317999999999999,-0.7137,0.054599999999999996,0,0,0,"{""sensor_sample_index"":55}"
57,1,4991016889278,1789812781340699238,-0.6317999999999999,-0.7059,0.09359999999999999,0,0,0,"{""sensor_sample_index"":56}"
58,1,4991022735629,1789812781346586923,-0.6474,-0.702,0.1326,0,0,0,"{""sensor_sample_index"":57}"
59,1,4991026625054,1789812781350437552,-0.5928,-0.7293,0.12869999999999998,0,0,0,"{""sensor_sample_index"":58}"
60,1,4991032275776,1789812781356090292,-0.6162,-0.7176,0.10139999999999999,0,0,0,"{""sensor_sample_index"":59}"
61,1,4991038023090,1789812781361874328,-0.6279,-0.7098,0.0624,0,0,0,"{""sensor_sample_index"":60}"
