sample_index,window_index,host_monotonic_ns,host_utc_ns,x_g,y_g,z_g,gap,overrun,saturated,diagnostics_json
1,1,5870748093182,1789813661071948105,-0.6006,-0.6708,0.0663,0,0,0,"{""sensor_sample_index"":0}"
2,1,5870753947445,1789813661077793850,-0.6317999999999999,-0.7059,0.11309999999999999,0,0,0,"{""sensor_sample_index"":1}"
3,1,5870757917836,1789813661081760963,-0.6552,-0.6864,0.1404,0,0,0,"{""sensor_sample_index"":2}"
4,1,5870763730673,1789813661087581263,-0.6044999999999999,-0.7253999999999999,0.1248,0,0,0,"{""sensor_sample_index"":3}"
5,1,5870767972806,1789813661091850840,-0.6317999999999999,-0.7098,0.0858,0,0,0,"{""sensor_sample_index"":4}"
6,1,5870771947604,1789813661095814917,-0.6279,-0.7137,0.0858,0,0,0,"{""sensor_sample_index"":5}"
7,1,5870777936293,1789813661101783735,-0.6474,-0.7098,0.0897,0,0,0,"{""sensor_sample_index"":6}"
8,1,5870781831740,1789813661105665664,-0.6317999999999999,-0.7098,0.11699999999999999,0,0,0,"{""sensor_sample_index"":7}"
9,1,5870787582744,1789813661111420279,-0.6162,-0.7137,0.14429999999999998,0,0,0,"{""sensor_sample_index"":8}"
10,1,5870791462061,1789813661115284448,-0.6162,-0.7098,0.12869999999999998,0,0,0,"{""sensor_sample_index"":9}"
11,1,5870797142676,1789813661120953266,-0.6317999999999999,-0.7098,0.054599999999999996,0,0,0,"{""sensor_sample_index"":10}"
12,1,5870800852030,1789813661124659213,-0.6317999999999999,-0.7332,0.0897,0,0,0,"{""sensor_sample_index"":11}"
13,1,5870806730016,1789813661130585865,-0.6201,-0.7176,0.1326,0,0,0,"{""sensor_sample_index"":12}"
14,1,5870810681815,1789813661134498016,-0.6162,-0.7059,0.156,0,0,0,"{""sensor_sample_index"":13}"
15,1,5870816334448,1789813661140153575,-0.6317999999999999,-0.7098,0.09749999999999999,0,0,0,"{""sensor_sample_index"":14}"
16,1,5870820208747,1789813661144041892,-0.6279,-0.7176,0.0429,0,0,0,"{""sensor_sample_index"":15}"
17,1,5870825956639,1789813661149775303,-0.6123,-0.7137,0.050699999999999995,0,0,0,"{""sensor_sample_index"":16}"
18,1,5870829706753,1789813661153516880,-0.6317999999999999,-0.6980999999999999,0.1326,0,0,0,"{""sensor_sample_index"":17}"
19,1,5870835444701,1789813661159291865,-0.6317999999999999,-0.7137,0.156,0,0,0,"{""sensor_sample_index"":18}"
20,1,5870839320314,1789813661163133664,-0.6317999999999999,-0.7098,0.10529999999999999,0,0,0,"{""sensor_sample_index"":19}"
21,1,5870844960077,1789813661168769575,-0.6083999999999999,-0.7176,0.0819,0,0,0,"{""sensor_sample_index"":20}"
22,1,5870850666192,1789813661174505116,-0.6317999999999999,-0.6941999999999999,0.054599999999999996,0,0,0,"{""sensor_sample_index"":21}"
23,1,5870854506306,1789813661178323562,-0.6123,-0.7137,0.11699999999999999,0,0,0,"{""sensor_sample_index"":22}"
24,1,5870860162624,1789813661183970492,-0.6591,-0.6864,0.13649999999999998,0,0,0,"{""sensor_sample_index"":23}"
25,1,5870863966219,1789813661187847772,-0.6006,-0.7214999999999999,0.12869999999999998,0,0,0,"{""sensor_sample_index"":24}"
26,1,5870869920778,1789813661193750091,-0.624,-0.7098,0.0897,0,0,0,"{""sensor_sample_index"":25}"
27,1,5870873732485,1789813661197552871,-0.6162,-0.7098,0.0702,0,0,0,"{""sensor_sample_index"":26}"
28,1,5870879389285,1789813661203201634,-0.6396,-0.7098,0.09749999999999999,0,0,0,"{""sensor_sample_index"":27}"
29,1,5870883118287,1789813661206926340,-0.624,-0.7176,0.13649999999999998,0,0,0,"{""sensor_sample_index"":28}"
30,1,5870888733754,1789813661212545844,-0.624,-0.7098,0.156,0,0,0,"{""sensor_sample_index"":29}"
