sample_index,window_index,host_monotonic_ns,host_utc_ns,x_g,y_g,z_g,gap,overrun,saturated,diagnostics_json
1,1,6413252514812,1789814203576393902,-0.585,-0.6629999999999999,0.058499999999999996,0,0,0,"{""sensor_sample_index"":0}"
2,1,6413256531376,1789814203580377467,-0.6356999999999999,-0.7098,0.0819,0,0,0,"{""sensor_sample_index"":1}"
3,1,6413262460112,1789814203586313424,-0.6356999999999999,-0.7098,0.11309999999999999,0,0,0,"{""sensor_sample_index"":2}"
4,1,6413266363972,1789814203590179007,-0.6279,-0.7098,0.156,0,0,0,"{""sensor_sample_index"":3}"
5,1,6413272116559,1789814203595974131,-0.6083999999999999,-0.7098,0.10139999999999999,0,0,0,"{""sensor_sample_index"":4}"
6,1,6413276068587,1789814203599893029,-0.6396,-0.7098,0.050699999999999995,0,0,0,"{""sensor_sample_index"":5}"
7,1,6413281911267,1789814203605771523,-0.6317999999999999,-0.7293,0.078,0,0,0,"{""sensor_sample_index"":6}"
8,1,6413285829849,1789814203609643199,-0.624,-0.7137,0.1248,0,0,0,"{""sensor_sample_index"":7}"
9,1,6413291600196,1789814203615455082,-0.6279,-0.7059,0.1599,0,0,0,"{""sensor_sample_index"":8}"
10,1,6413295541464,1789814203619361943,-0.624,-0.7098,0.10919999999999999,0,0,0,"{""sensor_sample_index"":9}"
11,1,6413301319569,1789814203625170178,-0.624,-0.7137,0.0429,0,0,0,"{""sensor_sample_index"":10}"
12,1,6413305254689,1789814203629075113,-0.6279,-0.7176,0.0663,0,0,0,"{""sensor_sample_index"":11}"
13,1,6413311005535,1789814203634864681,-0.6435,-0.7059,0.1326,0,0,0,"{""sensor_sample_index"":12}"
14,1,6413314969192,1789814203638794060,-0.6317999999999999,-0.7098,0.1599,0,0,0,"{""sensor_sample_index"":13}"
15,1,6413321013076,1789814203644893833,-0.6317999999999999,-0.7059,0.10919999999999999,0,0,0,"{""sensor_sample_index"":14}"
16,1,6413326550274,1789814203650381197,-0.6123,-0.7214999999999999,0.0624,0,0,0,"{""sensor_sample_index"":15}"
17,1,6413329385706,1789814203653192037,-0.6317999999999999,-0.7059,0.0624,0,0,0,"{""sensor_sample_index"":16}"
18,1,6413335173034,1789814203659023513,-0.624,-0.7098,0.1209,0,0,0,"{""sensor_sample_index"":17}"
19,1,6413339084505,1789814203662903725,-0.6513,-0.702,0.1326,0,0,0,"{""sensor_sample_index"":18}"
20,1,6413344879111,1789814203668721294,-0.6044999999999999,-0.7214999999999999,0.1248,0,0,0,"{""sensor_sample_index"":19}"
21,1,6413348730527,1789814203672540839,-0.6317999999999999,-0.7059,0.0858,0,0,0,"{""sensor_sample_index"":20}"
22,1,6413354488262,1789814203678328556,-0.6201,-0.7098,0.054599999999999996,0,0,0,"{""sensor_sample_index"":21}"
23,1,6413358323993,1789814203682139028,-0.6435,-0.7098,0.0858,0,0,0,"{""sensor_sample_index"":22}"
24,1,6413364091469,1789814203687935411,-0.624,-0.7176,0.13649999999999998,0,0,0,"{""sensor_sample_index"":23}"
25,1,6413367938385,1789814203691750123,-0.624,-0.7332,0.1599,0,0,0,"{""sensor_sample_index"":24}"
26,1,6413373766361,1789814203697610340,-0.6006,-0.7137,0.09749999999999999,0,0,0,"{""sensor_sample_index"":25}"
27,1,6413377608721,1789814203701419830,-0.6396,-0.7059,0.0429,0,0,0,"{""sensor_sample_index"":26}"
28,1,6413383354123,1789814203707196472,-0.6317999999999999,-0.7253999999999999,0.0819,0,0,0,"{""sensor_sample_index"":27}"
29,1,6413387206706,1789814203711025703,-0.6201,-0.7059,0.1248,0,0,0,"{""sensor_sample_index"":28}"
30,1,6413393024700,1789814203716875439,-0.624,-0.7098,0.15209999999999999,0,0,0,"{""sensor_sample_index"":29}"
31,1,6413396892653,1789814203720706410,-0.6356999999999999,-0.7059,0.10139999999999999,0,0,0,"{""sensor_sample_index"":30}"
32,1,6413402664629,1789814203726515534,-0.6162,-0.7214999999999999,0.0351,0,0,0,"{""sensor_sample_index"":31}"
33,1,6413406559082,1789814203730384043,-0.624,-0.7253999999999999,0.0624,0,0,0,"{""sensor_sample_index"":32}"
34,1,6413412385484,1789814203736233593,-0.6396,-0.7059,0.1404,0,0,0,"{""sensor_sample_index"":33}"
35,1,6413416278789,1789814203740093898,-0.6356999999999999,-0.6941999999999999,0.13649999999999998,0,0,0,"{""sensor_sample_index"":34}"
36,1,6413422010024,1789814203745856670,-0.6279,-0.7176,0.10529999999999999,0,0,0,"{""sensor_sample_index"":35}"
37,1,6413425931070,1789814203749777568,-0.6044999999999999,-0.7176,0.054599999999999996,0,0,0,"{""sensor_sample_index"":36}"
38,1,6413432030343,1789814203755890118,-0.6201,-0.702,0.050699999999999995,0,0,0,"{""sensor_sample_index"":37}"
39,1,6413435960148,1789814203759776312,-0.6201,-0.7137,0.11309999999999999,0,0,0,"{""sensor_sample_index"":38}"
40,1,6413441724772,1789814203765573733,-0.6552,-0.6941999999999999,0.1209,0,0,0,"{""sensor_sample_index"":39}"
41,1,6413445611503,1789814203769424056,-0.6044999999999999,-0.7137,0.11699999999999999,0,0,0,"{""sensor_sample_index"":40}"
42,1,6413451341219,1789814203775198810,-0.6162,-0.702,0.0819,0,0,0,"{""sensor_sample_index"":41}"
43,1,6413455358580,1789814203779185819,-0.6083999999999999,-0.7176,0.046799999999999994,0,0,0,"{""sensor_sample_index"":42}"
44,1,6413461167816,1789814203785033147,-0.6396,-0.7176,0.09359999999999999,0,0,0,"{""sensor_sample_index"":43}"
45,1,6413465133213,1789814203788949692,-0.6201,-0.7214999999999999,0.11309999999999999,0,0,0,"{""sensor_sample_index"":44}"
46,1,6413468859055,1789814203792665515,-0.6279,-0.7098,0.156,0,0,0,"{""sensor_sample_index"":45}"
47,1,6413474573179,1789814203798413769,-0.6123,-0.7137,0.09749999999999999,0,0,0,"{""sensor_sample_index"":46}"
48,1,6413480346321,1789814203804176337,-0.6356999999999999,-0.7098,0.054599999999999996,0,0,0,"{""sensor_sample_index"":47}"
49,1,6413484299682,1789814203808130698,-0.6279,-0.7253999999999999,0.0741,0,0,0,"{""sensor_sample_index"":48}"
50,1,6413490003880,1789814203813827729,-0.6396,-0.7059,0.1326,0,0,0,"{""sensor_sample_index"":49}"
51,1,6413493945796,1789814203817780590,-0.6201,-0.6980999999999999,0.1638,0,0,0,"{""sensor_sample_index"":50}"
52,1,6413499660494,1789814203823480547,-0.6317999999999999,-0.7059,0.09359999999999999,0,0,0,"{""sensor_sample_index"":51}"
53,1,6413503585392,1789814203827427038,-0.624,-0.702,0.0351,0,0,0,"{""sensor_sample_index"":52}"
54,1,6413507442104,1789814203831253750,-0.6317999999999999,-0.7059,0.0663,0,0,0,"{""sensor_sample_index"":53}"
55,1,6413513216580,1789814203837071744,-0.6279,-0.702,0.11699999999999999,0,0,0,"{""sensor_sample_index"":54}"
56,1,6413517111922,1789814203840926623,-0.6474,-0.6902999999999999,0.1248,0,0,0,"{""sensor_sample_index"":55}"
57,1,6413522950880,1789814203846801229,-0.6201,-0.6941999999999999,0.10139999999999999,0,0,0,"{""sensor_sample_index"":56}"
58,1,6413526870888,1789814203850691441,-0.624,-0.7137,0.0702,0,0,0,"{""sensor_sample_index"":57}"
59,1,6413532652438,1789814203856501177,-0.6123,-0.7098,0.0351,0,0,0,"{""sensor_sample_index"":58}"
60,1,6413536549688,1789814203860370056,-0.6317999999999999,-0.7176,0.11699999999999999,0,0,0,"{""sensor_sample_index"":59}"
61,1,6413542345256,1789814203866192384,-0.6474,-0.6980999999999999,0.1326,0,0,0,"{""sensor_sample_index"":60}"
62,1,6413546205672,1789814203870021300,-0.6044999999999999,-0.7253999999999999,0.12869999999999998,0,0,0,"{""sensor_sample_index"":61}"
63,1,6413551974130,1789814203875845090,-0.6044999999999999,-0.7059,0.10139999999999999,0,0,0,"{""sensor_sample_index"":62}"
64,1,6413555862898,1789814203879673969,-0.6317999999999999,-0.6980999999999999,0.046799999999999994,0,0,0,"{""sensor_sample_index"":63}"
65,1,6413561600429,1789814203885448408,-0.6317999999999999,-0.7176,0.10529999999999999,0,0,0,"{""sensor_sample_index"":64}"
66,1,6413565492493,1789814203889304732,-0.6279,-0.7098,0.1326,0,0,0,"{""sensor_sample_index"":65}"
67,1,6413571293599,1789814203895155634,-0.624,-0.7137,0.1599,0,0,0,"{""sensor_sample_index"":66}"
68,1,6413575293811,1789814203899111587,-0.6123,-0.7137,0.11699999999999999,0,0,0,"{""sensor_sample_index"":67}"
69,1,6413581005713,1789814203904860489,-0.6279,-0.7137,0.046799999999999994,0,0,0,"{""sensor_sample_index"":68}"
70,1,6413584928537,1789814203908745571,-0.6162,-0.7214999999999999,0.0741,0,0,0,"{""sensor_sample_index"":69}"
71,1,6413590673327,1789814203914533714,-0.6279,-0.7059,0.1404,0,0,0,"{""sensor_sample_index"":70}"
72,1,6413594655651,1789814203918475241,-0.6201,-0.6980999999999999,0.14429999999999998,0,0,0,"{""sensor_sample_index"":71}"
73,1,6413600362108,1789814203924207291,-0.6356999999999999,-0.7137,0.09749999999999999,0,0,0,"{""sensor_sample_index"":72}"
74,1,6413604362969,1789814203928189893,-0.6279,-0.7137,0.0351,0,0,0,"{""sensor_sample_index"":73}"
75,1,6413610077963,1789814203933914887,-0.6279,-0.7176,0.050699999999999995,0,0,0,"{""sensor_sample_index"":74}"
76,1,6413614006305,1789814203937837785,-0.6396,-0.7059,0.1248,0,0,0,"{""sensor_sample_index"":75}"
77,1,6413619718948,1789814203943536631,-0.6474,-0.6941999999999999,0.13649999999999998,0,0,0,"{""sensor_sample_index"":76}"
78,1,6413623606771,1789814203947448825,-0.6044999999999999,-0.7332,0.11309999999999999,0,0,0,"{""sensor_sample_index"":77}"
79,1,6413629349932,1789814203953161448,-0.6201,-0.7098,0.0819,0,0,0,"{""sensor_sample_index"":78}"
80,1,6413633195608,1789814203957051827,-0.6317999999999999,-0.7137,0.054599999999999996,0,0,0,"{""sensor_sample_index"":79}"
81,1,6413639027491,1789814203962839914,-0.6279,-0.7137,0.09749999999999999,0,0,0,"{""sensor_sample_index"":80}"
82,1,6413642900740,1789814203966751164,-0.6317999999999999,-0.7059,0.13649999999999998,0,0,0,"{""sensor_sample_index"":81}"
83,1,6413648695420,1789814203972516547,-0.6162,-0.7253999999999999,0.1482,0,0,0,"{""sensor_sample_index"":82}"
84,1,6413652603447,1789814203976449686,-0.6006,-0.7098,0.078,0,0,0,"{""sensor_sample_index"":83}"
85,1,6413658391460,1789814203982203476,-0.624,-0.7098,0.0663,0,0,0,"{""sensor_sample_index"":84}"
86,1,6413662265913,1789814203986113096,-0.6474,-0.7137,0.0858,0,0,0,"{""sensor_sample_index"":85}"
87,1,6413668064074,1789814203991880831,-0.6201,-0.702,0.12869999999999998,0,0,0,"{""sensor_sample_index"":86}"
88,1,6413671955472,1789814203995831396,-0.6356999999999999,-0.702,0.1638,0,0,0,"{""sensor_sample_index"":87}"
89,1,6413677789893,1789814204001601520,-0.6201,-0.7059,0.09749999999999999,0,0,0,"{""sensor_sample_index"":88}"
90,1,6413681682438,1789814204005538288,-0.6396,-0.7059,0.054599999999999996,0,0,0,"{""sensor_sample_index"":89}"
91,1,6413687517933,1789814204011335356,-0.6201,-0.7253999999999999,0.0663,0,0,0,"{""sensor_sample_index"":90}"
92,1,6413691397090,1789814204015248328,-0.6474,-0.7137,0.1326,0,0,0,"{""sensor_sample_index"":91}"
93,1,6413697253992,1789814204021088600,-0.6279,-0.7059,0.1326,0,0,0,"{""sensor_sample_index"":92}"
94,1,6413701206686,1789814204025070868,-0.6356999999999999,-0.7137,0.10919999999999999,0,0,0,"{""sensor_sample_index"":93}"
95,1,6413707097365,1789814204030918900,-0.6279,-0.7214999999999999,0.046799999999999994,0,0,0,"{""sensor_sample_index"":94}"
96,1,6413710940207,1789814204034801186,-0.624,-0.6980999999999999,0.054599999999999996,0,0,0,"{""sensor_sample_index"":95}"
97,1,6413714924142,1789814204038751880,-0.6279,-0.7059,0.1248,0,0,0,"{""sensor_sample_index"":96}"
98,1,6413720696896,1789814204044555782,-0.6591,-0.6941999999999999,0.15209999999999999,0,0,0,"{""sensor_sample_index"":97}"
99,1,6413724698571,1789814204048520106,-0.6006,-0.7253999999999999,0.12869999999999998,0,0,0,"{""sensor_sample_index"":98}"
100,1,6413730412640,1789814204054271656,-0.6201,-0.702,0.0702,0,0,0,"{""sensor_sample_index"":99}"
101,1,6413734403056,1789814204058222572,-0.6279,-0.6941999999999999,0.0624,0,0,0,"{""sensor_sample_index"":100}"
102,1,6413740200625,1789814204064029215,-0.6356999999999999,-0.7059,0.10139999999999999,0,0,0,"{""sensor_sample_index"":101}"
103,1,6413744126726,1789814204067960205,-0.6356999999999999,-0.6980999999999999,0.1209,0,0,0,"{""sensor_sample_index"":102}"
104,1,6413749911443,1789814204073738903,-0.6162,-0.7137,0.14429999999999998,0,0,0,"{""sensor_sample_index"":103}"
105,1,6413753822544,1789814204077662171,-0.6083999999999999,-0.7137,0.09359999999999999,0,0,0,"{""sensor_sample_index"":104}"
106,1,6413759560334,1789814204083370758,-0.624,-0.7098,0.0702,0,0,0,"{""sensor_sample_index"":105}"
107,1,6413763414547,1789814204087261656,-0.624,-0.7214999999999999,0.0858,0,0,0,"{""sensor_sample_index"":106}"
108,1,6413769177578,1789814204092986965,-0.6201,-0.7293,0.13649999999999998,0,0,0,"{""sensor_sample_index"":107}"
109,1,6413773051253,1789814204096896936,-0.6396,-0.6980999999999999,0.1404,0,0,0,"{""sensor_sample_index"":108}"
110,1,6413778843933,1789814204102653820,-0.624,-0.702,0.11699999999999999,0,0,0,"{""sensor_sample_index"":109}"
111,1,6413782730627,1789814204106579828,-0.6317999999999999,-0.7098,0.027299999999999998,0,0,0,"{""sensor_sample_index"":110}"
112,1,6413788590473,1789814204112424693,-0.6201,-0.7137,0.054599999999999996,0,0,0,"{""sensor_sample_index"":111}"
113,1,6413792624445,1789814204116484647,-0.6474,-0.702,0.1248,0,0,0,"{""sensor_sample_index"":112}"
114,1,6413798466014,1789814204122298326,-0.624,-0.7059,0.14429999999999998,0,0,0,"{""sensor_sample_index"":113}"
115,1,6413802396245,1789814204126247057,-0.6356999999999999,-0.6980999999999999,0.0897,0,0,0,"{""sensor_sample_index"":114}"
116,1,6413808206295,1789814204132023737,-0.6123,-0.7059,0.0624,0,0,0,"{""sensor_sample_index"":115}"
117,1,6413812117767,1789814204135970875,-0.6317999999999999,-0.6941999999999999,0.0663,0,0,0,"{""sensor_sample_index"":116}"
118,1,6413817940817,1789814204141768555,-0.624,-0.7137,0.1326,0,0,0,"{""sensor_sample_index"":117}"
119,1,6413822217456,1789814204146094028,-0.6552,-0.7137,0.1482,0,0,0,"{""sensor_sample_index"":118}"
120,1,6413826486428,1789814204150352389,-0.5967,-0.7253999999999999,0.1248,0,0,0,"{""sensor_sample_index"":119}"
121,1,6413832630368,1789814204156491310,-0.6162,-0.7059,0.0858,0,0,0,"{""sensor_sample_index"":120}"
122,1,6413836617599,1789814204160450875,-0.6279,-0.6941999999999999,0.0624,0,0,0,"{""sensor_sample_index"":121}"
123,1,6413840472830,1789814204164306568,-0.6356999999999999,-0.6980999999999999,0.0858,0,0,0,"{""sensor_sample_index"":122}"
124,1,6413846447343,1789814204170311582,-0.6356999999999999,-0.7098,0.1209,0,0,0,"{""sensor_sample_index"":123}"
