window,window_start_ns,window_complete_ns,decision_ns,elapsed_s,score,threshold,prediction,error,processing_ms,window_to_decision_ms,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes,temperature_c,cpu_frequency_khz,windows_dropped
1,6589093043189,6589706012256,6589707418573,0.626127388,0.4469012596155998,1.296361072562011,0,,0.323759,1.406317,11.197067891006611,41058304,153812992,56.2,2400000.0,0
2,6589711456618,6590323146701,6590324087147,1.242795962,0.41779736025993114,1.296361072562011,0,,0.318927,0.940446,8.109009124227372,41074688,153812992,56.2,2400000.0,0
3,6590329694343,6590941702537,6590942495982,1.861204797,0.4268756749954967,1.296361072562011,0,,0.272796,0.793445,9.70241840264995,41074688,153812992,56.75,2400000.0,0
4,6590945999285,6591559222574,6591559989482,2.478698297,0.4318520437065207,1.296361072562011,0,,0.320278,0.766908,8.097219413885274,41091072,153812992,55.1,2400000.0,0
5,6591563436470,6592176409128,6592177435481,3.096144296,0.44252702937623434,1.296361072562011,0,,0.346815,1.026353,9.717413737741321,41091072,153812992,55.1,2400000.0,0
6,6592180825525,6592794271164,6592795089110,3.713797925,0.4423558818189236,1.296361072562011,0,,0.241889,0.817946,9.714263645328526,41123840,153812992,56.75,2400000.0,0
7,6592798564802,6593411215791,6593412048792,4.330757607,0.4489072915302694,1.296361072562011,0,,0.324426,0.833001,8.104238071582706,41123840,153812992,55.65,2400000.0,0
8,6593417380654,6594030003883,6594030813310,4.949522125,0.4327022214754862,1.296361072562011,0,,0.314574,0.809427,8.080610972673162,41140224,153812992,56.2,1700000.0,0
9,6594034182132,6594646067581,6594647318268,5.566027083,0.4521774370628988,1.296361072562011,0,,0.390056,1.250687,11.354243547227696,41140224,153812992,56.75,1700000.0,0
10,6594652736001,6595264047578,6595264866487,6.183575302,0.45503069441411353,1.296361072562011,0,,0.29426,0.818909,11.33526113198489,41156608,153812992,54.55,1800000.0,0
