window,window_start_ns,window_complete_ns,elapsed_s,method,input_sha256,dispatch_ns,worker_start_ns,decision_ns,processing_ms,dispatch_to_decision_ms,score,threshold,prediction,error,window_to_decision_ms
1,10136816784484,10137429959987,0.627966555,tflite_autoencoder,ca1e6008ba62b414c65b6d75a35c012905df4964aff80d448105665fe5485646,10137430791246,10137431293671,10137433142412,1.848741,2.351166,0.2591082992554827,0.47720259914362284,0,,3.182425
1,10136816784484,10137429959987,0.644940439,isolation_forest,ca1e6008ba62b414c65b6d75a35c012905df4964aff80d448105665fe5485646,10137430791246,10137431413838,10137450116296,18.702458,19.32505,0.3801018507192454,0.4833547401595273,0,,20.156309
1,10136816784484,10137429959987,0.626075888,rms,ca1e6008ba62b414c65b6d75a35c012905df4964aff80d448105665fe5485646,10137430791246,10137430987449,10137431251745,0.264296,0.460499,0.5357409623357365,1.296361072562011,0,,1.291758
2,10137434709930,10138047947469,1.244902038,tflite_autoencoder,fdf0455dd32364d8fdabf1c21007527bbedea4e50d24aa0cd85667b5a7f3f42d,10138049000043,10138049697765,10138050077895,0.38013,1.077852,0.2291260138406002,0.47720259914362284,0,,2.130426
2,10137434709930,10138047947469,1.265741217,isolation_forest,fdf0455dd32364d8fdabf1c21007527bbedea4e50d24aa0cd85667b5a7f3f42d,10138049000043,10138050364913,10138070917074,20.552161,21.917031,0.38530680147203195,0.4833547401595273,0,,22.969605
2,10137434709930,10138047947469,1.244456445,rms,fdf0455dd32364d8fdabf1c21007527bbedea4e50d24aa0cd85667b5a7f3f42d,10138049000043,10138049307580,10138049632302,0.324722,0.632259,0.5201470530801282,1.296361072562011,0,,1.684833
3,10138053892653,10138664676786,1.862970521,tflite_autoencoder,8a0fbb707178bf460d4275d8382d80a45b34c03e5fac475de2cd3c9510b807e4,10138665427767,10138665948341,10138668146378,2.198037,2.718611,0.28099208179137125,0.47720259914362284,0,,3.469592
3,10138053892653,10138664676786,1.885823663,isolation_forest,8a0fbb707178bf460d4275d8382d80a45b34c03e5fac475de2cd3c9510b807e4,10138665427767,10138666068545,10138690999520,24.930975,25.571753,0.3852773465161583,0.4833547401595273,0,,26.322734
3,10138053892653,10138664676786,1.860728799,rms,8a0fbb707178bf460d4275d8382d80a45b34c03e5fac475de2cd3c9510b807e4,10138665427767,10138665634175,10138665904656,0.270481,0.476889,0.5320430286289611,1.296361072562011,0,,1.22787
4,10138669540729,10139282306566,2.480483078,tflite_autoencoder,377005259c05c463b59aa9e253e1450622690d4dd5165b4141c639f6a37b7896,10139282967529,10139284971158,10139285658935,0.687777,2.691406,0.23865520695689021,0.47720259914362284,0,,3.352369
4,10138669540729,10139282306566,2.498918907,isolation_forest,377005259c05c463b59aa9e253e1450622690d4dd5165b4141c639f6a37b7896,10139282967529,10139283459566,10139304094764,20.635198,21.127235,0.3773706091421758,0.4833547401595273,0,,21.788198
4,10138669540729,10139282306566,2.478241579,rms,377005259c05c463b59aa9e253e1450622690d4dd5165b4141c639f6a37b7896,10139282967529,10139283159214,10139283417436,0.258222,0.449907,0.5319013958700448,1.296361072562011,0,,1.11087
5,10139286703380,10139899464235,3.097025118,tflite_autoencoder,1123eceab9b213262cb39671c7c48f00dff09202fffe98a92c56f17c8565e561,10139901000123,10139901456438,10139902200975,0.744537,1.200852,0.2551518845037819,0.47720259914362284,0,,2.73674
5,10139286703380,10139899464235,3.12828735,isolation_forest,1123eceab9b213262cb39671c7c48f00dff09202fffe98a92c56f17c8565e561,10139901000123,10139902324160,10139933463207,31.139047,32.463084,0.3854374591465883,0.4833547401595273,0,,33.998972
5,10139286703380,10139899464235,3.096769729,rms,1123eceab9b213262cb39671c7c48f00dff09202fffe98a92c56f17c8565e561,10139901000123,10139901769438,10139901945586,0.176148,0.945463,0.5259908910436811,1.296361072562011,0,,2.481351
6,10139909501713,10140516578515,3.71465562,tflite_autoencoder,18fd12f94e30372446aab6915be5baaa9ab51b10d797388cecbe1c10276b545b,10140517102811,10140517745477,10140519831477,2.086,2.728666,0.282154877245181,0.47720259914362284,0,,3.252962
6,10139909501713,10140516578515,3.730466616,isolation_forest,18fd12f94e30372446aab6915be5baaa9ab51b10d797388cecbe1c10276b545b,10140517102811,10140518008699,10140535642473,17.633774,18.539662,0.3832895537055373,0.4833547401595273,0,,19.063958
6,10139909501713,10140516578515,3.712494417,rms,18fd12f94e30372446aab6915be5baaa9ab51b10d797388cecbe1c10276b545b,10140517102811,10140517480218,10140517670274,0.190056,0.567463,0.5445755755573033,1.296361072562011,0,,1.091759
7,10140522739828,10141134244684,4.332728844,tflite_autoencoder,f901a493e6ae2bfcdc717ec4ef803ca755172a1d56c6596e0f7e27f3382eb1ad,10141134949128,10141135460128,10141137904701,2.444573,2.955573,0.28268400839858526,0.47720259914362284,0,,3.660017
7,10140522739828,10141134244684,4.349698858,isolation_forest,f901a493e6ae2bfcdc717ec4ef803ca755172a1d56c6596e0f7e27f3382eb1ad,10141134949128,10141135565128,10141154874715,19.309587,19.925587,0.3835318715596528,0.4833547401595273,0,,20.630031
7,10140522739828,10141134244684,4.330242437,rms,f901a493e6ae2bfcdc717ec4ef803ca755172a1d56c6596e0f7e27f3382eb1ad,10141134949128,10141135155832,10141135418294,0.262462,0.469166,0.5362739132453271,1.296361072562011,0,,1.17361
8,10141139552571,10141752035686,4.949896606,tflite_autoencoder,523c86e03e90dc141a17d3cbe55df493728c1f09d2e3ea0748da9638c0e6caa2,10141752750019,10141753265519,10141755072463,1.806944,2.322444,0.2555930719090185,0.47720259914362284,0,,3.036777
8,10141139552571,10141752035686,4.966972638,isolation_forest,523c86e03e90dc141a17d3cbe55df493728c1f09d2e3ea0748da9638c0e6caa2,10141752750019,10141753380556,10141772148495,18.767939,19.398476,0.38610818577865014,0.4833547401595273,0,,20.112809
8,10141139552571,10141752035686,4.948050088,rms,523c86e03e90dc141a17d3cbe55df493728c1f09d2e3ea0748da9638c0e6caa2,10141752750019,10141752948519,10141753225945,0.277426,0.475926,0.5492060835355127,1.296361072562011,0,,1.190259
9,10141758306240,10142370485392,5.568735349,tflite_autoencoder,35d2d2b1517ca2a0b3aa11c70f7fbd7bba56ed38006e324c6c2dc7175bd6f571,10142371490021,10142372107744,10142373911206,1.803462,2.421185,0.23680593244801784,0.47720259914362284,0,,3.425814
9,10141758306240,10142370485392,5.585261141,isolation_forest,35d2d2b1517ca2a0b3aa11c70f7fbd7bba56ed38006e324c6c2dc7175bd6f571,10142371490021,10142372245632,10142390436998,18.191366,18.946977,0.39104541189658965,0.4833547401595273,0,,19.951606
9,10141758306240,10142370485392,5.56687622,rms,35d2d2b1517ca2a0b3aa11c70f7fbd7bba56ed38006e324c6c2dc7175bd6f571,10142371490021,10142371721818,10142372052077,0.330259,0.562056,0.5370865493534274,1.296361072562011,0,,1.566685
10,10142375489576,10142987829562,6.18571287,tflite_autoencoder,7b831ed28b152d355d08b62e516dea9340a54a3e4f88659a92ff95e8ef7fa3ed,10142988604598,10142989098172,10142990888727,1.790555,2.284129,0.24849574569866592,0.47720259914362284,0,,3.059165
10,10142375489576,10142987829562,6.20549405,isolation_forest,7b831ed28b152d355d08b62e516dea9340a54a3e4f88659a92ff95e8ef7fa3ed,10142988604598,10142989215376,10143010669907,21.454531,22.065309,0.38377329654032566,0.4833547401595273,0,,22.840345
10,10142375489576,10142987829562,6.183881982,rms,7b831ed28b152d355d08b62e516dea9340a54a3e4f88659a92ff95e8ef7fa3ed,10142988604598,10142988796598,10142989057839,0.261241,0.453241,0.5115680063758715,1.296361072562011,0,,1.228277
