window,elapsed_s,batch_ms,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes,temperature_c,cpu_frequency_khz,windows_dropped
1,0.64603555,20.535921,17.054638318413662,182632448,180961280,56.75,2400000.0,0
2,1.266190199,22.505865,16.12487146906105,182665216,180961280,58.4,2400000.0,0
3,1.886600348,26.465789,19.342425552111738,182665216,180961280,57.85,2400000.0,0
4,2.499155259,21.477384,11.427547296431324,182665216,180961280,57.3,2400000.0,0
5,3.12856148,32.877418,15.887985255323816,182665216,180961280,58.4,2400000.0,0
6,3.730743708,18.891513,14.94564289605418,182681600,180961280,56.75,2400000.0,0
7,4.349939895,20.299717,11.304983247596992,182681600,180961280,56.75,2400000.0,0
8,4.967257601,19.799976,12.95928898654217,182681600,180961280,56.2,2400000.0,0
9,5.585586326,19.395087,11.320777736927592,182681600,180961280,56.75,2400000.0,0
10,6.205712995,22.403439,14.513255805528134,182681600,180961280,56.75,2400000.0,0
11,6.819160165,19.844346,11.410919695267761,182681600,180961280,57.3,2400000.0,0
12,7.438596427,20.685624,12.91494140806324,182681600,180961280,56.75,2400000.0,0
13,8.06043017,25.629475,12.865175121253737,182681600,180961280,55.65,1700000.0,0
14,8.68355282,31.992936,16.04812913525975,182681600,180961280,55.65,1700000.0,0
15,9.296703066,26.896475,14.678381589556698,182681600,180961280,55.65,1700000.0,0
16,9.917323976,29.887566,14.50161002032694,182681600,180961280,56.2,1700000.0,0
17,10.530334851,25.599104,13.050353619821431,182681600,180961280,55.65,1800000.0,0
18,11.160224667,37.334713,15.875766362131717,182681600,180961280,55.1,1700000.0,0
19,11.766182803,26.363919,13.202228122850336,182681600,180961280,55.65,1700000.0,0
20,12.386671714,29.823103,16.11633838012518,182681600,180961280,55.1,1600000.0,0
21,12.998912553,25.621752,14.700071669204448,182681600,180961280,55.1,1700000.0,0
22,13.618314409,27.616474,12.915693137564162,182681600,180961280,55.1,1700000.0,0
23,14.237239117,29.001085,16.157018350715326,182681600,180961280,55.65,1800000.0,0
24,14.854105215,27.088289,14.589916073835505,182681600,180961280,55.65,1700000.0,0
25,15.471297128,25.987253,12.961936143592684,182681600,180961280,54.0,1700000.0,0
26,16.085809726,25.18253,13.01840865472442,182681600,180961280,55.1,1700000.0,0
27,16.711475951,32.272528,15.982978409262323,182681600,180961280,55.1,1600000.0,0
28,17.321369477,24.055475,13.117047624902332,182681600,180961280,54.55,1800000.0,0
29,17.942706167,29.221752,14.484890799947033,182681600,180961280,54.55,1800000.0,0
30,18.557521822,25.364179,14.638506878946712,182681600,180961280,55.65,1700000.0,0
31,19.179824937,29.650159,14.462476068525854,182681600,180961280,54.0,1700000.0,0
32,19.78923989,23.653661,14.768269241341445,182681600,180961280,55.65,1900000.0,0
33,20.410346766,26.618919,12.880222124417395,182681600,180961280,54.55,1700000.0,0
34,21.028246013,27.809197,14.565470503304843,182681600,180961280,55.1,1700000.0,0
35,21.647990704,29.515771,16.13559478667692,182681600,180961280,54.55,1800000.0,0
36,22.269224061,32.121621,12.877658834892024,182681600,180961280,55.65,1800000.0,0
37,22.881606051,28.682715,14.696748275895196,182681600,180961280,54.55,1600000.0,0
38,23.498324058,27.685419,14.59336779719627,182681600,180961280,56.2,1700000.0,0
39,24.117356509,29.423863,16.154245361301303,182681600,180961280,56.2,1600000.0,0
40,24.736487349,29.8319,14.536488627205019,182681600,180961280,55.65,1700000.0,0
41,25.349789709,25.836975,13.044146837208924,182681600,180961280,55.65,1700000.0,0
42,25.967392865,26.106049,16.191642650261635,182681600,180961280,55.1,1700000.0,0
43,26.586161187,27.483049,14.545013411393235,182697984,180961280,55.1,1700000.0,0
44,27.205204083,29.263955,12.923144582666474,182697984,180961280,55.1,1700000.0,0
45,27.820970962,26.727216,14.615966194665633,182714368,180961280,55.65,1700000.0,0
46,28.437371026,27.085901,14.600895567679112,182730752,180961280,55.65,1700000.0,0
47,29.052744701,25.421068,14.625260889056118,182730752,180961280,55.65,1700000.0,0
48,29.673286005,27.812475,14.503438336599642,182730752,180961280,55.65,1800000.0,0
49,30.289012773,26.827141,14.616907778367707,182730752,180961280,54.55,1700000.0,0
50,30.909427596,29.947678,14.506342702492772,182730752,180961280,56.2,1600000.0,0
51,31.522717735,25.28779,13.044464259331862,182730752,180961280,55.1,1700000.0,0
52,32.141546336,25.481271,14.543618794067363,182730752,180961280,55.65,1700000.0,0
53,32.759055771,25.136975,16.19406123483033,182730752,180961280,55.1,1900000.0,0
54,33.370147226,19.368124,13.09133691581688,182730752,180961280,56.2,2400000.0,0
55,33.989236328,21.272698,11.306939696881372,182747136,180961280,56.2,2400000.0,0
56,34.605392375,19.580032,11.360750917334864,182763520,180961280,56.2,2400000.0,0
57,35.232274512,29.730326,14.356489660464607,182763520,180961280,56.75,2400000.0,0
58,35.839534672,19.69681,13.174217397185512,182779904,180961280,56.75,2400000.0,0
59,36.458174385,21.138661,12.931530507274612,182779904,180961280,56.2,2400000.0,0
60,37.075190858,19.24155,11.344926130979957,182779904,180961280,55.65,2400000.0,0
61,37.692969072,20.417865,12.949655983412827,182779904,180961280,56.2,2400000.0,0
62,38.318688043,28.623529,14.383405416400036,182779904,180961280,56.75,1700000.0,0
63,38.935964572,27.7059,16.2002146949505,182779904,180961280,55.1,1700000.0,0
64,39.550817269,26.095105,14.637009578566815,182779904,180961280,56.75,1700000.0,0
65,40.169492835,27.16529,14.547873830388408,182796288,180961280,55.65,1700000.0,0
66,40.786936123,26.880252,12.956672246670824,182812672,180961280,56.2,1800000.0,0
67,41.42654811,44.431877,15.634393607845587,182812672,180961280,57.85,2400000.0,0
68,42.015206221,19.800495,15.289025340369962,182812672,180961280,56.2,2400000.0,0
69,42.631063048,19.542199,11.366335591554146,182812672,180961280,56.75,2400000.0,0
70,43.251247207,20.569699,11.2869312401192,182829056,180961280,57.3,2400000.0,0
71,43.867696996,19.489754,11.355335060675854,182829056,180961280,56.75,2400000.0,0
72,44.486725008,20.971903,12.923538064723465,182829056,180961280,56.2,2400000.0,0
73,45.101873816,18.822125,13.004983319411238,182829056,180961280,57.3,2400000.0,0
74,45.719807847,19.792477,11.328069058811261,182829056,180961280,57.3,2400000.0,0
75,46.343848005,26.167289,14.422115379391153,182829056,180961280,56.75,1700000.0,0
76,46.960746203,25.296235,12.968099350955681,182829056,180961280,56.2,1700000.0,0
77,47.578320697,26.198753,14.573148143201399,182845440,180961280,55.65,1700000.0,0
78,48.191782599,21.051069,19.561134057749197,182861824,180961280,58.4,2400000.0,0
79,48.811541463,22.896568,11.294730276254159,182861824,180961280,57.3,2400000.0,0
80,49.42414807,18.873736,11.42653632982511,182861824,180961280,57.3,2400000.0,0
81,50.045522656,22.434865,12.874718521634994,182878208,180961280,56.75,2400000.0,0
82,50.659511281,20.502273,11.400854768656803,182878208,180961280,57.3,2400000.0,0
83,51.279838534,22.471346,12.896454523019855,182878208,180961280,55.65,2400000.0,0
84,51.896176196,22.487458,12.97984653137368,182878208,180961280,57.85,2400000.0,0
85,52.511592006,20.148347,12.999379385265486,182878208,180961280,56.75,2400000.0,0
86,53.155446032,46.015285,15.531378790048336,182878208,180961280,57.3,1900000.0,0
87,53.75602492,27.630234,16.650687667760234,182878208,180961280,57.85,2400000.0,0
88,54.370878064,25.953642,16.263928719268446,182878208,180961280,57.3,2400000.0,0
89,54.998426594,34.724695,19.12213658731289,182878208,180961280,58.4,2400000.0,0
90,55.601923112,21.744125,18.227181388319345,182878208,180961280,57.85,2400000.0,0
91,56.247499341,46.476748,21.685980957706324,182878208,180961280,60.6,2400000.0,0
92,56.831786771,16.640329,20.5379352831558,182878208,180961280,59.5,2400000.0,0
93,57.447843508,15.314866,8.116138263550473,182878208,180961280,57.85,2400000.0,0
94,58.064777764,15.372256,4.862755659055013,182878208,180961280,58.4,2400000.0,0
95,58.689410777,23.036254,8.004690697523193,182878208,180961280,55.65,1600000.0,0
96,59.311929494,26.91466,9.638251800261605,182878208,180961280,56.75,1600000.0,0
97,59.923614011,22.574476,9.808971522067125,182878208,180961280,56.2,1600000.0,0
98,60.543375303,24.308234,8.067604902654505,182878208,180961280,55.65,1500000.0,0
99,61.157308838,21.15968,9.773086458846404,182878208,180961280,56.2,1700000.0,0
100,61.776626316,22.171254,8.073398599364777,182878208,180961280,55.1,1600000.0,0
101,62.394026906,22.579291,9.718166325264871,182878208,180961280,54.55,1600000.0,0
102,63.011324996,22.646847,9.719779706825673,182878208,180961280,55.1,1600000.0,0
103,63.631307104,24.102439,8.064743073501036,182878208,180961280,55.1,1500000.0,0
104,64.246762194,22.766531,9.748880900361588,182878208,180961280,55.1,1600000.0,0
105,64.865048784,22.742809,8.086863968912732,182878208,180961280,55.1,1600000.0,0
106,65.479778912,21.183309,9.760376160739261,182878208,180961280,55.65,1700000.0,0
107,66.100961576,25.096679,8.049169621176526,182878208,180961280,54.55,1500000.0,0
108,66.716114001,22.539958,8.12807512005757,182878208,180961280,54.0,1600000.0,0
109,67.334333461,22.262161,8.08773481557853,182878208,180961280,54.0,1600000.0,0
110,67.950899293,22.610309,9.731323005066812,182878208,180961280,54.55,1600000.0,0
111,68.568635403,22.366643,8.09406261687492,182878208,180961280,52.9,1600000.0,0
112,69.18616679,22.233624,9.716118435169205,182878208,180961280,54.0,1600000.0,0
113,69.803782567,22.737828,8.095633799796161,182878208,180961280,54.55,1600000.0,0
114,70.420412695,22.449772,9.730319697430792,182878208,180961280,53.45,1600000.0,0
115,71.041629805,24.921124,8.048694744849659,182878208,180961280,53.45,1500000.0,0
116,71.657780748,23.405346,8.114920992219307,182878208,180961280,52.35,1600000.0,0
117,72.274064415,22.495365,9.73577644683585,182878208,180961280,53.45,1600000.0,0
118,72.891494432,22.913772,8.09807186123696,182878208,180961280,53.45,1600000.0,0
119,73.513354283,26.929401,11.256559655588484,182878208,180961280,53.45,1500000.0,0
120,74.125489932,22.519291,6.53450547659023,182878208,180961280,52.9,1600000.0,0
121,74.744636431,23.434994,9.690749934813288,182878208,180961280,53.45,1500000.0,0
122,75.361005098,22.789698,8.112025988667806,182878208,180961280,53.45,1600000.0,0
123,75.980136098,23.638976,9.691014003051132,182878208,180961280,53.45,1600000.0,0
124,76.592968099,19.117236,8.15884015104607,182878208,180961280,52.35,2400000.0,0
125,77.206962007,15.540366,6.514730661081461,182878208,180961280,53.45,2400000.0,0
126,77.823433008,15.484459,6.488548399853411,182878208,180961280,52.9,2400000.0,0
127,78.441183694,15.537923,6.475102360527446,182878208,180961280,53.45,2400000.0,0
128,79.058161528,15.871496,8.104017147680246,182878208,180961280,54.55,2400000.0,0
129,79.675396232,15.54307,8.100644073939366,182878208,180961280,54.0,2400000.0,0
130,80.293739344,15.390533,6.468905037619524,182878208,180961280,54.55,2400000.0,0
131,80.910993845,16.053829,6.48030100765962,182878208,180961280,53.45,2400000.0,0
132,81.53854927,25.31905,7.967414346139109,182878208,180961280,53.45,1500000.0,0
133,82.165755417,35.215473,11.160600295281528,182878208,180961280,55.1,2400000.0,0
134,82.768467015,20.830458,16.59168084161895,182878208,180961280,55.1,2400000.0,0
135,83.394978866,27.498049,11.172937661218631,182878208,180961280,55.65,2400000.0,0
136,84.012159719,28.816826,17.82304785847466,182878208,180961280,55.1,2400000.0,0
137,84.616853558,16.338478,14.883592274462806,182878208,180961280,55.65,2400000.0,0
138,85.232475875,15.400367,8.121856448641767,182878208,180961280,55.1,2400000.0,0
139,85.853451728,17.304681,9.662221553060455,182878208,180961280,54.0,2400000.0,0
140,86.468373712,15.591811,8.131103955699611,182878208,180961280,54.0,2400000.0,0
141,87.090530769,19.782662,6.429236918900941,182878208,180961280,53.45,1700000.0,0
142,87.710679678,22.26005,9.675097066243929,182878208,180961280,54.55,1600000.0,0
143,88.345697677,38.975584,12.598020730934682,182878208,180961280,54.55,1900000.0,0
144,88.958218458,34.420918,17.95854883511802,182878208,180961280,56.75,2400000.0,0
145,89.626658357,84.305184,28.4243379228412,182878208,180961280,57.3,2400000.0,0
146,90.179928467,22.524957,14.459592329445725,182878208,180961280,57.3,2400000.0,0
147,90.80152184,25.298624,12.87015739012781,182878208,180961280,56.75,2400000.0,0
148,91.416775436,23.545735,16.253461444806003,182878208,180961280,57.3,2400000.0,0
