sample_index,window_index,host_monotonic_ns,host_utc_ns,x_g,y_g,z_g,gap,overrun,saturated,diagnostics_json
1,1,4986614787963,1789812776938655035,-0.5889,-0.6747,0.046799999999999994,0,0,0,"{""sensor_sample_index"":0}"
2,1,4986620706481,1789812776944540053,-0.6279,-0.7098,0.0624,0,0,0,"{""sensor_sample_index"":1}"
3,1,4986624516351,1789812776948329534,-0.6356999999999999,-0.6902999999999999,0.10919999999999999,0,0,0,"{""sensor_sample_index"":2}"
4,1,4986630422869,1789812776954284959,-0.6317999999999999,-0.6941999999999999,0.1248,0,0,0,"{""sensor_sample_index"":3}"
5,1,4986634385461,1789812776958203477,-0.6162,-0.702,0.09749999999999999,0,0,0,"{""sensor_sample_index"":4}"
6,1,4986640044682,1789812776963860846,-0.6279,-0.7137,0.058499999999999996,0,0,0,"{""sensor_sample_index"":5}"
7,1,4986643780441,1789812776967587846,-0.624,-0.7137,0.0624,0,0,0,"{""sensor_sample_index"":6}"
8,1,4986649419625,1789812776973231530,-0.6356999999999999,-0.6941999999999999,0.11309999999999999,0,0,0,"{""sensor_sample_index"":7}"
9,1,4986653140773,1789812776976949474,-0.6435,-0.6980999999999999,0.09749999999999999,0,0,0,"{""sensor_sample_index"":8}"
10,1,4986658873180,1789812776982737548,-0.5928,-0.7293,0.1248,0,0,0,"{""sensor_sample_index"":9}"
11,1,4986662908642,1789812776986737714,-0.6123,-0.7137,0.0897,0,0,0,"{""sensor_sample_index"":10}"
12,1,4986668649308,1789812776992470769,-0.6279,-0.7176,0.0663,0,0,0,"{""sensor_sample_index"":11}"
13,1,4986672414623,1789812776996224546,-0.6474,-0.7098,0.0897,0,0,0,"{""sensor_sample_index"":12}"
14,1,4986678149011,1789812777002005916,-0.6162,-0.7214999999999999,0.1209,0,0,0,"{""sensor_sample_index"":13}"
15,1,4986682513992,1789812777006384785,-0.624,-0.7059,0.1638,0,0,0,"{""sensor_sample_index"":14}"
16,1,4986686608269,1789812777010458044,-0.6123,-0.7137,0.11699999999999999,0,0,0,"{""sensor_sample_index"":15}"
17,1,4986692535824,1789812777016356432,-0.6317999999999999,-0.7253999999999999,0.039,0,0,0,"{""sensor_sample_index"":16}"
18,1,4986696335120,1789812777020150099,-0.6279,-0.7098,0.058499999999999996,0,0,0,"{""sensor_sample_index"":17}"
19,1,4986701993100,1789812777025808024,-0.6356999999999999,-0.7059,0.1209,0,0,0,"{""sensor_sample_index"":18}"
20,1,4986707735100,1789812777031580634,-0.624,-0.702,0.1677,0,0,0,"{""sensor_sample_index"":19}"
