window,window_start_ns,window_complete_ns,decision_ns,elapsed_s,score,threshold,prediction,error,processing_ms,window_to_decision_ms,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes,temperature_c,cpu_frequency_khz,windows_dropped
1,5753524208746,5754136151688,5754137671559,0.627673766,0.1772631617783785,0.47720259914362284,0,,0.673093,1.519871,17.588040526430582,50954240,143179776,60.05,2400000.0,0
2,5754140522875,5754752033335,5754753090965,1.243093172,0.1743868696641536,0.47720259914362284,0,,0.430426,1.05763,11.374621515148956,50970624,143179776,58.4,2400000.0,0
3,5754758348987,5755370038965,5755371064910,1.861067117,0.17094346373319347,0.47720259914362284,0,,0.466093,1.025945,9.709199585225909,51003392,143179776,57.85,2400000.0,0
4,5755374444875,5755988114410,5755988791503,2.47879371,0.17576147296365482,0.47720259914362284,0,,0.242481,0.677093,8.094269803178186,51019776,143179776,57.85,2400000.0,0
5,5755992420246,5756605016096,5756605904948,3.095907155,0.1901377779069827,0.47720259914362284,0,,0.425833,0.888852,9.722633379333423,51019776,143179776,58.95,2400000.0,0
6,5756611302211,5757223419097,5757224478857,3.714481064,0.16332527396198313,0.47720259914362284,0,,0.441537,1.05976,8.083106047438251,51052544,143179776,58.95,2400000.0,0
7,5757227799822,5757841946025,5757843054451,4.333056658,0.18484211652700852,0.47720259914362284,0,,0.466296,1.108426,11.316331178382834,51052544,143179776,58.95,2400000.0,0
8,5757846390064,5758459367341,5758460198063,4.95020027,0.18795872637856773,0.47720259914362284,0,,0.350556,0.830722,11.342588937745251,51068928,143179776,57.85,1700000.0,0
9,5758463678880,5759077126694,5759078103768,5.568105975,0.17950212668173685,0.47720259914362284,0,,0.422241,0.977074,9.710188610249748,51068928,143179776,58.95,2400000.0,0
10,5759081430696,5759693866398,5759694905955,6.184908162,0.18817866925612978,0.47720259914362284,0,,0.42526,1.039557,9.727615624407404,51085312,143179776,58.4,2400000.0,0
11,5759700158180,5760312799956,5760313888124,6.803890331,0.18012114639565088,0.47720259914362284,0,,0.450667,1.088168,9.693337769753262,51085312,143179776,57.3,2400000.0,0
12,5760317229811,5760930344829,5760931530033,7.42153224,0.1780964806057952,0.47720259914362284,0,,0.451537,1.185204,9.71432592789318,51101696,143179776,58.4,2400000.0,0
13,5760934886776,5761547685923,5761549165646,8.039167853,0.17873270005142317,0.47720259914362284,0,,0.386389,1.479723,9.714547289115051,51101696,143179776,59.5,2400000.0,0
14,5761552655556,5762165503907,5762166609926,8.656612133,0.18328960297864091,0.47720259914362284,0,,0.461038,1.106019,9.717409598637072,51101696,143179776,58.4,2400000.0,0
15,5762170430928,5762782178575,5762783034224,9.273036431,0.1697355670071495,0.47720259914362284,0,,0.401797,0.855649,11.355861617222676,51101696,143179776,58.95,2400000.0,0
16,5762788267375,5763400944911,5763402106949,9.892109156,0.15617562245059938,0.47720259914362284,0,,0.444982,1.162038,8.076560482221844,51118080,143179776,57.3,2400000.0,0
17,5763405452784,5764018727173,5764019530285,10.509532492,0.18530175089422585,0.47720259914362284,0,,0.270537,0.803112,9.717854060326358,51118080,143179776,57.3,1700000.0,0
