sample_index,window_index,host_monotonic_ns,host_utc_ns,x_g,y_g,z_g,gap,overrun,saturated,diagnostics_json
1,1,5753524208746,1789813543848121133,-0.6006,-0.6747,0.09749999999999999,0,0,0,"{""sensor_sample_index"":0}"
2,1,5753526849952,1789813543850765134,-0.6162,-0.7098,0.12869999999999998,0,0,0,"{""sensor_sample_index"":1}"
3,1,5753532141936,1789813543856025786,-0.6201,-0.7214999999999999,0.156,0,0,0,"{""sensor_sample_index"":2}"
4,1,5753536056272,1789813543859902881,-0.5928,-0.7137,0.0858,0,0,0,"{""sensor_sample_index"":3}"
5,1,5753541783664,1789813543865652606,-0.6396,-0.7059,0.054599999999999996,0,0,0,"{""sensor_sample_index"":4}"
6,1,5753546342426,1789813543870212516,-0.624,-0.7137,0.0741,0,0,0,"{""sensor_sample_index"":5}"
7,1,5753551025170,1789813543874894408,-0.624,-0.7214999999999999,0.12869999999999998,0,0,0,"{""sensor_sample_index"":6}"
8,1,5753555690117,1789813543879557281,-0.624,-0.6980999999999999,0.15209999999999999,0,0,0,"{""sensor_sample_index"":7}"
9,1,5753560350101,1789813543884222469,-0.6201,-0.7098,0.11309999999999999,0,0,0,"{""sensor_sample_index"":8}"
10,1,5753566956642,1789813543890828418,-0.6356999999999999,-0.7176,0.0663,0,0,0,"{""sensor_sample_index"":9}"
11,1,5753571716090,1789813543895579217,-0.6279,-0.7293,0.0741,0,0,0,"{""sensor_sample_index"":10}"
12,1,5753576454722,1789813543900330035,-0.6317999999999999,-0.7059,0.13649999999999998,0,0,0,"{""sensor_sample_index"":11}"
13,1,5753581246225,1789813543905123667,-0.6317999999999999,-0.7137,0.1599,0,0,0,"{""sensor_sample_index"":12}"
14,1,5753586092265,1789813543909965114,-0.6279,-0.6980999999999999,0.09359999999999999,0,0,0,"{""sensor_sample_index"":13}"
15,1,5753590770138,1789813543914644969,-0.624,-0.7332,0.0663,0,0,0,"{""sensor_sample_index"":14}"
16,1,5753594334918,1789813543918202916,-0.6201,-0.7098,0.050699999999999995,0,0,0,"{""sensor_sample_index"":15}"
17,1,5753599173069,1789813543923028493,-0.624,-0.7137,0.11699999999999999,0,0,0,"{""sensor_sample_index"":16}"
18,1,5753603602831,1789813543927465273,-0.6435,-0.6941999999999999,0.1248,0,0,0,"{""sensor_sample_index"":17}"
19,1,5753610105224,1789813543933972981,-0.5928,-0.7293,0.1248,0,0,0,"{""sensor_sample_index"":18}"
20,1,5753614671838,1789813543938542335,-0.6201,-0.7098,0.0897,0,0,0,"{""sensor_sample_index"":19}"
21,1,5753619154766,1789813543943002449,-0.6162,-0.7059,0.0741,0,0,0,"{""sensor_sample_index"":20}"
22,1,5753623597417,1789813543947464118,-0.6396,-0.7059,0.10139999999999999,0,0,0,"{""sensor_sample_index"":21}"
23,1,5753628099401,1789813543951963899,-0.6356999999999999,-0.7176,0.1326,0,0,0,"{""sensor_sample_index"":22}"
24,1,5753632574108,1789813543956433939,-0.624,-0.7137,0.1482,0,0,0,"{""sensor_sample_index"":23}"
25,1,5753637114462,1789813543960980349,-0.6006,-0.7098,0.0858,0,0,0,"{""sensor_sample_index"":24}"
26,1,5753643818559,1789813543967685871,-0.6356999999999999,-0.7059,0.050699999999999995,0,0,0,"{""sensor_sample_index"":25}"
27,1,5753648614951,1789813543972482448,-0.6279,-0.7137,0.046799999999999994,0,0,0,"{""sensor_sample_index"":26}"
28,1,5753654193417,1789813543978062970,-0.6279,-0.7098,0.1326,0,0,0,"{""sensor_sample_index"":27}"
29,1,5753656682178,1789813543980553231,-0.6201,-0.7059,0.1716,0,0,0,"{""sensor_sample_index"":28}"
30,1,5753661598181,1789813543985466863,-0.6396,-0.7098,0.0819,0,0,0,"{""sensor_sample_index"":29}"
31,1,5753666388665,1789813543990259681,-0.6201,-0.7253999999999999,0.054599999999999996,0,0,0,"{""sensor_sample_index"":30}"
32,1,5753671103705,1789813543994971628,-0.6279,-0.7176,0.054599999999999996,0,0,0,"{""sensor_sample_index"":31}"
33,1,5753675843059,1789813543999705779,-0.6317999999999999,-0.6941999999999999,0.10919999999999999,0,0,0,"{""sensor_sample_index"":32}"
34,1,5753680703007,1789813544004575486,-0.624,-0.7098,0.15209999999999999,0,0,0,"{""sensor_sample_index"":33}"
35,1,5753685544010,1789813544009412915,-0.6279,-0.6980999999999999,0.09749999999999999,0,0,0,"{""sensor_sample_index"":34}"
36,1,5753690903217,1789813544014784288,-0.6083999999999999,-0.7137,0.0741,0,0,0,"{""sensor_sample_index"":35}"
37,1,5753695630794,1789813544019494384,-0.6279,-0.7059,0.050699999999999995,0,0,0,"{""sensor_sample_index"":36}"
38,1,5753700254982,1789813544024091479,-0.6279,-0.702,0.09749999999999999,0,0,0,"{""sensor_sample_index"":37}"
39,1,5753705061540,1789813544028927038,-0.6435,-0.7098,0.1326,0,0,0,"{""sensor_sample_index"":38}"
40,1,5753709902173,1789813544033779892,-0.5967,-0.7214999999999999,0.12869999999999998,0,0,0,"{""sensor_sample_index"":39}"
41,1,5753714739398,1789813544038609414,-0.624,-0.7137,0.0858,0,0,0,"{""sensor_sample_index"":40}"
42,1,5753719361363,1789813544043234546,-0.6279,-0.7214999999999999,0.0663,0,0,0,"{""sensor_sample_index"":41}"
43,1,5753724286200,1789813544048155568,-0.6474,-0.7098,0.0858,0,0,0,"{""sensor_sample_index"":42}"
44,1,5753729036332,1789813544052893033,-0.6279,-0.7098,0.1209,0,0,0,"{""sensor_sample_index"":43}"
45,1,5753733662224,1789813544057536444,-0.6317999999999999,-0.7137,0.14429999999999998,0,0,0,"{""sensor_sample_index"":44}"
46,1,5753738451671,1789813544062322224,-0.6162,-0.7137,0.11309999999999999,0,0,0,"{""sensor_sample_index"":45}"
47,1,5753743296007,1789813544067164949,-0.6317999999999999,-0.702,0.046799999999999994,0,0,0,"{""sensor_sample_index"":46}"
48,1,5753748324029,1789813544072193008,-0.6162,-0.7253999999999999,0.078,0,0,0,"{""sensor_sample_index"":47}"
49,1,5753753232421,1789813544077109233,-0.6279,-0.7098,0.12869999999999998,0,0,0,"{""sensor_sample_index"":48}"
50,1,5753758101720,1789813544081976458,-0.6162,-0.702,0.156,0,0,0,"{""sensor_sample_index"":49}"
51,1,5753763057149,1789813544086920609,-0.6356999999999999,-0.6980999999999999,0.10139999999999999,0,0,0,"{""sensor_sample_index"":50}"
52,1,5753768128763,1789813544092000464,-0.6162,-0.7253999999999999,0.0351,0,0,0,"{""sensor_sample_index"":51}"
53,1,5753773962655,1789813544097823449,-0.6279,-0.7176,0.0624,0,0,0,"{""sensor_sample_index"":52}"
54,1,5753778057658,1789813544101900952,-0.6356999999999999,-0.6980999999999999,0.10919999999999999,0,0,0,"{""sensor_sample_index"":53}"
55,1,5753782134568,1789813544105991417,-0.6474,-0.6980999999999999,0.13649999999999998,0,0,0,"{""sensor_sample_index"":54}"
56,1,5753788527460,1789813544112385310,-0.6162,-0.7332,0.11309999999999999,0,0,0,"{""sensor_sample_index"":55}"
57,1,5753793952093,1789813544117829221,-0.6162,-0.7098,0.058499999999999996,0,0,0,"{""sensor_sample_index"":56}"
58,1,5753796976928,1789813544120825482,-0.624,-0.7137,0.0429,0,0,0,"{""sensor_sample_index"":57}"
59,1,5753802860043,1789813544126782967,-0.624,-0.7098,0.10139999999999999,0,0,0,"{""sensor_sample_index"":58}"
