window,window_start_ns,window_complete_ns,decision_ns,elapsed_s,score,threshold,prediction,error,processing_ms,window_to_decision_ms,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes,temperature_c,cpu_frequency_khz,windows_dropped
1,6413252514812,6413864940514,6413887731602,0.647312484,0.37109488370401783,0.4833547401595273,0,,22.111123,22.791088,10.836219913986218,175177728,173932544,56.2,2400000.0,0
2,6413874596110,6414483288118,6414502341309,1.261922191,0.37491415597115185,0.4833547401595273,0,,18.417968,19.053191,14.643310148744838,175210496,173932544,56.2,2400000.0,0
3,6414491233839,6415101612554,6415122709193,1.882290075,0.37691059390220394,0.4833547401595273,0,,20.447619,21.096639,12.895810029300673,175210496,173932544,55.1,2400000.0,0
4,6415105797248,6415718173041,6415737739140,2.497320022,0.3770400689842345,0.4833547401595273,0,,19.078135,19.566099,11.381518151341991,175210496,173932544,56.2,2400000.0,0
5,6415723553034,6416335742306,6416358273745,3.117854627,0.3747581696728141,0.4833547401595273,0,,21.637881,22.531439,11.280590651341695,175210496,173932544,55.65,2400000.0,0
6,6416343969695,6416953424831,6416972415799,3.731996681,0.3713402987369036,0.4833547401595273,0,,18.290226,18.990968,13.026306141643454,175226880,173932544,54.55,2400000.0,0
7,6416961120903,6417571408855,6417591823234,4.351404116,0.3761719481853799,0.4833547401595273,0,,19.664099,20.414379,11.301064844302456,175226880,173932544,56.2,2400000.0,0
8,6417575240956,6418188991507,6418208642477,4.968223359,0.37953278219140724,0.4833547401595273,0,,19.308339,19.65097,11.34864024094228,175226880,173932544,56.2,2400000.0,0
9,6418192913497,6418806983345,6418827185223,5.586766105,0.3696696229294229,0.4833547401595273,0,,19.708099,20.201878,12.93366502017747,175226880,173932544,56.2,2400000.0,0
10,6418812361801,6419424253124,6419447206767,6.206787649,0.38369264806009756,0.4833547401595273,0,,22.226271,22.953643,12.902741599859946,175226880,173932544,56.2,2400000.0,0
11,6419430412304,6420040771438,6420059429183,6.819010065,0.37619857418850633,0.4833547401595273,0,,17.892929,18.657745,11.433825481399404,175226880,173932544,56.2,2400000.0,0
12,6420046674673,6420658925329,6420686100667,7.445681549,0.3709210390818697,0.4833547401595273,0,,26.666634,27.175338,14.36143852650845,175226880,173932544,55.65,1700000.0,0
13,6420663682561,6421277459015,6421303514110,8.063094992,0.3743414811469596,0.4833547401595273,0,,25.438112,26.055095,12.95729778041411,175226880,173932544,56.2,1700000.0,0
14,6421283358102,6421894930773,6421923519374,8.683100256,0.37451028472618286,0.4833547401595273,0,,27.837747,28.588601,14.515808092434716,175226880,173932544,55.65,1700000.0,0
