sample_index,window_index,host_monotonic_ns,host_utc_ns,x_g,y_g,z_g,gap,overrun,saturated,diagnostics_json
1,1,6589093043189,1789814379416916427,-0.5811,-0.6747,0.1248,0,0,0,"{""sensor_sample_index"":0}"
2,1,6589099425608,1789814379423305754,-0.6201,-0.7137,0.10529999999999999,0,0,0,"{""sensor_sample_index"":1}"
3,1,6589103432782,1789814379427252910,-0.6356999999999999,-0.7293,0.0741,0,0,0,"{""sensor_sample_index"":2}"
4,1,6589107354382,1789814379431213510,-0.6356999999999999,-0.7137,0.0663,0,0,0,"{""sensor_sample_index"":3}"
5,1,6589113197653,1789814379437013761,-0.6162,-0.7253999999999999,0.1482,0,0,0,"{""sensor_sample_index"":4}"
6,1,6589117099012,1789814379440960361,-0.6396,-0.702,0.1482,0,0,0,"{""sensor_sample_index"":5}"
7,1,6589122983671,1789814379446817724,-0.6162,-0.7098,0.09749999999999999,0,0,0,"{""sensor_sample_index"":6}"
8,1,6589126954197,1789814379450821732,-0.6435,-0.7059,0.046799999999999994,0,0,0,"{""sensor_sample_index"":7}"
9,1,6589132950801,1789814379456783780,-0.6279,-0.7293,0.0663,0,0,0,"{""sensor_sample_index"":8}"
10,1,6589136925161,1789814379460758510,-0.6435,-0.6980999999999999,0.1209,0,0,0,"{""sensor_sample_index"":9}"
11,1,6589140929261,1789814379464770869,-0.6123,-0.702,0.15209999999999999,0,0,0,"{""sensor_sample_index"":10}"
12,1,6589146788050,1789814379470654010,-0.6356999999999999,-0.6825,0.078,0,0,0,"{""sensor_sample_index"":11}"
13,1,6589150778150,1789814379474597166,-0.6123,-0.7332,0.0663,0,0,0,"{""sensor_sample_index"":12}"
14,1,6589156470753,1789814379480285973,-0.6317999999999999,-0.7059,0.0741,0,0,0,"{""sensor_sample_index"":13}"
15,1,6589160225538,1789814379484043424,-0.6279,-0.702,0.12869999999999998,0,0,0,"{""sensor_sample_index"":14}"
16,1,6589166008975,1789814379489851269,-0.6474,-0.7059,0.14429999999999998,0,0,0,"{""sensor_sample_index"":15}"
17,1,6589169874723,1789814379493690924,-0.6162,-0.7214999999999999,0.10919999999999999,0,0,0,"{""sensor_sample_index"":16}"
18,1,6589175540715,1789814379499373861,-0.6162,-0.7214999999999999,0.078,0,0,0,"{""sensor_sample_index"":17}"
19,1,6589179481685,1789814379503322739,-0.6279,-0.7098,0.058499999999999996,0,0,0,"{""sensor_sample_index"":18}"
20,1,6589185250937,1789814379509072250,-0.624,-0.7176,0.10529999999999999,0,0,0,"{""sensor_sample_index"":19}"
21,1,6589190959078,1789814379514786094,-0.6396,-0.7059,0.13649999999999998,0,0,0,"{""sensor_sample_index"":20}"
22,1,6589194880715,1789814379518710305,-0.6123,-0.7214999999999999,0.1599,0,0,0,"{""sensor_sample_index"":21}"
23,1,6589200588003,1789814379524403408,-0.6123,-0.7098,0.10139999999999999,0,0,0,"{""sensor_sample_index"":22}"
24,1,6589204303714,1789814379528111693,-0.6435,-0.6980999999999999,0.046799999999999994,0,0,0,"{""sensor_sample_index"":23}"
25,1,6589210135818,1789814379533986297,-0.6279,-0.7098,0.078,0,0,0,"{""sensor_sample_index"":24}"
26,1,6589214036825,1789814379537853008,-0.6317999999999999,-0.7098,0.1248,0,0,0,"{""sensor_sample_index"":25}"
27,1,6589219681632,1789814379543492759,-0.624,-0.6980999999999999,0.1677,0,0,0,"{""sensor_sample_index"":26}"
28,1,6589223404287,1789814379547212562,-0.624,-0.7176,0.0897,0,0,0,"{""sensor_sample_index"":27}"
29,1,6589229087372,1789814379552903055,-0.6279,-0.702,0.0312,0,0,0,"{""sensor_sample_index"":28}"
30,1,6589232821416,1789814379556630228,-0.6279,-0.7137,0.0702,0,0,0,"{""sensor_sample_index"":29}"
31,1,6589238612001,1789814379562459517,-0.6317999999999999,-0.6980999999999999,0.11699999999999999,0,0,0,"{""sensor_sample_index"":30}"
32,1,6589242511194,1789814379566330913,-0.6279,-0.702,0.15209999999999999,0,0,0,"{""sensor_sample_index"":31}"
33,1,6589248328186,1789814379572182276,-0.6396,-0.7098,0.11699999999999999,0,0,0,"{""sensor_sample_index"":32}"
