name,phase,pwm_percent,start_s,end_s,xyz_points,host_rate_xyz_per_s,mean_x_g,mean_y_g,mean_z_g,std_x_g,std_y_g,std_z_g,ac_rms_x_g,ac_rms_y_g,ac_rms_z_g,min_x_g,min_y_g,min_z_g,max_x_g,max_y_g,max_z_g,vector_ac_rms_g,magnitude_ac_rms_g,mean_vector_norm_g
PRE_1,standstill_before,0.0,0,5,1034,206.60524442620348,-0.15346914893617006,0.014211992263055964,-1.0921848162475858,0.006658011408079742,0.005845634461641252,0.009413936313775058,0.006658011408079742,0.005845634461641252,0.009413936313775058,-0.1716,-0.0039,-1.1193,-0.1326,0.039,-1.0295999999999998,0.012927596647832894,0.009204571835329658,1.1030060893943652
PRE_1,standstill_before,0.0,5,10,1033,206.7166496802501,-0.1535875121006778,0.014573088092933045,-1.0927701839303021,0.006563433045723128,0.005707478140737199,0.009417737876147653,0.006563433045723128,0.005707478140737199,0.009417737876147653,-0.1794,-0.0039,-1.1232,-0.1326,0.039,-1.0491,0.012819818515739998,0.009177888051935815,1.1036068927190092
PRE_1,standstill_before,0.0,10,15,1034,206.67640483603955,-0.15347292069632512,0.014340232108317075,-1.0921584139265024,0.0065357018168945855,0.0057557158827813565,0.009314671555585446,0.0065357018168945855,0.0057557158827813565,0.009314671555585446,-0.1755,-0.011699999999999999,-1.1232,-0.12869999999999998,0.0351,-1.0569,0.012751735950492888,0.009141518595415031,1.102982130750283
PRE_1,standstill_before,0.0,15,20,1033,206.69151477742253,-0.15342139399806387,0.014312584704743319,-1.0922000968054248,0.006596651824079721,0.005855262681019129,0.0087823113822187,0.006596651824079721,0.005855262681019129,0.0087823113822187,-0.1755,-0.0039,-1.1232,-0.12869999999999998,0.039,-1.0647,0.012447044210017013,0.00858693724475884,1.1030158773467493
PRE_1,standstill_before,0.0,20,25,1034,206.74693417778306,-0.1533484526112186,0.014117698259187468,-1.0923620889748578,0.006630866988962869,0.005918906052692203,0.009771540896753085,0.006630866988962869,0.005918906052692203,0.009771540896753085,-0.1716,-0.011699999999999999,-1.1271,-0.12869999999999998,0.0351,-1.0569,0.013209271644675651,0.00953825264852007,1.1031636282763801
PRE_1,standstill_before,0.0,25,30,1032,206.68830877695294,-0.153630523255814,0.014315116279069628,-1.0929372093023269,0.00649023629524104,0.005655266478245538,0.009038030714085326,0.00649023629524104,0.005655266478245538,0.009038030714085326,-0.1794,-0.0039,-1.1271,-0.1326,0.0351,-1.0608,0.012481634720531662,0.008798508137433976,1.1037748881486191
PRE_2,standstill_before,0.0,0,5,1034,206.61446731029264,-0.15382369439071555,0.014159187620889597,-1.0921433268858827,0.006437232237951798,0.005666549658010066,0.009338573472561519,0.006437232237951798,0.005666549658010066,0.009338573472561519,-0.1755,0.0,-1.1232,-0.12869999999999998,0.039,-1.0257,0.012678986490033406,0.009126591801198842,1.1030137161483786
PRE_2,standstill_before,0.0,5,10,1033,206.6772770361435,-0.15387066795740562,0.01406718296224575,-1.0916790900290443,0.006575023970458956,0.005802209204924969,0.009276192781078864,0.006575023970458956,0.005802209204924969,0.009276192781078864,-0.1716,-0.0156,-1.1232,-0.1326,0.0351,-1.0569,0.012764964723083432,0.008996735070035417,1.1025594331829889
PRE_2,standstill_before,0.0,10,15,1034,206.64576674720288,-0.15348046421663458,0.01404980657640219,-1.092347001934239,0.006504780668451294,0.0059014885970275575,0.009015762883600202,0.006504780668451294,0.0059014885970275575,0.009015762883600202,-0.1794,-0.011699999999999999,-1.1349,-0.12869999999999998,0.039,-1.053,0.01258664846489356,0.008772381030002541,1.1031661808611195
PRE_2,standstill_before,0.0,15,20,1033,206.6978280066051,-0.15375740561471454,0.014244627299128591,-1.0922151984511144,0.006521474382309342,0.005676250405465488,0.00933934993956362,0.006521474382309342,0.005676250405465488,0.00933934993956362,-0.1755,-0.0039,-1.1232,-0.12869999999999998,0.039,-1.0608,0.012726857588512996,0.00909552359516347,1.103076737546335
PRE_2,standstill_before,0.0,20,25,1034,206.68821142831453,-0.15363133462282408,0.014151644100580132,-1.0927053191489384,0.0065992266089143345,0.005541233008490102,0.00921535179201328,0.0065992266089143345,0.005541233008490102,0.00921535179201328,-0.1794,-0.0039,-1.1193,-0.1326,0.0429,-1.053,0.012616567034686752,0.00895828983424468,1.1035432798513718
PRE_2,standstill_before,0.0,25,30,1032,206.70481329614384,-0.15389127906976743,0.014197965116278933,-1.092491279069769,0.006687339182419626,0.005602431100097656,0.009431610296369552,0.006687339182419626,0.005602431100097656,0.009431610296369552,-0.1755,-0.0039,-1.1349,-0.1326,0.0351,-1.0608,0.012847685097115766,0.009194747646804178,1.1033681628679848
PWM50_1,operating50,50.0,0,5,1035,206.9930311442005,-0.15435333333333343,0.015279710144927447,-1.0917663768115953,0.008683080109801882,0.006846854344057399,0.010199020977598318,0.008683080109801882,0.006846854344057399,0.010199020977598318,-0.1833,-0.0156,-1.1271,-0.1248,0.0429,-1.0257,0.015043115485279802,0.010081866290398428,1.1027294512207164
