block,start_since_first_xyz_s,end_since_first_xyz_s,start_since_command_completion_s,end_since_command_completion_s,center_since_command_completion_s,xyz_points,host_rate_xyz_per_s,mean_x_g,mean_y_g,mean_z_g,std_x_g,std_y_g,std_z_g,ac_rms_x_g,ac_rms_y_g,ac_rms_z_g,min_x_g,min_y_g,min_z_g,max_x_g,max_y_g,max_z_g,vector_ac_rms_g,magnitude_ac_rms_g,mean_vector_norm_g,gap_flagged_points,overrun_flagged_points,saturated_flagged_points,quality_flags_clear
1,0,5,0.029521897,5.029521897,2.529521897,1034,206.6501712311821,-0.15227727272727307,0.01443452611218554,-1.0936972920696333,0.007043746688866396,0.006180331426030915,0.011800250481629707,0.007043746688866396,0.006180331426030915,0.011800250481629707,-0.1794,-0.0156,-1.1582999999999999,-0.12869999999999998,0.0429,-1.0334999999999999,0.015068403212739646,0.011663844912822187,1.1043416545679097,0,0,0,True
2,5,10,5.029521897,10.029521897,7.529521897,1032,206.61048197010282,-0.15228895348837176,0.015751162790697625,-1.0932735465116297,0.024047214823452626,0.013708423349931319,0.012951320898026204,0.024047214823452626,0.013708423349931319,0.012951320898026204,-0.21839999999999998,-0.0351,-1.131,-0.0858,0.0702,-1.0491,0.030560204916032046,0.011473002795769556,1.1039416071450332,0,0,0,True
3,10,15,10.029521897,15.029521897,12.529521897,1034,206.69340640390118,-0.1524168278529981,0.015543423597678852,-1.0928901353965226,0.0234229889057704,0.011584251977933797,0.013015405965168625,0.0234229889057704,0.011584251977933797,0.013015405965168625,-0.2067,-0.0156,-1.1504999999999999,-0.09749999999999999,0.058499999999999996,-1.0413,0.029193014500154883,0.011987582880653706,1.1035766106061404,0,0,0,True
4,15,20,15.029521897,20.029521897,17.529521897,1033,206.68422863759054,-0.15200183930300065,0.01527531461761853,-1.092309583736689,0.023471417944277068,0.012117802722029199,0.012475026558257917,0.023471417944277068,0.012117802722029199,0.012475026558257917,-0.21059999999999998,-0.027299999999999998,-1.1465999999999998,-0.09749999999999999,0.0624,-1.0334999999999999,0.02921258103547496,0.011406481840035551,1.10294066980558,0,0,0,True
5,20,25,20.029521897,25.029521897,22.529521897,1034,206.67714092011474,-0.1519566731141196,0.015562282398452549,-1.0926411992263079,0.023734739349483586,0.011432866405633865,0.011810151393241914,0.023734739349483586,0.011432866405633865,0.011810151393241914,-0.2067,-0.0156,-1.1271,-0.09749999999999999,0.058499999999999996,-1.0491,0.028870884332979636,0.010664741010228075,1.1032668785856234,0,0,0,True
6,25,30,25.029521897,30.029521897,27.529521897,1034,206.75840994065678,-0.15244700193423583,0.015864023210831645,-1.092754352030949,0.023617068289889014,0.01126655505159424,0.012095215633239632,0.023617068289889014,0.01126655505159424,0.012095215633239632,-0.2145,-0.0156,-1.1271,-0.09359999999999999,0.0663,-1.0608,0.028826991146396943,0.01073840848449419,1.1034508731763957,0,0,0,True
7,30,35,30.029521897,35.029521897,32.529521897,1034,206.83289487379236,-0.15261673114119892,0.015335976789168232,-1.0915209864603492,0.02408670870659779,0.011322557621248893,0.011819707610670829,0.02408670870659779,0.011322557621248893,0.011819707610670829,-0.2067,-0.011699999999999999,-1.1193,-0.078,0.0624,-1.053,0.029121733042604937,0.010614405824207642,1.1022454911187782,0,0,0,True
8,35,40,35.029521897,40.029521897,37.529521897,1034,206.84811253208846,-0.15316363636363603,0.014513733075435152,-1.0917322050290157,0.023164046891716028,0.012457362678496817,0.01686248848663303,0.023164046891716028,0.012457362678496817,0.01686248848663303,-0.2067,-0.023399999999999997,-1.1465999999999998,-0.09359999999999999,0.054599999999999996,-1.0373999999999999,0.03124263867324677,0.016175812583461995,1.1025193673806524,0,0,0,True
9,40,45,40.029521897,45.029521897,42.529521897,1034,206.83943580027056,-0.1524658607350094,0.015592456479690455,-1.092105609284333,0.022896040911976202,0.012038335813923873,0.013235684119324074,0.022896040911976202,0.012038335813923873,0.013235684119324074,-0.2067,-0.027299999999999998,-1.1504999999999999,-0.09749999999999999,0.058499999999999996,-1.0413,0.029057418204620628,0.012263889135966094,1.102807156858824,0,0,0,True
10,45,50,45.029521897,50.029521897,47.529521897,1034,206.8435707979663,-0.15291470019342324,0.01597717601547384,-1.0926676015473897,0.023310841164986027,0.011792874834437176,0.012436632599608217,0.023310841164986027,0.011792874834437176,0.012436632599608217,-0.21059999999999998,-0.0195,-1.1388,-0.0897,0.0624,-1.0569,0.028933320637243583,0.011346752973042851,1.103431313295032,0,0,0,True
11,50,55,50.029521897,55.029521897,52.529521897,1034,206.86334593449848,-0.15307311411992228,0.015418955512572484,-1.0920113152804656,0.02324599032774753,0.011677203753341537,0.012283279415625906,0.02324599032774753,0.011677203753341537,0.012283279415625906,-0.2067,-0.0195,-1.131,-0.09359999999999999,0.054599999999999996,-1.0491,0.028768248243803845,0.011150456781822903,1.1027954638807878,0,0,0,True
12,55,60,55.029521897,60.029521897,57.529521897,1035,206.83933471901926,-0.15336985507246342,0.015686666666666623,-1.092248695652176,0.02292006693042007,0.011464950832190282,0.012143027093535166,0.02292006693042007,0.011464950832190282,0.012143027093535166,-0.2067,-0.0195,-1.131,-0.09749999999999999,0.058499999999999996,-1.0569,0.0283589081713984,0.010952062183503001,1.103075517410272,0,0,0,True
13,60,65,60.029521897,65.029521897,62.529521897,1034,206.86702026752837,-0.15302785299806532,0.014894680851063751,-1.0922791102514493,0.022395084382098012,0.012173928953905542,0.014713283935273935,0.022395084382098012,0.012173928953905542,0.014713283935273935,-0.2067,-0.0351,-1.1622,-0.09359999999999999,0.0624,-1.0295999999999998,0.029431701867476547,0.013806725472654425,1.1030471567446927,0,0,0,True
