phase,start_s,end_s,xyz_points,actual_first_s,actual_last_s,observed_xyz_s,axis_mean_x_g,axis_mean_y_g,axis_mean_z_g,vector_ac_rms_mg,gap_count,overrun_count,saturated_count
normal_before,0,5,1020,0.076800366,4.99607096,207.14453098857118,-0.6301941176470583,-0.7104041176470565,0.08913411764705863,31.068554497219722,0,0,0
normal_before,5,10,1036,5.001667234,9.997342137,207.17921403942086,-0.6301022200772198,-0.7097811776061751,0.09217702702702678,81.26399779096202,0,0,0
normal_before,10,15,1036,10.00104132,14.997275,207.15604318971725,-0.6302753861003851,-0.7097962355212328,0.09253465250965236,24.269552552915375,0,0,0
normal_before,15,20,1036,15.000909479,19.995644863,207.2181848342739,-0.6300419884169876,-0.7101162162162137,0.09264758687258655,24.516178864150987,0,0,0
normal_before,20,25,1036,20.001241581,24.996115834,207.21242369182022,-0.6303356177606169,-0.7097284749034724,0.09224478764478744,24.82728228199585,0,0,0
normal_before,25,30,1036,25.001726312,29.996038379,207.23574861066047,-0.6306217181467169,-0.709886583011581,0.09287345559845536,24.43912863761995,0,0,0
normal_before,30,35,1036,30.001570986,34.995648961,207.24546256208583,-0.6301210424710418,-0.7102893822393803,0.09330260617760587,24.862196408850963,0,0,0
normal_before,35,40,1037,35.001235438,39.999983241,207.25190404249727,-0.6296713596914171,-0.7096796528447422,0.09311485053037595,24.808967943353856,0,0,0
normal_before,40,45,1036,40.005598977,44.999923061,207.23524997421853,-0.6297709459459455,-0.7095854247104229,0.09285086872586858,24.647668497432186,0,0,0
normal_before,45,50,1036,45.003613651,49.998345141,207.21834638602365,-0.6300344594594585,-0.710142567567565,0.09258735521235496,25.280941455745868,0,0,0
normal_before,50,55,1036,50.00394984,54.999005217,207.2049100327722,-0.6299779922779919,-0.7101312741312714,0.09308803088803043,25.444098323638592,0,0,0
normal_before,55,60,1036,55.002691363,59.996978833,207.23676925229137,-0.6303017374517358,-0.7102780888030864,0.09258735521235494,25.05719468812709,0,0,0
normal_before,60,65,1036,60.002579921,64.997486334,207.2110895423898,-0.6298688223938216,-0.709600482625479,0.09282075289575273,24.939505892942623,0,0,0
