phase,start_s,end_s,xyz_points,actual_first_s,actual_last_s,observed_xyz_s,axis_mean_x_g,axis_mean_y_g,axis_mean_z_g,vector_ac_rms_mg,gap_count,overrun_count,saturated_count
airflow_modified,0,5,1020,0.078420345,4.99994758,207.04955013827126,-0.6270626470588241,-0.7129008823529389,0.08986441176470562,16.8902952239108,0,0,0
airflow_modified,5,10,1035,5.00358354,9.996741774,207.08336318267777,-0.6268976811594204,-0.7125318840579686,0.09002028985507224,33.24474483441299,0,0,0
airflow_modified,10,15,1036,10.00043403,14.997346353,207.12790881602186,-0.6266652509652504,-0.7123824324324304,0.08951177606177592,35.34373986332127,0,0,0
airflow_modified,15,20,1036,15.001086683,19.997452822,207.1505512618718,-0.6271960424710424,-0.7124803088803068,0.0896661196911194,31.21572209424758,0,0,0
airflow_modified,20,25,1036,20.003052632,24.999018845,207.16713361808317,-0.627004054054053,-0.7122807915057895,0.09097992277992263,31.484695876536467,0,0,0
airflow_modified,25,30,1036,25.002711268,29.999812906,207.12006178330208,-0.6265974903474895,-0.7124765444015427,0.09008774131274118,32.31057759519725,0,0,0
airflow_modified,30,35,1036,30.003495218,34.999567245,207.16274593452735,-0.6264582046332039,-0.7125668918918906,0.09006515444015419,33.52780996789157,0,0,0
airflow_modified,35,40,1036,35.005184296,39.999515288,207.2349633330029,-0.6267367760617758,-0.7120812741312723,0.0900124517374514,33.891440288499666,0,0,0
airflow_modified,40,45,1035,40.005130284,44.995159908,207.2131987006416,-0.6272782608695648,-0.7123924637681138,0.09030666666666648,33.44494251443947,0,0,0
airflow_modified,45,50,1036,45.000802756,49.995461858,207.22134961834678,-0.6267405405405393,-0.7126271235521204,0.09043783783783772,33.390705737017015,0,0,0
airflow_modified,50,55,1036,50.001014243,54.996164141,207.200989186411,-0.6269024131274129,-0.712521718146716,0.09045666023165987,34.002359521711256,0,0,0
airflow_modified,55,60,1036,55.001770341,59.997827405,207.1633663790354,-0.6271094594594581,-0.7129659266409245,0.09091216216216179,34.461689899344876,0,0,0
airflow_modified,60,65,1036,60.001522384,64.997667596,207.15971135388207,-0.6268233590733587,-0.7125405405405388,0.08990704633204596,34.15355697753401,0,0,0
airflow_modified,65,70,1036,65.003221592,69.998706861,207.18707878547846,-0.6267292471042469,-0.7125104247104223,0.0895569498069497,34.46003100212241,0,0,0
airflow_modified,70,75,1036,70.002401154,74.99894544,207.14316550740966,-0.6266991312741308,-0.7124163127413106,0.08983175675675666,34.35025485250393,0,0,0
airflow_modified,75,80,1036,75.002690419,79.999273631,207.14155175366668,-0.6263904440154444,-0.7126045366795338,0.0902910231660229,32.80212069653369,0,0,0
airflow_modified,80,85,1035,80.002948961,84.994927473,207.13230185474805,-0.6269165217391292,-0.7129953623188392,0.08995999999999973,33.6590094494513,0,0,0
airflow_modified,85,90,1036,85.000586913,89.994528591,207.25111880251316,-0.6273315637065637,-0.713184266409264,0.09062229729729686,33.14511364054863,0,0,0
airflow_modified,90,95,1037,90.000169345,94.9997045,207.2192649678448,-0.6270237222757954,-0.7123084860173555,0.08971880424300843,33.5686507831702,0,0,0
airflow_modified,95,100,1035,95.005306217,99.994955491,207.22899410745237,-0.6266866666666667,-0.712799420289853,0.0893420289855071,32.301093405033214,0,0,0
airflow_modified,100,105,1036,100.000603356,104.996893754,207.15369154969602,-0.627335328185327,-0.7128868725868702,0.0902119691119688,32.2079836148039,0,0,0
airflow_modified,105,110,1036,105.000613029,109.997293333,207.13752672378297,-0.6266426640926638,-0.7127438223938201,0.09001245173745151,31.893059333824656,0,0,0
airflow_modified,110,115,1036,110.000965275,114.997533339,207.14217974075416,-0.6269061776061768,-0.7128115830115808,0.08995222007721979,31.904389719285366,0,0,0
airflow_modified,115,120,1036,115.001280762,119.996855716,207.18335917896027,-0.6269664092664086,-0.7126647683397659,0.09014797297297267,33.49650677387472,0,0,0
airflow_modified,120,125,1036,120.002448174,124.996986091,207.22637753477684,-0.626559845559846,-0.7126384169884155,0.08995222007721977,33.27081323028939,0,0,0
airflow_modified,125,130,1036,125.00264605,129.996247727,207.26522997761322,-0.6270605212355208,-0.712849227799225,0.09028349420849384,34.02563609446488,0,0,0
airflow_modified,130,135,1036,130.001860408,134.996696825,207.21399333066486,-0.6271734555984548,-0.7127626447876422,0.0906147683397681,33.37756813289233,0,0,0
airflow_modified,135,140,1036,135.002322265,139.99653709,207.23978368311379,-0.6272675675675672,-0.7128040540540516,0.08998610038610007,33.72028612025205,0,0,0
airflow_modified,140,145,1036,140.002166919,144.996590244,207.23113213475952,-0.6270304054054042,-0.7127927606177593,0.09040019305019302,34.348050304856244,0,0,0
airflow_modified,145,150,1036,145.002289017,149.995839232,207.2673659896299,-0.6270642857142842,-0.7125405405405395,0.09074652509652478,33.767657376690046,0,0,0
airflow_modified,150,155,1036,150.001464209,154.995606034,207.24281293313092,-0.6268647683397682,-0.712905694980692,0.09051689189189166,33.443783795378685,0,0,0
airflow_modified,155,160,1036,155.001227029,159.99563341,207.23183518614042,-0.6267405405405411,-0.7124727799227777,0.09005009652509621,33.25159617734439,0,0,0
airflow_modified,160,165,1036,160.001256479,164.996754581,207.18654653989898,-0.6270680501930487,-0.7131805019304996,0.09050936293436286,33.938439866319285,0,0,0
airflow_modified,165,170,1036,165.000435967,169.995096125,207.22130580640797,-0.6275197876447882,-0.7126158301158285,0.09048677606177569,34.168678413547184,0,0,0
airflow_modified,170,175,1036,170.000643102,174.99548239,207.21387422545635,-0.626872297297297,-0.7127061776061754,0.08987316602316575,33.70879823699201,0,0,0
airflow_modified,175,180,1036,175.001101978,179.995311155,207.2400180526119,-0.6271885135135125,-0.7125744208494195,0.09040772200772179,34.46711324510687,0,0,0
airflow_modified,180,185,1036,180.00090115,184.995706771,207.21527093036,-0.6270266409266406,-0.7127249999999978,0.09039266409266379,34.94817580009536,0,0,0
airflow_modified,185,190,1036,185.001313878,189.995166184,207.25482785233177,-0.6275611969111959,-0.7122807915057893,0.09027972972972967,35.30167755799172,0,0,0
airflow_modified,190,195,1036,190.000807476,194.995019653,207.23989356449803,-0.6268685328185323,-0.7125292471042455,0.0909347490347489,35.01945800845523,0,0,0
airflow_modified,195,200,1036,195.000624074,199.995827843,207.19875461801206,-0.627312741312742,-0.7124125482625464,0.09020820463320448,35.38142070941851,0,0,0
airflow_modified,200,205,1036,200.001420357,204.996456533,207.2057065318039,-0.6269137065637063,-0.7130713320463298,0.09090839768339756,35.56483856495456,0,0,0
airflow_modified,205,210,1036,205.00014629,209.996949613,207.13242709312857,-0.6272600386100381,-0.7124050193050182,0.09023079150579141,36.27729550503041,0,0,0
airflow_modified,210,215,1036,210.000639906,214.995572915,207.20998622706452,-0.6269626447876451,-0.712653474903473,0.09075405405405387,36.81663599673945,0,0,0
airflow_modified,215,220,1036,215.001160485,219.99599055,207.21425684779527,-0.6268760617760613,-0.7131767374517353,0.09108156370656367,36.715017936225536,0,0,0
airflow_modified,220,225,1036,220.001645305,224.998220258,207.14189414462288,-0.6270454633204624,-0.7127137065637044,0.09047924710424692,36.33369791404683,0,0,0
airflow_modified,225,230,1036,225.00195907,229.998839781,207.1292191789927,-0.6269137065637059,-0.7128868725868702,0.09074652509652506,37.142433043076025,0,0,0
airflow_modified,230,235,1036,230.002490982,234.997819158,207.19359440139414,-0.6269061776061765,-0.7123447876447863,0.09044536679536654,37.03866275508033,0,0,0
airflow_modified,235,240,1036,235.003418394,239.999105459,207.1787096616309,-0.6269626447876443,-0.7125443050193032,0.08999362934362927,37.14108885556522,0,0,0
airflow_modified,240,245,1036,240.002792808,244.998697835,207.16967084170312,-0.6272675675675667,-0.7129282818532807,0.09132625482625457,36.809093186298156,0,0,0
airflow_modified,245,250,1036,245.00430146,249.999518025,207.19822384717767,-0.6268459459459454,-0.7125028957528946,0.08963600386100369,36.990202597007524,0,0,0
airflow_modified,250,255,1035,250.005113132,254.995514719,207.197753922965,-0.6263927536231878,-0.7127240579710126,0.09023884057970989,36.55969514901326,0,0,0
airflow_modified,255,260,1036,255.001120511,259.995564243,207.23028540068054,-0.6269927606177611,-0.712228088803087,0.09002374517374488,36.69647921879157,0,0,0
airflow_modified,260,265,1036,260.001101275,264.99731271,207.15696552581946,-0.6268722972972965,-0.7124238416988408,0.0903437258687257,36.38684827084558,0,0,0
airflow_modified,265,270,1036,265.001058651,269.99640116,207.19299990646547,-0.6266727799227793,-0.7127099420849411,0.09042654440154425,36.87636706476225,0,0,0
airflow_modified,270,275,1036,270.00200386,274.998207257,207.15729880442257,-0.6271772200772199,-0.7121490347490319,0.09029855212355206,37.06588050150813,0,0,0
airflow_modified,275,280,1036,275.003812067,279.999369447,207.1840880346369,-0.6271169884169885,-0.7127024131274126,0.09060347490347466,36.63454011452696,0,0,0
airflow_modified,280,285,1035,280.003072573,284.994736252,207.1453660530161,-0.6271275362318832,-0.7127428985507223,0.09057043478260851,37.18120656421868,0,0,0
airflow_modified,285,290,1036,285.000316136,289.994886943,207.22501291791176,-0.6270642857142859,-0.7128153474903444,0.09029102316602301,37.161642779552594,0,0,0
airflow_modified,290,295,1036,290.000529994,294.99563541,207.20283433553868,-0.6267668918918919,-0.7123071428571418,0.09002374517374506,36.900558970291435,0,0,0
airflow_modified,295,300,1036,295.001242461,299.996872822,207.18106128909403,-0.6268421814671812,-0.7120511583011558,0.09047924710424686,36.58990671285549,0,0,0
