phase,start_s,end_s,xyz_points,actual_first_s,actual_last_s,observed_xyz_s,axis_mean_x_g,axis_mean_y_g,axis_mean_z_g,vector_ac_rms_mg,gap_count,overrun_count,saturated_count
normal_after,0,5,1020,0.078117678,4.998429858,207.10068034748153,-0.6272652941176473,-0.7123923529411734,0.0894247058823528,16.56486741649177,0,0,0
normal_after,5,10,1036,5.002078262,9.997654178,207.1833192815801,-0.6268647683397679,-0.7124539575289552,0.08963223938223926,31.779278006904452,0,0,0
normal_after,10,15,1036,10.003185692,14.998721257,207.1849927866543,-0.6271433397683397,-0.7125367760617735,0.0896209459459458,31.13249907101542,0,0,0
normal_after,15,20,1035,15.004323771,19.994656728,207.20060342859404,-0.6271426086956514,-0.7122605797101424,0.09001652173913023,28.29265810240307,0,0,0
normal_after,20,25,1037,20.000254872,24.999663562,207.22450678462135,-0.6270726133076172,-0.7123874638379923,0.08986923818707791,30.458750390614522,0,0,0
normal_after,25,30,1035,25.005282002,29.996011293,207.18414879057002,-0.6271313043478264,-0.7123773913043466,0.09029159420289819,30.79582840130973,0,0,0
normal_after,30,35,1036,30.001590288,34.997249389,207.17986937756024,-0.6271885135135126,-0.7125254826254803,0.09042654440154409,31.24598785979435,0,0,0
normal_after,35,40,1036,35.000935794,39.997503228,207.14220585859906,-0.6268007722007728,-0.7128642857142831,0.09101380308880287,31.79697222432743,0,0,0
normal_after,40,45,1036,40.001236076,44.997118863,207.17059309181906,-0.6269739382239388,-0.7126760617760596,0.09033243243243204,31.768649296467924,0,0,0
normal_after,45,50,1036,45.002703932,49.997630534,207.2102520156311,-0.6272336872586869,-0.7124163127413108,0.09031361003860973,32.439055223469616,0,0,0
normal_after,50,55,1036,50.003226048,54.998396872,207.2001211704707,-0.6268497104247099,-0.7126195945945943,0.09079546332046305,33.228213038299145,0,0,0
normal_after,55,60,1036,55.003930182,59.999333024,207.1904974906126,-0.6274708494208492,-0.7124426640926625,0.09066747104247089,32.28165962195299,0,0,0
normal_after,60,65,1036,60.003053614,64.999662529,207.1404861991285,-0.6269438223938224,-0.7123786679536666,0.09008021235521207,32.17961046246224,0,0,0
normal_after,65,70,1035,65.003346841,69.994727112,207.1571276601698,-0.6272255072463762,-0.7124678260869544,0.0902124637681156,32.85457305259633,0,0,0
normal_after,70,75,1036,70.000262293,74.99501545,207.21744748276055,-0.6269965250965244,-0.7125104247104233,0.09012162162162148,32.345922722581925,0,0,0
normal_after,75,80,1036,75.000576076,79.995377585,207.21544152156218,-0.6271132239382237,-0.7122958494208474,0.09020820463320449,32.47751971620047,0,0,0
normal_after,80,85,1036,80.00105258,84.996660737,207.1819821476042,-0.6271282818532814,-0.712668532818531,0.09041525096525066,32.133078053005626,0,0,0
normal_after,85,90,1036,85.000354604,89.996782186,207.14800385152466,-0.6270002895752893,-0.71241631274131,0.09050559845559808,33.03407699646612,0,0,0
normal_after,90,95,1036,90.00046185,94.99641821,207.16754219206192,-0.6273767374517378,-0.7121678571428555,0.09084816602316577,33.1999336466473,0,0,0
