name,start_s,end_s,windows,ae_alarms,mean_ae_score
train_normal_before,180,210,49,0,0.37317644308420134
train_normal_before,210,240,49,0,0.38531200746521255
train_normal_before,240,270,48,0,0.3768771476947281
train_normal_before,270,300,48,0,0.37509844925638386
train_normal_after,180,210,49,0,0.3800001599645505
train_normal_after,210,240,49,0,0.38313316923912644
train_normal_after,240,270,48,0,0.37778054789879784
train_normal_after,270,300,48,0,0.3788796523793166
validation,180,210,49,1,0.45273624727543954
validation,210,240,49,1,0.4433309798189609
validation,240,270,48,0,0.4205977672934775
validation,270,300,48,0,0.4010923617449132
normal_test_01,180,210,49,0,0.41249519417224784
normal_test_01,210,240,49,0,0.38669346807089366
normal_test_01,240,270,48,0,0.38783281053226853
normal_test_01,270,300,48,0,0.4192210654984256
normal_test_02,180,210,49,0,0.3937021790144567
normal_test_02,210,240,49,0,0.395176517212922
normal_test_02,240,270,48,0,0.39055735877691383
normal_test_02,270,300,48,0,0.3885965470607582
normal_test_03,180,210,49,0,0.38194624536042643
normal_test_03,210,240,49,0,0.3837313901419606
normal_test_03,240,270,48,0,0.3769193387711203
normal_test_03,270,300,48,0,0.3841831052255313
normal_sep11,180,210,49,0,0.3785041492715089
normal_sep11,210,240,49,0,0.39122974427545043
normal_sep11,240,270,48,9,0.4466681426175274
normal_sep11,270,300,48,0,0.3752996119456277
normal_before,180,210,49,22,0.5604389396118685
normal_before,210,240,49,18,0.5299043159722758
normal_before,240,270,48,3,0.4653473180687619
normal_before,270,300,48,8,0.49409316547507864
airflow_modified,180,210,49,0,0.42008449731099523
airflow_modified,210,240,49,0,0.42779108210190775
airflow_modified,240,270,48,0,0.42726436185583544
airflow_modified,270,300,48,0,0.43203980915369317
normal_after,180,210,49,0,0.4336648360705549
normal_after,210,240,49,0,0.42252850321392504
normal_after,240,270,48,2,0.4536531109585252
normal_after,270,300,48,2,0.4593176100395069
