reference,feature,min,max,p05,p95,plate_inside_minmax,plate_inside_p05_p95,plate_N
training_only,physical_vector_ac_rms_mg,25.771231718281204,35.98230377133157,26.640912741726744,34.36228608252289,13,0.0,194
training_only,x_rms_mg,7.741161440270818,11.659901379124022,8.343906087590527,10.32779772730739,176,40.0,194
training_only,y_rms_mg,9.32463227638729,13.189555527006968,10.09897506728599,12.188419390837513,155,48.0,194
training_only,z_rms_mg,21.566516482239564,32.21784700328909,22.636001030208366,30.780176696901265,18,0.0,194
training_only,rms,0.8771576389145032,1.1311634567619435,0.9039902274035355,1.089987285970637,13,2.0,194
training_only,isolation_forest,0.4176891900483625,0.4818691969819586,0.43129391436624653,0.46637528080554796,124,20.0,194
training_only,tflite_autoencoder,0.2760255926575153,0.4838447181190837,0.3266360457692645,0.4432737362223996,180,131.0,194
training_only,x_ae_mse,0.3560455481670415,0.8489274048077249,0.4425644073743211,0.6792602815964564,193,148.0,194
training_only,y_ae_mse,0.2698436127129113,0.6224942539149652,0.3347569179507161,0.5218235074273357,193,152.0,194
training_only,z_ae_mse,0.0937552384707842,0.2610622136378735,0.12479606533208884,0.20180672451146217,191,150.0,194
training_only,standard_high_fraction,0.0935488939656149,0.3088483328221043,0.14236171174109585,0.26388220371372567,189,62.0,194
training_only,all_features_axis_aligned_box_NOT_joint_support,,,,,4,,194
normal_validation,physical_vector_ac_rms_mg,36.59563244884632,41.39107636185096,37.73822798372548,40.49678218881069,149,93.0,194
normal_validation,x_rms_mg,9.859077352876378,12.718248967979962,10.437326569292596,12.279025106778331,183,141.0,194
normal_validation,y_rms_mg,10.546193467563237,13.553354851636367,11.064573633132659,13.11590232953375,176,147.0,194
normal_validation,z_rms_mg,33.12041418728787,38.169926454244845,33.94194454744208,36.834487140894936,141,94.0,194
normal_validation,rms,1.119432249237727,1.2934579694070312,1.1546376217050522,1.2497927954348338,182,141.0,194
normal_validation,isolation_forest,0.453442433885079,0.5078994731386384,0.46556928808597636,0.49871725524566124,189,163.0,194
normal_validation,tflite_autoencoder,0.3132284899816709,0.5629633828731087,0.35476090604224575,0.5060437080420018,194,185.0,194
normal_validation,x_ae_mse,0.4202619456077929,0.9656566522248796,0.4980976188282314,0.8252345240410405,194,180.0,194
normal_validation,y_ae_mse,0.3053688013983695,0.6931310574428124,0.34439888344083086,0.577765363307511,193,181.0,194
normal_validation,z_ae_mse,0.1189140031882556,0.2683386549926753,0.1423358094093524,0.22977530704132956,191,178.0,194
normal_validation,standard_high_fraction,0.0966625691624654,0.2147978093718655,0.10365679739627842,0.1893221095211264,188,175.0,194
normal_validation,all_features_axis_aligned_box_NOT_joint_support,,,,,112,,194
training_and_validation,physical_vector_ac_rms_mg,25.771231718281204,41.39107636185096,26.847500246370043,39.97900867711813,188,174.0,194
training_and_validation,x_rms_mg,7.741161440270818,12.718248967979962,8.506739118241832,11.89974368048127,194,187.0,194
training_and_validation,y_rms_mg,9.32463227638729,13.553354851636367,10.18411980517075,12.77715463852654,176,112.0,194
training_and_validation,z_rms_mg,21.566516482239564,38.169926454244845,22.93045409036548,36.2279256838551,192,174.0,194
training_and_validation,rms,0.8771576389145032,1.2934579694070312,0.9125075150724582,1.237828706255794,188,172.0,194
training_and_validation,isolation_forest,0.4176891900483625,0.5078994731386384,0.4326994665621344,0.49188718004800275,190,173.0,194
training_and_validation,tflite_autoencoder,0.2760255926575153,0.5629633828731087,0.33039978114803564,0.4790465141414995,194,174.0,194
training_and_validation,x_ae_mse,0.3560455481670415,0.9656566522248796,0.4593115046858649,0.7678122155650512,194,182.0,194
training_and_validation,y_ae_mse,0.2698436127129113,0.6931310574428124,0.3363654803958553,0.5397445746880335,194,159.0,194
training_and_validation,z_ae_mse,0.0937552384707842,0.2683386549926753,0.1287802926062178,0.21603675946845147,193,171.0,194
training_and_validation,standard_high_fraction,0.0935488939656149,0.3088483328221043,0.11679895345208156,0.25865039284039637,189,149.0,194
training_and_validation,all_features_axis_aligned_box_NOT_joint_support,,,,,169,,194
earlier_independent_normals,physical_vector_ac_rms_mg,27.79015586608904,48.27557824695759,30.38924025615655,42.81473076616715,194,193.0,194
earlier_independent_normals,x_rms_mg,8.128020922776564,18.19673236395991,8.90432823236893,11.778566088803814,194,181.0,194
