window_index_in_recording,source_start_index,source_end_index_exclusive,start_host_monotonic_ns,last_host_monotonic_ns,start_since_command_s,last_since_command_s,quality_valid,quality_reasons,method,threshold,score,prediction,decision,error,model_core_ns,transfer_in_ns,transfer_out_ns,score_and_other_overhead_ns,standardization_ns,scorer_call_ns,decision_monotonic_ns,dequeue_to_decision_ns,dequeue_monotonic_ns,complete_to_decision_ns,assembly_ns,queue_wait_ns,logging_monotonic_ns,trial,mode,repeat
0,37256,37384,100456168922801,100456782634454,180.002079151,180.615790804,True,[],rms,1.2747695377144315,1.0738368188054972,0,NORMAL,,49314,0,0,1779,113833,71759,100456790542079,192592,100456790349487,7907625,7637903,77130,100456790551579,sensor_live_rms_01,sensor_live,1
1,37384,37512,100456792100671,100457401477493,180.625257021,181.234633843,True,[],rms,1.2747695377144315,1.0789406683677596,0,NORMAL,,43685,0,0,1481,108203,63945,100457407755157,178574,100457407576583,6277664,6015238,83852,100457407765342,sensor_live_rms_01,sensor_live,1
2,37512,37640,100457409324656,100458018428220,181.242481006,181.85158457,True,[],rms,1.2747695377144315,1.0486229456890144,0,NORMAL,,43130,0,0,1425,104759,61759,100458024324087,171722,100458024152365,5895867,5658645,65500,100458024332495,sensor_live_rms_01,sensor_live,1
3,37640,37768,100458025898716,100458637175798,181.859055066,182.470332148,True,[],rms,1.2747695377144315,0.9777057619924707,0,NORMAL,,42111,0,0,1389,99945,60259,100458643060739,165389,100458642895350,5884941,5649571,69981,100458643069276,sensor_live_rms_01,sensor_live,1
4,37768,37896,100458644640609,100459254306840,182.477796959,183.08746319,True,[],rms,1.2747695377144315,1.0605100029735726,0,NORMAL,,45129,0,0,1538,103759,64092,100459260399022,172870,100459260226152,6092182,5846386,72926,100459260407596,sensor_live_rms_01,sensor_live,1
5,37896,38024,100459261965447,100459873511400,183.095121797,183.70666775,True,[],rms,1.2747695377144315,1.001101660801491,0,NORMAL,,44407,0,0,1482,102371,62723,100459879437916,170334,100459879267582,5926516,5694294,61888,100459879446397,sensor_live_rms_01,sensor_live,1
6,38024,38152,100459881015470,100460492286146,183.71417182,184.325442496,True,[],rms,1.2747695377144315,1.0946027495754642,0,NORMAL,,45037,0,0,1760,106389,63685,100460498362865,175778,100460498187087,6076719,5835219,65722,100460498371847,sensor_live_rms_01,sensor_live,1
7,38152,38280,100460499927716,100461109104764,184.333084066,184.942261114,True,[],rms,1.2747695377144315,1.03861549490616,0,NORMAL,,43630,0,0,1407,103278,62500,100461115077242,170796,100461114906446,5972478,5735960,65722,100461115085761,sensor_live_rms_01,sensor_live,1
8,38280,38408,100461116658205,100461727945400,184.949814555,185.56110175,True,[],rms,1.2747695377144315,1.022381965228154,0,NORMAL,,44222,0,0,1538,103111,63444,100461733947619,171870,100461733775749,6002219,5765312,65037,100461733955415,sensor_live_rms_01,sensor_live,1
9,38408,38536,100461735523063,100462346542055,185.568679413,186.179698405,True,[],rms,1.2747695377144315,1.0513364258210884,0,NORMAL,,46000,0,0,1482,101648,64703,100462352450681,171981,100462352278700,5908626,5671719,64926,100462352458996,sensor_live_rms_01,sensor_live,1
