monotonic_ns,queue_pending_windows,process_cpu_percent_one_core,process_rss_bytes,process_lifetime_peak_rss_bytes,elapsed_s,trial,mode,method,repeat
100276244183921,0,0.0,77152256,77398016,0.077340271,sensor_live_rms_01,sensor_live,rms,1
100276344570433,0,9.961708984505762,77201408,77398016,0.177726783,sensor_live_rms_01,sensor_live,rms,1
100276444889333,0,0.0,77201408,77398016,0.278045683,sensor_live_rms_01,sensor_live,rms,1
100276545115807,0,0.0,77217792,77398016,0.378272157,sensor_live_rms_01,sensor_live,rms,1
100276645348301,0,9.976810202561023,77217792,77398016,0.478504651,sensor_live_rms_01,sensor_live,rms,1
100276745584886,0,0.0,77217792,77398016,0.578741236,sensor_live_rms_01,sensor_live,rms,1
100276845813713,0,9.977363158803088,77217792,77398016,0.678970063,sensor_live_rms_01,sensor_live,rms,1
100276945967187,0,9.984700044585614,77217792,77398016,0.779123537,sensor_live_rms_01,sensor_live,rms,1
100277046118514,0,0.0,77217792,77398016,0.879274864,sensor_live_rms_01,sensor_live,rms,1
100277146302026,0,0.0,77217792,77398016,0.979458376,sensor_live_rms_01,sensor_live,rms,1
100277246440852,0,0.0,77217792,77398016,1.079597202,sensor_live_rms_01,sensor_live,rms,1
100277346674790,0,9.976736346630585,77217792,77398016,1.17983114,sensor_live_rms_01,sensor_live,rms,1
100277446855635,0,0.0,77217792,77398016,1.280011985,sensor_live_rms_01,sensor_live,rms,1
100277547018758,0,0.0,77217792,77398016,1.380175108,sensor_live_rms_01,sensor_live,rms,1
100277647160362,0,0.0,77217792,77398016,1.480316712,sensor_live_rms_01,sensor_live,rms,1
100277747287856,0,9.987288977344798,77217792,77398016,1.580444206,sensor_live_rms_01,sensor_live,rms,1
100277847435608,0,0.0,77217792,77398016,1.680591958,sensor_live_rms_01,sensor_live,rms,1
100277947589713,0,0.0,77217792,77398016,1.780746063,sensor_live_rms_01,sensor_live,rms,1
100278047831595,0,0.0,77217792,77398016,1.880987945,sensor_live_rms_01,sensor_live,rms,1
100278148093033,0,9.973987043709311,77217792,77398016,1.981249383,sensor_live_rms_01,sensor_live,rms,1
100278248296767,0,0.0,77217792,77398016,2.081453117,sensor_live_rms_01,sensor_live,rms,1
100278348504723,0,9.979264186668736,77217792,77398016,2.181661073,sensor_live_rms_01,sensor_live,rms,1
100278448667124,0,9.983830487502974,77217792,77398016,2.281823474,sensor_live_rms_01,sensor_live,rms,1
100278548801080,0,0.0,77217792,77398016,2.38195743,sensor_live_rms_01,sensor_live,rms,1
100278648928907,0,0.0,77217792,77398016,2.482085257,sensor_live_rms_01,sensor_live,rms,1
100278749142678,0,0.0,77217792,77398016,2.582299028,sensor_live_rms_01,sensor_live,rms,1
100278849297042,0,0.0,77217792,77398016,2.682453392,sensor_live_rms_01,sensor_live,rms,1
100278949463314,0,9.983286081803532,77217792,77398016,2.782619664,sensor_live_rms_01,sensor_live,rms,1
100279049675955,0,9.978911865590064,77217792,77398016,2.882832305,sensor_live_rms_01,sensor_live,rms,1
100279149820449,0,0.0,77217792,77398016,2.982976799,sensor_live_rms_01,sensor_live,rms,1
100279249947368,0,0.0,77217792,77398016,3.083103718,sensor_live_rms_01,sensor_live,rms,1
100279350075066,0,0.0,77217792,77398016,3.183231416,sensor_live_rms_01,sensor_live,rms,1
100279450229485,0,9.984472946237409,77217792,77398016,3.283385835,sensor_live_rms_01,sensor_live,rms,1
100279550432108,0,0.0,77217792,77398016,3.383588458,sensor_live_rms_01,sensor_live,rms,1
100279650581787,0,0.0,77217792,77398016,3.483738137,sensor_live_rms_01,sensor_live,rms,1
100279750712614,0,9.986986058183389,77217792,77398016,3.583868964,sensor_live_rms_01,sensor_live,rms,1
100279850841015,0,0.0,77217792,77398016,3.683997365,sensor_live_rms_01,sensor_live,rms,1
100279950974824,0,0.0,77217792,77398016,3.784131174,sensor_live_rms_01,sensor_live,rms,1
100280051131595,0,0.0,77217792,77398016,3.884287945,sensor_live_rms_01,sensor_live,rms,1
100280151302200,0,0.0,77217792,77398016,3.98445855,sensor_live_rms_01,sensor_live,rms,1
100280251463768,0,0.0,77217792,77398016,4.084620118,sensor_live_rms_01,sensor_live,rms,1
100280351597558,0,19.973104218839193,77217792,77398016,4.184753908,sensor_live_rms_01,sensor_live,rms,1
100280451756607,0,0.0,77217792,77398016,4.284912957,sensor_live_rms_01,sensor_live,rms,1
100280551882212,0,0.0,77217792,77398016,4.385038562,sensor_live_rms_01,sensor_live,rms,1
100280652039780,0,0.0,77217792,77398016,4.48519613,sensor_live_rms_01,sensor_live,rms,1
100280752157756,0,0.0,77217792,77398016,4.585314106,sensor_live_rms_01,sensor_live,rms,1
100280852275102,0,0.0,77217792,77398016,4.685431452,sensor_live_rms_01,sensor_live,rms,1
100280952391225,0,9.988384508454015,77217792,77398016,4.785547575,sensor_live_rms_01,sensor_live,rms,1
100281052520145,0,0.0,77217792,77398016,4.885676495,sensor_live_rms_01,sensor_live,rms,1
100281152646602,0,9.987285287647083,77217792,77398016,4.985802952,sensor_live_rms_01,sensor_live,rms,1
100281252840170,0,0.0,77217792,77398016,5.08599652,sensor_live_rms_01,sensor_live,rms,1
100281352978201,0,0.0,77217792,77398016,5.186134551,sensor_live_rms_01,sensor_live,rms,1
100281453119602,0,0.0,77217792,77398016,5.286275952,sensor_live_rms_01,sensor_live,rms,1
100281553288355,0,9.982996261832202,77217792,77398016,5.386444705,sensor_live_rms_01,sensor_live,rms,1
100281653549220,0,9.974018280780292,77217792,77398016,5.48670557,sensor_live_rms_01,sensor_live,rms,1
100281753790399,0,0.0,77217792,77398016,5.586946749,sensor_live_rms_01,sensor_live,rms,1
100281854014449,0,0.0,77217792,77398016,5.687170799,sensor_live_rms_01,sensor_live,rms,1
100281954236924,0,9.977823987525284,77217792,77398016,5.787393274,sensor_live_rms_01,sensor_live,rms,1
100282054460826,0,0.0,77217792,77398016,5.887617176,sensor_live_rms_01,sensor_live,rms,1
100282154647579,0,0.0,77217792,77398016,5.987803929,sensor_live_rms_01,sensor_live,rms,1
100282254815277,0,9.983267445082435,77217792,77398016,6.087971627,sensor_live_rms_01,sensor_live,rms,1
100282354972641,0,0.0,77217792,77398016,6.188128991,sensor_live_rms_01,sensor_live,rms,1
100282455185617,0,0.0,77217792,77398016,6.288341967,sensor_live_rms_01,sensor_live,rms,1
100282555376870,0,0.0,77217792,77398016,6.38853322,sensor_live_rms_01,sensor_live,rms,1
100282655584568,0,9.97931009635947,77217792,77398016,6.488740918,sensor_live_rms_01,sensor_live,rms,1
100282755762710,0,0.0,77217792,77398016,6.58891906,sensor_live_rms_01,sensor_live,rms,1
100282855920260,0,9.984238480422002,77217792,77398016,6.68907661,sensor_live_rms_01,sensor_live,rms,1
100282956123866,0,0.0,77217792,77398016,6.789280216,sensor_live_rms_01,sensor_live,rms,1
