id,mode,method,repeat,valid_decisions,invalid_decisions,normal_alarms,window_deadline_ms,deadline_exceedances,model_load_ms,model_warmup_ms,process_entry_to_ready_ms,windows_dropped,unprocessed_windows,complete_to_decision_median_ms,complete_to_decision_p95_ms,complete_to_decision_p99_ms,complete_to_decision_maximum_ms,model_core_median_ms,model_core_p95_ms,model_core_p99_ms,model_core_maximum_ms,transfer_in_median_ms,transfer_in_p95_ms,transfer_in_p99_ms,transfer_in_maximum_ms,transfer_out_median_ms,transfer_out_p95_ms,transfer_out_p99_ms,transfer_out_maximum_ms,score_and_other_overhead_median_ms,score_and_other_overhead_p95_ms,score_and_other_overhead_p99_ms,score_and_other_overhead_maximum_ms,standardization_median_ms,standardization_p95_ms,standardization_p99_ms,standardization_maximum_ms,scorer_call_median_ms,scorer_call_p95_ms,scorer_call_p99_ms,scorer_call_maximum_ms,dequeue_to_decision_median_ms,dequeue_to_decision_p95_ms,dequeue_to_decision_p99_ms,dequeue_to_decision_maximum_ms,assembly_median_ms,assembly_p95_ms,assembly_p99_ms,assembly_maximum_ms,queue_wait_median_ms,queue_wait_p95_ms,queue_wait_p99_ms,queue_wait_maximum_ms,cpu_primary_percent_one_core,rss_primary_max_mib,rss_primary_slope_mib_per_min,queue_high_watermark
sensor_live_rms_01,sensor_live,rms,1,194,0,0,618.0940710168209,0,4.999717,0.427592,1327.739234,0,0,5.789099,6.04957675,6.161964559999999,7.907625,0.041898000000000005,0.04538545,0.04932051,0.053796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001427,0.00168535,0.001779,0.001834,0.098676,0.1072356,0.11359213,0.114926,0.0598145,0.0646432,0.07182514999999999,0.073333,0.163676,0.17758235,0.18722791999999996,0.192592,5.5595715,5.805579450000001,5.8857959499999986,7.637903,0.065824,0.0840137,0.09819654,0.111241,5.018184151474591,75.46875,0.07430982865737408,1
sensor_live_isolation_forest_01,sensor_live,isolation_forest,1,194,0,1,618.1028717852038,0,1011.289969,279.436469,2617.930153,0,0,27.5138,28.0393318,28.32015949,28.367588,21.517515500000002,21.9178646,22.034756209999998,22.142959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078335,0.0084573,0.008796059999999998,0.009111,0.104843,0.11887049999999999,0.12925409999999993,0.139166,21.544877,21.9447871,22.06335352,22.170922,21.6612465,22.0555688,22.17684021,22.281848,5.8582304999999995,5.9712576,6.5811176399999995,6.723091,0.075528,0.09614095,0.10743038,0.11763,8.600011488897875,171.0,0.044784095915713584,1
sensor_live_tflite_autoencoder_01,sensor_live,tflite_autoencoder,1,194,0,13,618.1267603177025,0,11.666832,0.961389,1336.391672,0,0,5.9155655,6.3132916,6.3834227,6.446651,0.061629,0.07371965,0.11372934999999999,0.131906,0.017361,0.018519249999999998,0.01983095999999995,0.02826,0.0068055,0.0078583,0.00896818,0.020278,0.051139000000000004,0.058802749999999994,0.06263255999999999,0.064741,0.101129,0.1089468,0.12060758999999999,0.12511,0.1534995,0.17150404999999996,0.21741240999999997,0.242647,0.26192499999999996,0.28429514999999994,0.32930150999999996,0.357776,5.575334,5.9627008,6.03419111,6.082192,0.06999,0.08978660000000001,0.10253345999999998,0.1045,5.163152043415875,86.296875,0.08748868893979234,1
sensor_live_isolation_forest_02,sensor_live,isolation_forest,2,194,0,0,618.1068483312139,0,1024.454523,264.118667,2600.100086,0,0,27.0991915,27.5563425,27.89565862,28.094164,21.410074,21.7704384,22.00379213,22.147666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074815,0.008329499999999998,0.010182329999999993,0.011538,0.099564,0.1122115,0.11456469,0.116277,21.436954,21.8020539,22.03219998,22.174702,21.5419565,21.91027495,22.14698185,22.282072,5.493819,5.63566125,6.13559863,6.805721,0.0729625,0.08947655,0.09368278999999999,0.101444,8.58575903822455,171.0,0.0472680348402535,1
sensor_live_tflite_autoencoder_02,sensor_live,tflite_autoencoder,2,194,0,2,618.0498116072043,0,11.61514,0.946183,1341.073493,0,0,5.9706385,6.15735095,6.2612679799999995,8.206727,0.0601295,0.06334755,0.1014157699999999,0.11763,0.016602,0.01744435,0.01770659,0.017759,0.006352,0.007211849999999999,0.00874359,0.009556,0.04974,0.05522605,0.06034963999999999,0.068203,0.0979815,0.111924,0.11537494999999999,0.118685,0.149601,0.16302914999999998,0.21297523,0.217704,0.253759,0.27660270000000003,0.32093502999999995,0.325685,5.6497595,5.8289707,5.92701534,7.82295,0.06550900000000001,0.08356335,0.09284889999999997,0.099611,5.084996402322966,86.421875,0.09030889961966308,1
sensor_live_rms_02,sensor_live,rms,2,194,0,32,618.0962443651348,0,4.97153,0.428796,1332.834434,0,0,5.655763,5.9968436,6.11326446,7.838584,0.039315,0.043346300000000004,0.045205260000000004,0.052148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00126,0.001555,0.00164714,0.001685,0.0958425,0.10604255,0.11524132999999999,0.124593,0.0569905,0.06270165,0.06639617999999997,0.070537,0.15932400000000002,0.1738537,0.18359894999999998,0.191315,5.4284765,5.76625855,5.8504041,7.579195,0.0678985,0.09338515,0.10171258999999999,0.106111,5.117357656017375,75.46875,0.06591792804487508,1
sensor_live_tflite_autoencoder_03,sensor_live,tflite_autoencoder,3,194,0,12,618.080062566011,0,11.588989,0.942555,1370.794911,0,0,5.84831,6.2572137,7.061619129999999,8.124234,0.062230999999999995,0.06663815,0.0855498,0.092037,0.017176,0.01816635,0.01868559,0.019241,0.006574,0.00733335,0.008540179999999996,0.00913,0.050537,0.05674825,0.06145443,0.066278,0.101269,0.1153421,0.11869445999999995,0.138278,0.154639,0.16689389999999998,0.17798727999999997,0.194111,0.26275,0.2846238,0.29555058999999984,0.32537,5.5094585,5.91066985,6.655572669999998,7.745549,0.066806,0.0876068,0.10664694999999995,0.119296,5.021277384470475,86.421875,0.09143547383129574,1
sensor_live_rms_03,sensor_live,rms,3,194,0,0,618.11815609491,0,4.911459,0.427907,1328.949656,0,0,5.7861910000000005,6.11434745,6.203063129999997,7.652458,0.041741,0.0449889,0.047543149999999985,0.051407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001388,0.00174,0.00190833,0.002056,0.097537,0.10980065,0.11334119999999998,0.118999,0.0602225,0.0645757,0.07081038999999999,0.073963,0.1635185,0.179924,0.18831981999999997,0.197296,5.5465800000000005,5.8698149,5.944795239999997,7.392273,0.069083,0.0835433,0.10422796,0.1235,5.03831361198207,75.484375,0.0708593234969564,1
sensor_live_isolation_forest_03,sensor_live,isolation_forest,3,194,0,0,618.0805738819816,0,995.526791,263.157668,2584.726983,0,0,27.376418,28.05773495,28.577293349999994,29.233849,21.416444,21.8612884,22.0491211,22.089729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007741,0.00851395,0.008909259999999999,0.009148,0.1063795,0.11971275,0.12177097999999999,0.13924,21.4443135,21.88924865,22.077766049999997,22.120359,21.562702,22.005436850000002,22.19744987,22.239099,5.8235665,5.999787,6.698013649999996,7.487286,0.07128699999999999,0.0917533,0.10145967,0.135296,8.624532038046508,171.0,0.042376728036914696,1
offline_replay_rms_01,offline_replay,rms,1,194,0,1,617.9487792856661,0,4.996827,0.426722,1332.315366,0,0,5.6850615,6.06080985,6.148980429999998,6.918016,0.041944,0.04487035,0.045742719999999994,0.04613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0017472999999999998,0.0017999199999999998,0.002,0.0960275,0.1040575,0.10956163999999999,0.110203,0.0599355,0.0634721,0.06448026,0.068203,0.161287,0.173203,0.17757777,0.184111,5.4532555,5.7985466,5.862616859999998,6.627239,0.0643425,0.10576735,0.11381143999999997,0.144,1.8440432729821983,143.609375,0.09471771998588534,1
