phase,start_s,end_s,xyz_points,actual_first_s,actual_last_s,observed_xyz_s,axis_mean_x_g,axis_mean_y_g,axis_mean_z_g,vector_ac_rms_mg,gap_count,overrun_count,saturated_count
normal_followup,0,5,1020,0.074582725,4.994959922,207.09794375546937,-0.626477647058824,-0.7129964705882316,0.09024676470588214,16.70330649932461,0,0,0
normal_followup,5,10,1036,5.000564803,9.995727785,207.2004464578249,-0.6270868725868717,-0.7125819498069477,0.09023832046332035,31.544915618167586,0,0,0
normal_followup,10,15,1036,10.001325407,14.997438636,207.16103750257898,-0.6268045366795365,-0.7126911196911171,0.08971882239382219,32.03281271879957,0,0,0
normal_followup,15,20,1036,15.00112744,19.997563008,207.14767275870133,-0.6268158301158303,-0.7124690154440125,0.09021949806949774,28.70953290888549,0,0,0
normal_followup,20,25,1036,20.003152074,24.999380611,207.1562564312698,-0.6265259652509643,-0.7125781853281838,0.0903098455598452,31.031875785502372,0,0,0
normal_followup,25,30,1036,25.003069563,29.998917847,207.17202388126003,-0.6267330115830112,-0.7122318532818511,0.09001998069498038,30.85754127467882,0,0,0
normal_followup,30,35,1035,30.004513006,34.995307529,207.18144079761785,-0.6268826086956519,-0.7123660869565198,0.09037072463768085,31.648914773546423,0,0,0
normal_followup,35,40,1036,35.000918262,39.996422599,207.18628794576503,-0.6262963320463304,-0.7126685328185308,0.09016303088803052,32.138477436928596,0,0,0
normal_followup,40,45,1036,40.002012666,44.997941346,207.1686900061992,-0.626638899613899,-0.7127965250965226,0.09041525096525067,31.52120492484005,0,0,0
normal_followup,45,50,1036,45.003475524,49.998712751,207.19736680485786,-0.6269400579150574,-0.7127475868725842,0.09073523166023142,31.41978964106709,0,0,0
normal_followup,50,55,1035,50.004296446,54.995042232,207.18346402266542,-0.6268600000000003,-0.7121626086956516,0.08957188405797072,32.60956883339773,0,0,0
normal_followup,55,60,1036,55.000646335,59.996461345,207.17340372457065,-0.6271583976833977,-0.7125367760617742,0.09078416988416968,33.16136117034665,0,0,0
normal_followup,60,65,1036,60.002048559,64.99853325,207.14563618383755,-0.6268195945945941,-0.712736293436291,0.09031737451737433,32.94325522063747,0,0,0
normal_followup,65,70,1036,65.002219331,69.998413628,207.157676117895,-0.6264544401544402,-0.7122544401544382,0.08981293436293415,32.881293543396126,0,0,0
normal_followup,70,75,1036,70.004012175,74.999036188,207.2062110825332,-0.6271809845559855,-0.712329729729727,0.09017055984555937,32.4713852615859,0,0,0
normal_followup,75,80,1035,75.004642901,79.994994254,207.19983962219425,-0.62708231884058,-0.7129501449275344,0.09025391304347812,32.84618619270747,0,0,0
normal_followup,80,85,1036,80.000596116,84.996086883,207.18685075691982,-0.626751833976833,-0.712472779922778,0.08975646718146703,33.73093005612085,0,0,0
