split_index,split,recording_id,original_state,source_csv_sha256,label,window_index_in_recording,source_start_index,source_end_index_exclusive,start_host_monotonic_ns,last_host_monotonic_ns,start_since_command_s,last_since_command_s,first_to_last_span_s
0,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,0,37270,37398,14327884009346,14328495901117,180.000250514,180.612142285,0.611891771
1,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,1,37398,37526,14328501513242,14329114050901,180.61775441,181.230292069,0.612537659
2,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,2,37526,37654,14329117756343,14329731836075,181.233997511,181.848077243,0.614079732
3,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,3,37654,37782,14329735588739,14330349652508,181.851829907,182.465893676,0.614063769
4,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,4,37782,37910,14330353326894,14330967499830,182.469568062,183.083740998,0.614172936
5,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,5,37910,38038,14330971199253,14331584082505,183.087440421,183.700323673,0.612883252
6,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,6,38038,38166,14331589681408,14332201947271,183.705922576,184.318188439,0.612265863
7,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,7,38166,38294,14332207543915,14332820403185,184.323785083,184.936644353,0.61285927
8,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,8,38294,38422,14332825999995,14333437460507,184.942241163,185.553701675,0.611460512
9,train,normal_before_75pwm_300s_20260911_104430_339886,normal_before,8a141c4284bac2cb64c11f0006fa29d336a54ea2936127946be59b2ea1a9426b,0,9,38422,38550,14333443077725,14334056816402,185.559318893,186.17305757,0.613738677
