pwm_percent,run,recording_id,method,total_windows,valid_windows,invalid_windows,false_alarms,false_alarm_rate_among_valid_normal_windows
50,normal_pwm50_01,normal_pwm50_01_50pwm_300s_20260912_100420_756309,rms,194,194,0,1,0.005154639175257732
50,normal_pwm50_01,normal_pwm50_01_50pwm_300s_20260912_100420_756309,isolation_forest,194,194,0,0,0.0
50,normal_pwm50_01,normal_pwm50_01_50pwm_300s_20260912_100420_756309,tflite_autoencoder,194,194,0,17,0.08762886597938144
50,normal_pwm50_02,normal_pwm50_02_50pwm_300s_20260912_101021_347673,rms,194,194,0,2,0.010309278350515464
50,normal_pwm50_02,normal_pwm50_02_50pwm_300s_20260912_101021_347673,isolation_forest,194,194,0,1,0.005154639175257732
50,normal_pwm50_02,normal_pwm50_02_50pwm_300s_20260912_101021_347673,tflite_autoencoder,194,194,0,11,0.05670103092783505
50,normal_pwm50_03,normal_pwm50_03_50pwm_300s_20260912_101621_906596,rms,194,194,0,0,0.0
50,normal_pwm50_03,normal_pwm50_03_50pwm_300s_20260912_101621_906596,isolation_forest,194,194,0,0,0.0
50,normal_pwm50_03,normal_pwm50_03_50pwm_300s_20260912_101621_906596,tflite_autoencoder,194,194,0,7,0.03608247422680412
75,normal_test_01 (75 %),normal_test_01_75pwm_300s_20260911_155959_798760,rms,194,194,0,57,0.29381443298969073
75,normal_test_01 (75 %),normal_test_01_75pwm_300s_20260911_155959_798760,isolation_forest,194,194,0,34,0.17525773195876287
75,normal_test_01 (75 %),normal_test_01_75pwm_300s_20260911_155959_798760,tflite_autoencoder,194,194,0,0,0.0
75,normal_test_02 (75 %),normal_test_02_75pwm_300s_20260911_161306_321362,rms,194,194,0,0,0.0
75,normal_test_02 (75 %),normal_test_02_75pwm_300s_20260911_161306_321362,isolation_forest,194,194,0,0,0.0
75,normal_test_02 (75 %),normal_test_02_75pwm_300s_20260911_161306_321362,tflite_autoencoder,194,194,0,0,0.0
75,normal_test_03 (75 %),normal_test_03_75pwm_300s_20260911_162725_498007,rms,194,194,0,0,0.0
75,normal_test_03 (75 %),normal_test_03_75pwm_300s_20260911_162725_498007,isolation_forest,194,194,0,0,0.0
75,normal_test_03 (75 %),normal_test_03_75pwm_300s_20260911_162725_498007,tflite_autoencoder,194,194,0,0,0.0
75,normal_sep11 (75 %),normal_before_75pwm_300s_20260911_165633_681800,rms,194,194,0,2,0.010309278350515464
75,normal_sep11 (75 %),normal_before_75pwm_300s_20260911_165633_681800,isolation_forest,194,194,0,1,0.005154639175257732
75,normal_sep11 (75 %),normal_before_75pwm_300s_20260911_165633_681800,tflite_autoencoder,194,194,0,9,0.04639175257731959
75,normal_before (75 %),normal_before_75pwm_300s_20260912_073823_494120,rms,194,194,0,1,0.005154639175257732
75,normal_before (75 %),normal_before_75pwm_300s_20260912_073823_494120,isolation_forest,194,194,0,0,0.0
75,normal_before (75 %),normal_before_75pwm_300s_20260912_073823_494120,tflite_autoencoder,194,194,0,51,0.26288659793814434
75,normal_after (75 %),normal_after_75pwm_300s_20260912_075715_142650,rms,194,194,0,0,0.0
75,normal_after (75 %),normal_after_75pwm_300s_20260912_075715_142650,isolation_forest,194,194,0,0,0.0
75,normal_after (75 %),normal_after_75pwm_300s_20260912_075715_142650,tflite_autoencoder,194,194,0,4,0.020618556701030927
50,pooled,whole_recordings_pooled,rms,582,582,0,3,0.005154639175257732
50,pooled,whole_recordings_pooled,isolation_forest,582,582,0,1,0.001718213058419244
50,pooled,whole_recordings_pooled,tflite_autoencoder,582,582,0,35,0.06013745704467354
75,pooled,whole_recordings_pooled,rms,1164,1164,0,60,0.05154639175257732
75,pooled,whole_recordings_pooled,isolation_forest,1164,1164,0,35,0.03006872852233677
75,pooled,whole_recordings_pooled,tflite_autoencoder,1164,1164,0,64,0.054982817869415807
