recording_id,phase,block_index,start_since_command_s,end_since_command_s_exclusive,midpoint_since_command_s,xyz_points,first_since_command_s,last_since_command_s,quality_valid,quality_reasons,axis_mean_g,axis_std_population_g,vector_ac_rms_g,vector_ac_rms_mg
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,0,0,5,2.5,1015,0.098425076,4.994527622,True,[],"[-0.6282765517241379, -0.7117672906403941, 0.08977300492610836]","[0.009170884638637985, 0.007214888414026807, 0.010590517197815083]",0.015758134229637767,15.758134229637767
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,1,5,10,7.5,1036,5.000129852,9.996841954,True,[],"[-0.6278661196911197, -0.7122694980694981, 0.08968870656370656]","[0.014046461816998883, 0.009743687003778522, 0.014248855466696483]",0.02225471653638429,22.25471653638429
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,2,10,15,12.5,1036,10.000568077,14.996231125,True,[],"[-0.6282877413127413, -0.7120549227799228, 0.08936496138996139]","[0.009601114715419277, 0.007546159427038643, 0.010979741704350884]",0.016421956453820805,16.421956453820805
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,3,15,20,17.5,1036,15.001839208,19.998623235,True,[],"[-0.627922586872587, -0.7118968146718145, 0.08959835907335909]","[0.01013319649964255, 0.007349892934398478, 0.010964315020605082]",0.01664087742033319,16.64087742033319
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,4,20,25,22.5,1036,20.002314544,24.999515031,True,[],"[-0.6284571428571428, -0.71200222007722, 0.08960588803088802]","[0.010078639495294826, 0.0072948906389466535, 0.010848615825583104]",0.01650717628310186,16.50717628310186
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,5,25,30,27.5,1036,25.003196432,29.998974436,True,[],"[-0.6284157335907337, -0.7121942084942086, 0.08922567567567567]","[0.012152331613769995, 0.00889201440205842, 0.011171499046803375]",0.018749652656254105,18.749652656254106
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,6,30,35,32.5,1035,30.004561167,34.996364266,True,[],"[-0.6284915942028986, -0.7121098550724637, 0.08919884057971014]","[0.009877608350905561, 0.0073458509422634315, 0.010605620541087712]",0.01624831867798553,16.24831867798553
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,7,35,40,37.5,1036,35.000003297,39.997453953,True,[],"[-0.6280505791505792, -0.7119344594594594, 0.08922567567567569]","[0.0099256905876326, 0.007164944408421436, 0.010698908264723828]",0.016257994958609252,16.257994958609252
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,8,40,45,42.5,1036,40.001138966,44.997320691,True,[],"[-0.628182335907336, -0.7121302123552122, 0.08907509652509651]","[0.00985079650793955, 0.007202213325699407, 0.01069803402221594]",0.01622830861704959,16.22830861704959
normal_pwm50_01_50pwm_300s_20260912_100420_756309,normal_pwm50_01,9,45,50,47.5,1036,45.002920126,49.999292008,True,[],"[-0.6286227799227799, -0.7122657335907335, 0.08998986486486486]","[0.009613078406104536, 0.007339249850049972, 0.0107006929547328]",0.01614870566066643,16.14870566066643
