phase,start_s,end_s,xyz_points,vector_ac_rms_mg,hann_psd_rms_mg,largest_psd_bin_hz,band_0_power_g2,band_0_fraction,band_1_power_g2,band_1_fraction,band_2_power_g2,band_2_fraction,band_3_power_g2,band_3_fraction,band_4_power_g2,band_4_fraction
airflow_modified,0,5,1020,16.890295223910837,14.377936692162558,43.67110816664557,1.6569516252400743e-05,0.0801967630457493,4.176282257912127e-05,0.2021328284713314,5.396631260228054e-05,0.2611979443630925,6.425195470331264e-05,0.31098064108064694,3.0060179923519744e-05,0.14549182303917985
airflow_modified,5,10,1035,33.244744834412934,34.94398893597148,45.03996999997824,2.1917522242832347e-05,0.01795256122804967,8.058849772189727e-05,0.06600973976892106,0.0010288481492912896,0.8427257054824174,6.59645868389558e-05,0.054031348570736895,2.3538923453706248e-05,0.01928064494987488
airflow_modified,10,15,1036,35.34373986332124,33.63931664665888,39.39693128762575,1.9384900212895122e-05,0.017132073814191552,4.303690370355146e-05,0.03803534724893899,0.0009804947448469228,0.8665460311201486,5.219152045329283e-05,0.046126055386444535,3.638951964134359e-05,0.03216049243027613
airflow_modified,15,20,1036,31.21572209424753,30.997678601618183,39.39693128762575,1.6345139703004858e-05,0.01701221421880183,3.722126344490902e-05,0.03874033007517462,0.0008158682092692612,0.8491652566204306,5.5516763550803884e-05,0.057782502408787406,3.583711944964157e-05,0.037299696676805494
airflow_modified,20,25,1036,31.484695876536488,31.0269296882996,39.39693128762575,2.1018736095746237e-05,0.021834435590613627,4.039057172750217e-05,0.04195805746049048,0.0008069327952670191,0.8382484115102073,5.305386238078585e-05,0.0551127877389823,4.124563836238605e-05,0.042846307699706015
airflow_modified,25,30,1036,32.3105775951973,31.740219990928185,39.39693128762575,1.9819471922999097e-05,0.019674059176968867,4.321685807457919e-05,0.0428997819167563,0.0008447521307127743,0.8385543002398399,5.793143508316753e-05,0.05750640009284874,4.1671194409179776e-05,0.04136545857358636
airflow_modified,30,35,1036,33.52780996789156,33.65200303880761,39.39693128762575,1.9775922757764353e-05,0.01746412838370905,4.251609869979439e-05,0.03754599040270493,0.0009833053981587565,0.8683575438772602,5.115628670566444e-05,0.04517614523503277,3.562017019004836e-05,0.03145619210129315
airflow_modified,35,40,1036,33.8914402884996,34.02418714413741,39.39693128762575,2.268581762857122e-05,0.019601049122624194,4.681677555208974e-05,0.040450731482724066,0.0009955679880727093,0.8601928023325267,5.520591033542302e-05,0.04769912982906955,3.710123276915861e-05,0.032056287233055474
airflow_modified,40,45,1035,33.444942514439425,33.41017527773687,39.43499595553651,1.8365715961369294e-05,0.016454444749840435,4.268846358230893e-05,0.03824598871877074,0.0009648358181567167,0.8644279208020121,5.112786685608894e-05,0.04580712574071574,3.913745034998799e-05,0.03506451998866081
airflow_modified,45,50,1036,33.39070573701706,33.49145883017473,39.39693128762575,1.883171314112114e-05,0.016789308217073407,3.893874104284322e-05,0.03471561615525862,0.0009738888491951626,0.8682651406049965,5.298195640606902e-05,0.047235766038866166,3.700788130155632e-05,0.03299416898380525
airflow_modified,50,55,1036,34.00235952171124,34.40961150854982,39.39693128762575,2.2704694074687686e-05,0.019177474742277954,4.585914046390895e-05,0.03873483188349404,0.0010319742876423112,0.8716550318114311,4.990452941780487e-05,0.04215176162634046,3.3482467834961094e-05,0.02828089993645655
airflow_modified,55,60,1036,34.46168989934484,34.09672453538196,39.39693128762575,1.7514719423125265e-05,0.015065694792973814,3.482341552810288e-05,0.029954173819228005,0.0010194051321232727,0.8768651224114178,5.1217705088779905e-05,0.044056104709578776,3.959539604972765e-05,0.03405890426680182
airflow_modified,60,65,1036,34.15355697753402,34.49818412162372,39.39693128762575,2.8453374715340777e-05,0.02390810623840227,4.181855016929594e-05,0.0351382691925269,0.0010289455074123136,0.8645771811199969,5.422990268769285e-05,0.0455669771240367,3.666678077236735e-05,0.030809466325037466
airflow_modified,65,70,1036,34.460031002122435,34.31470910631025,39.39693128762575,1.7501806000337697e-05,0.014864145324284136,5.268387450488411e-05,0.044743997669259704,0.0010130213736760417,0.8603510354666307,5.589288171615527e-05,0.04746938209724901,3.835128100802325e-05,0.032571439442576185
airflow_modified,70,75,1036,34.35025485250399,34.35188380440793,39.39693128762575,1.8111311742244486e-05,0.015348247933606392,4.031504939083744e-05,0.03416458080520447,0.0010240577203145058,0.8678273563725296,6.037877410141388e-05,0.051167381359472325,3.716184958936864e-05,0.03149243352918702
airflow_modified,75,80,1036,32.80212069653373,32.804898529071956,39.39693128762575,1.6534700718182115e-05,0.015365319108401493,4.2446950449305535e-05,0.03944497998169949,0.000931381011224214,0.865511066264955,4.907374603025939e-05,0.045603109512011034,3.666885184179894e-05,0.034075525132932785
airflow_modified,80,85,1035,33.659009449451325,33.77954979160545,39.43499595553651,1.9457696050688956e-05,0.017052520562850264,4.628547765070875e-05,0.040564106734112045,0.0009791202320091248,0.8580906930780807,6.093064763357855e-05,0.05339897997032349,3.5251106459340684e-05,0.030893699654633382
airflow_modified,85,90,1036,33.14511364054862,33.14785030114831,39.39693128762575,2.397917086478137e-05,0.021823820078198983,4.7805634271947525e-05,0.0435086587004341,0.0009306072488375998,0.8469602755084542,5.4077166871450215e-05,0.049216479034919804,4.229216826297219e-05,0.03849076667799278
airflow_modified,90,95,1037,33.568650783170234,33.677297872062866,39.35894003276787,2.342927269785711e-05,0.020658361329260324,4.179858745191734e-05,0.036855191100890285,0.0009719499486607122,0.8570002787677431,5.446408660613714e-05,0.048022778815520646,4.2488364212056975e-05,0.037463389986585716
airflow_modified,95,100,1035,32.3010934050332,32.756667972149096,39.43499595553651,2.2172333822170797e-05,0.020664542534252126,4.542434175894331e-05,0.042335337808665004,0.0009108433311350319,0.8489030026897261,5.5652464041347654e-05,0.05186791429093551,3.8872671607475616e-05,0.03622920267642121
airflow_modified,100,105,1036,32.2079836148039,31.996590636993247,39.39693128762575,2.222936790600581e-05,0.021714674376138627,4.734310537429741e-05,0.04624693430353171,0.0008668101626404468,0.8467402450332249,4.9925569151074124e-05,0.048769604324469584,3.73943621853096e-05,0.036528541962635205
airflow_modified,105,110,1036,31.89305933382462,31.97843182976722,39.39693128762575,3.009332260930039e-05,0.029433724745849894,4.904578155826658e-05,0.047970775878531685,0.0008520551339941776,0.8333794379528606,5.134672690668891e-05,0.05022128815728471,3.986863035810179e-05,0.038994773265473064
airflow_modified,110,115,1036,31.9043897192854,31.931333925186504,39.39693128762575,2.0232429712055017e-05,0.01984394182819758,4.137791780522431e-05,0.04058341017784821,0.00087765658195346,0.8608044809883694,4.678523866541864e-05,0.04588690373364995,3.352498479146278e-05,0.032881263271934746
airflow_modified,115,120,1036,33.49650677387475,33.307900285997675,39.39693128762575,2.366702886506813e-05,0.02133605400706431,4.257824391182662e-05,0.038384696144497424,0.0009506740294061938,0.857041775297028,6.124548738357762e-05,0.05521339556202997,3.108572401152601e-05,0.02802407898938038
airflow_modified,120,125,1036,33.27081323028943,33.35846172595516,39.39693128762575,2.015792994874034e-05,0.01811528294932006,3.695952224815994e-05,0.03321433326237678,0.000971492748561564,0.8730492698485206,4.5473740195707925e-05,0.040865786938633304,3.867427569278044e-05,0.03475532700114918
airflow_modified,125,130,1036,34.02563609446492,34.106472642018325,39.39693128762575,2.234320271085141e-05,0.019207730962056205,4.517805599212841e-05,0.03883811806729325,0.0009961678909558487,0.8563734165660156,6.426872675312166e-05,0.05524975218294587,3.528221451753808e-05,0.030330982221688885
airflow_modified,130,135,1036,33.37756813289234,32.871650106153155,39.39693128762575,1.7680667054614304e-05,0.01636324408568616,3.7661515713841095e-05,0.034855278500459844,0.0009295686686403536,0.8603045898881237,5.465553187602043e-05,0.05058303546793598,4.094472820562198e-05,0.03789385205779424
airflow_modified,135,140,1036,33.72028612025207,33.6606180688904,39.39693128762575,2.6836705180911862e-05,0.0236861416991909,4.7170615319503856e-05,0.041632900572701,0.0009490375076552844,0.837622827863336,6.257296263515674e-05,0.05522705002433315,4.739515499543741e-05,0.04183107984043896
airflow_modified,140,145,1036,34.34805030485627,34.112377294320595,39.39693128762575,1.8083341754016548e-05,0.015541792569715641,4.04458758418799e-05,0.034761352253675666,0.0010039322884963597,0.8628331861496082,5.975363297679222e-05,0.051355472989717356,4.1314850981990405e-05,0.035508196037283155
airflow_modified,145,150,1036,33.76765737669007,33.691936591208346,39.39693128762575,2.1887619271235968e-05,0.019282422643657395,4.302600747273824e-05,0.037904792224195655,0.0009707175677358777,0.8551769005459929,5.866744513562729e-05,0.051684491515959524,4.0808689775804576e-05,0.03595139307019431
airflow_modified,150,155,1036,33.44378379537862,33.679586228050866,39.39693128762575,1.9230268574128192e-05,0.016953598351728473,4.599281928643844e-05,0.040547732458347016,0.0009710679152205351,0.8561032490751694,6.052356430641891e-05,0.05335818353813886,3.747375153844979e-05,0.0330372365766164
airflow_modified,155,160,1036,33.25159617734438,32.98795311190389,39.39693128762575,2.456154361562556e-05,0.022571481112778825,4.1963770581686654e-05,0.038563718548330336,0.0009164353933723693,0.842182580064996,5.739033727026947e-05,0.05274037063891197,4.781607600175855e-05,0.04394184963498279
airflow_modified,160,165,1036,33.938439866319335,34.12246370329546,39.39693128762575,2.1921948295384386e-05,0.01882860737277527,4.273672125262555e-05,0.036706269626356564,0.0010073694790365567,0.8652225680182827,5.6458869449870655e-05,0.048492126304586346,3.580239866888477e-05,0.03075042867799918
airflow_modified,165,170,1036,34.168678413547106,34.38794499148902,39.39693128762575,2.804339137381472e-05,0.023715388843009826,4.9201155271922366e-05,0.04160782528922142,0.0009983536671957479,0.8442753982494275,5.980960804202266e-05,0.05057905059902996,4.708981960385009e-05,0.039822337019311115
airflow_modified,170,175,1036,33.708798236992024,33.48899675495129,39.39693128762575,2.359761298405631e-05,0.021041796257308013,4.0242591072131e-05,0.03588398550218049,0.000972310517915692,0.8670012441785032,5.064649331893533e-05,0.04516105905644705,3.466659395316268e-05,0.030911915005561154
airflow_modified,175,180,1036,34.46711324510682,34.021386153829546,39.39693128762575,2.3783370552158608e-05,0.02054902361173363,4.368460787133105e-05,0.037743852859233706,0.0009937741224456502,0.8586288416135404,5.8779295310998393e-05,0.0507857843184108,3.737522769536989e-05,0.032292497597081325
airflow_modified,180,185,1036,34.94817580009534,34.662188176365156,39.39693128762575,1.8140460773608304e-05,0.015100133819313,4.5726501059445226e-05,0.03806277545557838,0.0010378219358490284,0.8638837958701776,6.118512578520757e-05,0.050930546838825405,3.847034809097715e-05,0.03202274801610563
airflow_modified,185,190,1036,35.3016775579917,35.5203029847866,39.39693128762575,2.316614007699449e-05,0.018361999219932066,3.7605576600155456e-05,0.029807018601380027,0.0011080493887250754,0.8782646545257216,5.676862240157505e-05,0.0449960760312201,3.6045228146284706e-05,0.02857025162174627
