frequency_hz_observed,frequency_hz_nominal,psd_x_g2_per_hz,psd_y_g2_per_hz,psd_z_g2_per_hz,summed_xyz_psd_g2_per_hz
0.0,0.0,1.0526733769321876e-07,7.60312189403326e-08,1.666974607504746e-07,3.4799601738402594e-07
0.20233274736617013,0.1953125,4.0039583973284974e-07,4.5012732889673665e-07,7.638127257018574e-07,1.614335894331444e-06
0.40466549473234026,0.390625,4.642278713600007e-07,4.960615271580803e-07,8.520778727394744e-07,1.8123672712575554e-06
0.6069982420985104,0.5859375,4.6842615440663086e-07,3.948827065544113e-07,9.224983657255142e-07,1.7858072266865563e-06
0.8093309894646805,0.78125,4.889498937822e-07,4.986539014807107e-07,9.156763806125427e-07,1.9032801758754535e-06
1.0116637368308505,0.9765624999999999,4.211459390354724e-07,4.693736506984374e-07,1.1840326321872718e-06,2.0745522219211816e-06
1.2139964841970208,1.171875,3.3928373626462125e-07,4.683899146359784e-07,1.2289040664326855e-06,2.036577717333285e-06
1.416329231563191,1.3671875,4.5194226433561686e-07,4.7566581043521174e-07,1.0563509265242988e-06,1.9839590012951273e-06
1.618661978929361,1.5625,5.12930320723001e-07,4.298440298381767e-07,9.582935275529553e-07,1.901067878114133e-06
1.820994726295531,1.7578125,4.5641436694348083e-07,4.040905025889892e-07,1.0463115915075964e-06,1.9068164610400664e-06
2.023327473661701,1.9531249999999998,4.4049156833880494e-07,4.2260464299798247e-07,1.0634066518749642e-06,1.9265028632117515e-06
2.2256602210278715,2.1484375,6.115661092111846e-07,4.577758072930657e-07,8.971950062064115e-07,1.966536922710662e-06
2.4279929683940416,2.34375,5.835619352509198e-07,4.5411179403175964e-07,9.870030373093211e-07,2.0246767665920007e-06
2.6303257157602116,2.5390625,5.168466056278945e-07,3.5054555151904584e-07,1.0867401281603783e-06,1.9541322853073186e-06
2.832658463126382,2.734375,4.776754985986287e-07,4.509200079844043e-07,1.011931292847732e-06,1.940526799430765e-06
3.034991210492552,2.9296875000000004,5.10261385362456e-07,5.549818777593819e-07,1.0183857984011995e-06,2.0836290615230375e-06
3.237323957858722,3.125,5.115107417306064e-07,4.832560687011653e-07,9.181366325432191e-07,1.9129034429749907e-06
3.439656705224892,3.3203125,4.0851252581646707e-07,4.1811961414677087e-07,8.204996948801912e-07,1.6471318348434292e-06
3.641989452591062,3.515625,4.545673676996456e-07,4.2727510562550766e-07,1.2242200785737378e-06,2.106062551898891e-06
3.8443221999572326,3.7109375,5.331830167441101e-07,4.6676403691584745e-07,9.977309262965705e-07,1.9976779799565283e-06
4.046654947323402,3.9062499999999996,3.8421557733659414e-07,4.7358440533181454e-07,8.445247718903423e-07,1.702324754558751e-06
4.248987694689573,4.1015625,3.7051665780124627e-07,5.74472316063018e-07,9.527246887031497e-07,1.897713662567414e-06
4.451320442055743,4.296875,4.080850455274686e-07,5.593683717051953e-07,1.1113958903047031e-06,2.0788493075373667e-06
4.653653189421913,4.4921875,4.717597274054604e-07,5.583638718794831e-07,1.211881025567447e-06,2.24200462485239e-06
4.855985936788083,4.6875,4.884898506952654e-07,4.961473282048325e-07,8.423994703325014e-07,1.8270366492325994e-06
5.058318684154253,4.8828125,5.688060416887875e-07,4.4061505425152584e-07,1.018304222411891e-06,2.0277253183522046e-06
