frequency_hz_observed,frequency_hz_nominal,psd_x_g2_per_hz,psd_y_g2_per_hz,psd_z_g2_per_hz,summed_xyz_psd_g2_per_hz
0.0,0.0,9.333738556896907e-08,5.644015868654868e-08,1.175704471720059e-07,2.6734799142752367e-07
0.20223714551306415,0.1953125,3.103037150437282e-07,3.431964507831114e-07,5.664340707944877e-07,1.219934236621327e-06
0.4044742910261283,0.390625,2.998960453083158e-07,3.308630542965347e-07,8.370358858763458e-07,1.4677949854811963e-06
0.6067114365391925,0.5859375,4.809485442865634e-07,2.5723395285883945e-07,7.826920690476166e-07,1.5208745661930193e-06
0.8089485820522566,0.78125,5.529934749355717e-07,6.301178979297722e-07,8.588105293048111e-07,2.0419219021701553e-06
1.0111857275653207,0.9765624999999999,5.603351803212237e-07,6.2806944784883e-07,1.1045200609691665e-06,2.2929246891392202e-06
1.213422873078385,1.171875,4.2264417579757245e-07,4.4251128620205803e-07,1.1461234073240356e-06,2.011278869323666e-06
1.4156600185914492,1.3671875000000002,3.297335891825995e-07,2.4025413339898747e-07,5.438188694460771e-07,1.1138065920276641e-06
1.6178971641045132,1.5625,5.138620734384037e-07,2.025305657970795e-07,6.283809320590424e-07,1.3447735712945256e-06
1.8201343096175773,1.7578125,8.877668394392971e-07,3.586874701081915e-07,8.166731063430452e-07,2.063127415890534e-06
2.0223714551306413,1.9531249999999998,6.515258167572039e-07,3.415799735670858e-07,1.122373332046874e-06,2.1154791223711637e-06
2.224608600643706,2.1484375000000004,3.767748869353498e-07,3.424116108569246e-07,1.2143754210256016e-06,1.933561918817876e-06
2.42684574615677,2.34375,3.622802814202593e-07,3.574626412368055e-07,1.188133717451641e-06,1.9078766401087056e-06
2.629082891669834,2.5390624999999996,3.412000016612091e-07,4.472202389685861e-07,1.9686994937859657e-06,2.757119734415761e-06
2.8313200371828984,2.7343750000000004,3.7514122074508087e-07,3.85524217986178e-07,1.8982025425184043e-06,2.6588679812496632e-06
3.0335571826959624,2.9296875,5.297900600800473e-07,4.384893359015811e-07,1.2243741615444934e-06,2.192653557526122e-06
3.2357943282090265,3.125,5.197825392290249e-07,4.7084486105923127e-07,1.0167049546060787e-06,2.0073323548943347e-06
3.4380314737220905,3.3203124999999996,5.528775788799047e-07,2.705738068909294e-07,1.0528058570896329e-06,1.876257242860467e-06
3.6402686192351545,3.515625,6.645951411694391e-07,3.033722023755377e-07,6.449567243519041e-07,1.6129240678968808e-06
3.842505764748219,3.7109375,5.592676689174075e-07,3.8539500827605555e-07,6.083308466053424e-07,1.5529935237988055e-06
4.044742910261283,3.9062499999999996,4.797898976910448e-07,5.982348297049265e-07,8.420598657156106e-07,1.920084593111582e-06
4.246980055774348,4.1015625,4.874025448552395e-07,6.112533553039276e-07,1.0202943562166656e-06,2.1189502563758327e-06
