sample_index,window_index,host_monotonic_ns,host_utc_ns,x_g,y_g,z_g,gap,overrun,saturated,diagnostics_json
1,1,3440789806711,1788936990987905513,-0.13649999999999998,0.027299999999999998,-1.0295999999999998,0,0,0,"{""sample_index"":0,""sensor_time_estimate_s"":0.0,""fifo_depth"":1,""read_duration_ns"":1746705}"
2,1,3440795527381,1788936990993626239,-0.1482,0.0156,-1.0958999999999999,0,0,0,"{""sample_index"":1,""sensor_time_estimate_s"":0.005,""fifo_depth"":1,""read_duration_ns"":1755593}"
3,1,3440799397088,1788936990997518371,-0.14429999999999998,0.023399999999999997,-1.0880999999999998,0,0,0,"{""sample_index"":2,""sensor_time_estimate_s"":0.01,""fifo_depth"":1,""read_duration_ns"":1814687}"
4,1,3440805243776,1788936991003330949,-0.13649999999999998,0.0078,-1.0958999999999999,0,0,0,"{""sample_index"":3,""sensor_time_estimate_s"":0.015,""fifo_depth"":1,""read_duration_ns"":1734519}"
5,1,3440808966316,1788936991007046451,-0.1482,0.011699999999999999,-1.0842,0,0,0,"{""sample_index"":4,""sensor_time_estimate_s"":0.02,""fifo_depth"":1,""read_duration_ns"":1722909}"
6,1,3440814587986,1788936991012675714,-0.14429999999999998,0.0156,-1.1076,0,0,0,"{""sample_index"":5,""sensor_time_estimate_s"":0.025,""fifo_depth"":1,""read_duration_ns"":1735408}"
7,1,3440820264360,1788936991018348180,-0.14429999999999998,0.0195,-1.0958999999999999,0,0,0,"{""sample_index"":6,""sensor_time_estimate_s"":0.03,""fifo_depth"":1,""read_duration_ns"":1726834}"
8,1,3440823988085,1788936991022074831,-0.13649999999999998,0.0195,-1.0842,0,0,0,"{""sample_index"":7,""sensor_time_estimate_s"":0.035,""fifo_depth"":1,""read_duration_ns"":1728927}"
9,1,3440829682884,1788936991027774557,-0.14429999999999998,0.011699999999999999,-1.0880999999999998,0,0,0,"{""sample_index"":8,""sensor_time_estimate_s"":0.04,""fifo_depth"":1,""read_duration_ns"":1783056}"
10,1,3440833437109,1788936991031516318,-0.15209999999999999,0.0156,-1.0880999999999998,0,0,0,"{""sample_index"":9,""sensor_time_estimate_s"":0.045,""fifo_depth"":1,""read_duration_ns"":1729483}"
11,1,3440839148039,1788936991037243507,-0.1404,0.0156,-1.1115,0,0,0,"{""sample_index"":10,""sensor_time_estimate_s"":0.05,""fifo_depth"":1,""read_duration_ns"":1804261}"
12,1,3440842937522,1788936991041020380,-0.1326,0.011699999999999999,-1.1037,0,0,0,"{""sample_index"":11,""sensor_time_estimate_s"":0.055,""fifo_depth"":1,""read_duration_ns"":1738908}"
13,1,3440848607785,1788936991046709661,-0.1482,0.011699999999999999,-1.0919999999999999,0,0,0,"{""sample_index"":12,""sensor_time_estimate_s"":0.06,""fifo_depth"":1,""read_duration_ns"":1750130}"
14,1,3440852463121,1788936991050551275,-0.14429999999999998,0.027299999999999998,-1.0880999999999998,0,0,0,"{""sample_index"":13,""sensor_time_estimate_s"":0.065,""fifo_depth"":1,""read_duration_ns"":1746668}"
15,1,3440858166476,1788936991056255927,-0.14429999999999998,0.0312,-1.0919999999999999,0,0,0,"{""sample_index"":14,""sensor_time_estimate_s"":0.07,""fifo_depth"":1,""read_duration_ns"":1747908}"
16,1,3440863808758,1788936991061895356,-0.14429999999999998,0.0156,-1.1037,0,0,0,"{""sample_index"":15,""sensor_time_estimate_s"":0.075,""fifo_depth"":1,""read_duration_ns"":1736557}"
17,1,3440867534853,1788936991065611877,-0.13649999999999998,0.0156,-1.1037,0,0,0,"{""sample_index"":16,""sensor_time_estimate_s"":0.08,""fifo_depth"":1,""read_duration_ns"":1723168}"
